rep,fold,f1,roc_auc,pr_auc
1,1,0.4444444444444444,0.6544444444444445,0.41736501757184663
1,2,0.5641025641025641,0.7641325536062379,0.5773531128709873
1,3,0.5128205128205128,0.7033898305084745,0.5325782099382116
1,4,0.45454545454545453,0.7589743589743589,0.5736874876811984
1,5,0.5925925925925926,0.7641866330390921,0.5383197362521501
2,1,0.5,0.773809523809524,0.41497937946212105
2,2,0.4375,0.6451990632318501,0.42982449820196283
2,3,0.37037037037037035,0.5738636363636364,0.3710731470700819
2,4,0.5454545454545454,0.7043650793650794,0.5711337756817877
2,5,0.6666666666666666,0.8911637931034483,0.785180969739242
3,1,0.2608695652173913,0.5411931818181819,0.24586104755580052
3,2,0.5405405405405406,0.7153996101364523,0.5238930762054845
3,3,0.5142857142857142,0.8200992555831266,0.5656917782857632
3,4,0.5185185185185185,0.8265625000000001,0.6040442122795063
3,5,0.6341463414634146,0.7483253588516746,0.6440520732124331
4,1,0.48,0.7794612794612794,0.5130793157958644
4,2,0.35714285714285715,0.6292613636363635,0.40599804582631127
4,3,0.6486486486486487,0.8277777777777777,0.5868761100529016
4,4,0.48484848484848486,0.7120743034055728,0.5409103052348337
4,5,0.55,0.7043062200956938,0.5030390419875187
5,1,0.3333333333333333,0.5415384615384615,0.23196465994481177
5,2,0.6842105263157895,0.8167641325536064,0.7706555289717834
5,3,0.5294117647058824,0.7868852459016393,0.5169700765045196
5,4,0.4666666666666667,0.7457627118644068,0.4677106422501159
5,5,0.4864864864864865,0.6857142857142857,0.5350498954749457
6,1,0.46153846153846156,0.6748120300751881,0.48199636569605603
6,2,0.5,0.7344913151364765,0.5304681358625285
6,3,0.43478260869565216,0.6389578163771712,0.35061541592261936
6,4,0.6,0.8587570621468927,0.8036527478444291
6,5,0.5517241379310345,0.7763347763347763,0.5093854062604063
7,1,0.6511627906976745,0.7398589065255733,0.6532410410261027
7,2,0.4444444444444444,0.7481389578163772,0.548967610729765
7,3,0.375,0.6243386243386243,0.2865924172814738
7,4,0.38461538461538464,0.6586021505376345,0.4232650909647838
7,5,0.6285714285714286,0.8537200504413619,0.5947989342726184
8,1,0.45714285714285713,0.7698412698412698,0.483530821030821
8,2,0.5185185185185185,0.6323185011709602,0.47034096085267374
8,3,0.4666666666666667,0.6186440677966102,0.5011420383702992
8,4,0.7441860465116279,0.8909090909090909,0.7125670997208393
8,5,0.2857142857142857,0.6890625,0.3445442289544427
9,1,0.4827586206896552,0.7804232804232804,0.5030043812587429
9,2,0.42424242424242425,0.6055555555555555,0.44604002555409206
9,3,0.45161290322580644,0.6017369727047146,0.37570988688009965
9,4,0.6666666666666666,0.877155172413793,0.7017690030557677
9,5,0.5294117647058824,0.7559322033898305,0.619685008638569
10,1,0.5142857142857142,0.6308316430020284,0.44496833356450616
10,2,0.5161290322580645,0.7915632754342432,0.5041144041144041
10,3,0.37037037037037035,0.6921641791044777,0.37844447393596
10,4,0.6666666666666666,0.8632768361581921,0.7732716689320462
10,5,0.4864864864864865,0.7043650793650793,0.5555081319608093
