rep,fold,f1,roc_auc,pr_auc
1,1,0.35,0.6177777777777778,0.3474087969708892
1,2,0.6511627906976745,0.8070175438596492,0.5323151711580505
1,3,0.47619047619047616,0.7743644067796609,0.6103379595315078
1,4,0.4,0.7367521367521368,0.46176292530247903
1,5,0.42424242424242425,0.7515762925598992,0.529180107414323
2,1,0.5405405405405406,0.8214285714285714,0.4118315677334764
2,2,0.43902439024390244,0.7271662763466042,0.5029486660264424
2,3,0.2857142857142857,0.5951704545454545,0.26822305915425004
2,4,0.5294117647058824,0.7261904761904763,0.580549279708068
2,5,0.5365853658536586,0.8329741379310345,0.628349798935177
3,1,0.2222222222222222,0.49573863636363635,0.17321794328098877
3,2,0.5,0.753411306042885,0.4698735960371667
3,3,0.5128205128205128,0.8002481389578164,0.47157740078106813
3,4,0.4827586206896552,0.7953125000000001,0.4900584464555052
3,5,0.6,0.8066985645933015,0.698345211625673
4,1,0.4444444444444444,0.7828282828282828,0.4630089564963515
4,2,0.4,0.6676136363636364,0.4261240557892009
4,3,0.4888888888888889,0.8111111111111111,0.5350631160011465
4,4,0.43902439024390244,0.7213622291021672,0.47357824111642743
4,5,0.55,0.7311004784688995,0.5230463049789393
5,1,0.3448275862068966,0.5938461538461538,0.21612922065752252
5,2,0.5416666666666666,0.7982456140350878,0.7256730073066391
5,3,0.5882352941176471,0.8231850117096019,0.5131193584699563
5,4,0.3684210526315789,0.7288135593220338,0.4515294835268744
5,5,0.46153846153846156,0.7226190476190476,0.4789439046186338
6,1,0.5365853658536586,0.6945488721804511,0.47252165526505274
6,2,0.3888888888888889,0.6898263027295285,0.44537939449098707
6,3,0.4,0.7866004962779156,0.41311301797953315
6,4,0.55,0.8361581920903955,0.6973821887494656
6,5,0.4444444444444444,0.7344877344877345,0.42410048380752874
7,1,0.6122448979591837,0.7451499118165785,0.5570153286664821
7,2,0.3333333333333333,0.7357320099255582,0.4554357443430097
7,3,0.3076923076923077,0.6415343915343916,0.266276589269374
7,4,0.4827586206896552,0.7231182795698924,0.44547883636294244
7,5,0.5714285714285714,0.8209331651954602,0.6354035858560745
8,1,0.3076923076923077,0.6931216931216931,0.4176402664410794
8,2,0.4864864864864865,0.6826697892271663,0.4951815539937011
8,3,0.5142857142857142,0.6980932203389829,0.5267825816880735
8,4,0.7142857142857143,0.9033492822966507,0.7277368302646756
8,5,0.2857142857142857,0.6703125,0.27073023336126606
9,1,0.4,0.7288359788359788,0.410675794980999
9,2,0.45,0.7211111111111111,0.4997092591582337
9,3,0.3783783783783784,0.6166253101736973,0.4189647073921532
9,4,0.5789473684210527,0.8426724137931034,0.6151264319645531
9,5,0.5263157894736842,0.7909604519774012,0.5067004586578623
10,1,0.5,0.7089249492900608,0.5479684996921994
10,2,0.5,0.7952853598014887,0.5012356533467002
10,3,0.25,0.669776119402985,0.3058890947309876
10,4,0.5714285714285714,0.8429378531073446,0.5768348974929116
10,5,0.4878048780487805,0.7093253968253969,0.5545791662471229
