rep,fold,f1,roc_auc,pr_auc
1,1,0.2,0.4444444444444444,0.3799422799422799
1,2,0.5714285714285714,0.9523809523809523,0.75
1,3,0.5454545454545454,0.9666666666666667,0.8055555555555556
1,4,0.75,0.8157894736842105,0.8055555555555556
1,5,0.4444444444444444,0.7105263157894737,0.6202380952380953
2,1,0.7272727272727273,0.8421052631578948,0.8500000000000001
2,2,0.6,0.9473684210526316,0.875
2,3,0.25,0.6499999999999999,0.4603174603174603
2,4,0.4,0.4605263157894737,0.3041925465838509
2,5,0.3333333333333333,0.6333333333333333,0.4588235294117647
3,1,0.5714285714285714,0.65625,0.6881628787878787
3,2,0.4,0.618421052631579,0.5198135198135199
3,3,0.6,0.9833333333333333,0.9166666666666665
3,4,0.3333333333333333,0.7142857142857143,0.3269230769230769
3,5,0.4,0.9047619047619048,0.6666666666666666
4,1,0.7272727272727273,1.0,1.0
4,2,0.3333333333333333,0.5394736842105263,0.3403532608695652
4,3,0.6,1.0,1.0
4,4,0.5454545454545454,0.6176470588235293,0.5565656565656566
4,5,0.0,0.5238095238095238,0.12692307692307692
5,1,0.4,0.6388888888888888,0.5681501734133313
5,2,0.4444444444444444,0.6973684210526316,0.5368589743589743
5,3,0.5333333333333333,0.7156862745098039,0.727807486631016
5,4,0.6666666666666666,1.0,1.0
5,5,0.4,0.9090909090909091,0.3333333333333333
6,1,0.5454545454545454,0.7222222222222223,0.6843434343434344
6,2,0.3333333333333333,1.0,1.0
6,3,0.3333333333333333,0.7380952380952381,0.5769230769230769
6,4,0.5714285714285714,0.6339285714285714,0.5862708719851577
6,5,0.5,0.8166666666666667,0.7380952380952381
7,1,0.25,0.6666666666666667,0.4606060606060606
7,2,0.6,1.0,1.0
7,3,0.4,0.6444444444444445,0.41749084249084245
7,4,0.4,0.7380952380952381,0.5769230769230769
7,5,0.6666666666666666,0.6568627450980392,0.6545893719806762
8,1,0.4444444444444444,0.6875,0.6091269841269842
8,2,0.5714285714285714,0.6833333333333333,0.7121212121212122
8,3,0.5,0.9,0.6805555555555556
8,4,0.2222222222222222,0.4605263157894737,0.3954519450800915
8,5,0.6666666666666666,0.8666666666666667,0.7547619047619047
9,1,0.2222222222222222,0.47619047619047616,0.4226190476190476
9,2,0.5714285714285714,0.7083333333333333,0.6132440476190476
9,3,0.5714285714285714,1.0,1.0
9,4,0.5,0.7333333333333333,0.6111111111111112
9,5,0.5714285714285714,0.8500000000000001,0.75
10,1,0.6666666666666666,0.8095238095238095,0.626984126984127
10,2,0.25,0.7380952380952381,0.5769230769230769
10,3,0.2857142857142857,0.4777777777777778,0.42501842842400117
10,4,0.75,0.9607843137254901,0.8972222222222221
10,5,0.25,0.6666666666666666,0.4666666666666667
