rep,fold,f1,roc_auc,pr_auc
1,1,0.36363636363636365,0.5370370370370371,0.4618632141851956
1,2,0.5,0.9523809523809523,0.75
1,3,0.5454545454545454,0.9666666666666667,0.8055555555555556
1,4,0.6,0.9078947368421053,0.7875
1,5,0.5454545454545454,0.868421052631579,0.5277777777777778
2,1,0.6666666666666666,0.8842105263157896,0.8625
2,2,0.8,0.9473684210526316,0.6791666666666667
2,3,0.4444444444444444,0.8999999999999999,0.7777777777777777
2,4,0.36363636363636365,0.40789473684210525,0.19604978354978353
2,5,0.2222222222222222,0.6666666666666666,0.3047619047619048
3,1,0.5882352941176471,0.796875,0.7231672932330827
3,2,0.4,0.6973684210526315,0.6309523809523809
3,3,0.75,0.9333333333333333,0.5888888888888889
3,4,0.25,0.6190476190476191,0.22916666666666666
3,5,0.5,1.0,1.0
4,1,0.6666666666666666,1.0,1.0
4,2,0.6,0.763157894736842,0.4588235294117647
4,3,0.6666666666666666,0.9333333333333333,0.7222222222222222
4,4,0.46153846153846156,0.696078431372549,0.5770833333333333
4,5,0.0,0.4523809523809524,0.11437908496732026
5,1,0.5454545454545454,0.6574074074074074,0.5524801587301587
5,2,0.5454545454545454,0.8552631578947368,0.65
5,3,0.5333333333333333,0.8137254901960784,0.7999999999999999
5,4,0.6666666666666666,0.9761904761904762,0.8333333333333333
5,5,0.25,0.8636363636363636,0.25
6,1,0.5882352941176471,0.8055555555555556,0.5787037037037037
6,2,0.3333333333333333,1.0,1.0
6,3,0.3333333333333333,0.9047619047619048,0.6666666666666666
6,4,0.5714285714285714,0.5982142857142857,0.5304482797903851
6,5,0.5,0.9,0.6805555555555556
7,1,0.25,0.761904761904762,0.29444444444444445
7,2,0.5454545454545454,0.95,0.8333333333333333
7,3,0.6,0.7222222222222221,0.49916666666666665
7,4,0.5,0.9285714285714286,0.5
7,5,0.5714285714285714,0.7450980392156863,0.7166666666666666
8,1,0.36363636363636365,0.7375,0.6305555555555555
8,2,0.4,0.6833333333333333,0.5
8,3,0.6,0.9666666666666667,0.8055555555555556
8,4,0.2857142857142857,0.5394736842105263,0.2787878787878788
8,5,0.7692307692307693,0.9444444444444444,0.7861904761904761
9,1,0.5,0.6349206349206349,0.37681159420289856
9,2,0.5555555555555556,0.6916666666666667,0.6627079619726679
9,3,0.5,0.9761904761904762,0.8333333333333333
9,4,0.36363636363636365,0.8,0.4658119658119658
9,5,0.6666666666666666,0.9333333333333333,0.8095238095238095
10,1,0.5714285714285714,0.9206349206349207,0.6984126984126985
10,2,0.3333333333333333,0.8333333333333334,0.375
10,3,0.4,0.6111111111111112,0.5521187584345479
10,4,0.631578947368421,0.8823529411764706,0.6453703703703705
10,5,0.4444444444444444,0.7833333333333332,0.6222222222222222
