rep,fold,f1,roc_auc,pr_auc
1,1,0.2,0.537037037037037,0.4154056755601378
1,2,0.5714285714285714,0.9285714285714286,0.7
1,3,0.5454545454545454,0.9500000000000001,0.7555555555555555
1,4,0.6666666666666666,0.9078947368421053,0.7152777777777778
1,5,0.4,0.8157894736842105,0.4821428571428571
2,1,0.7272727272727273,0.9157894736842105,0.8769230769230769
2,2,0.6666666666666666,0.9342105263157895,0.6458333333333333
2,3,0.2222222222222222,0.8,0.5285714285714286
2,4,0.4,0.4473684210526315,0.24764492753623185
2,5,0.25,0.7333333333333333,0.4909090909090909
3,1,0.5,0.7890625,0.7306818181818181
3,2,0.4,0.631578947368421,0.4934782608695652
3,3,0.6666666666666666,0.9333333333333333,0.5888888888888889
3,4,0.25,0.738095238095238,0.25757575757575757
3,5,0.5,0.9047619047619048,0.6666666666666666
4,1,0.8,1.0,1.0
4,2,0.25,0.7894736842105263,0.3813852813852813
4,3,0.6666666666666666,0.9666666666666667,0.8055555555555556
4,4,0.5,0.6470588235294118,0.5410830999066293
4,5,0.0,0.5476190476190477,0.13333333333333333
5,1,0.36363636363636365,0.6481481481481481,0.5196687370600414
5,2,0.4,0.868421052631579,0.6349206349206349
5,3,0.6153846153846154,0.7647058823529412,0.745054945054945
5,4,0.6666666666666666,0.9523809523809523,0.5833333333333333
5,5,0.2857142857142857,0.7727272727272727,0.16666666666666666
6,1,0.42857142857142855,0.787037037037037,0.5343915343915344
6,2,0.5,1.0,1.0
6,3,0.5,0.8095238095238095,0.6
6,4,0.5,0.6160714285714285,0.5844448784298408
6,5,0.4444444444444444,0.8833333333333333,0.5138888888888888
7,1,0.2857142857142857,0.7619047619047619,0.2972582972582972
7,2,0.5,0.9833333333333333,0.9166666666666665
7,3,0.5,0.788888888888889,0.4893939393939394
7,4,0.25,0.8809523809523809,0.6428571428571428
7,5,0.6666666666666666,0.696078431372549,0.6650060386473429
8,1,0.4444444444444444,0.775,0.6394230769230769
8,2,0.4444444444444444,0.7666666666666666,0.6180555555555556
8,3,0.4444444444444444,0.9,0.6805555555555556
8,4,0.25,0.5263157894736843,0.25181159420289856
8,5,0.6666666666666666,0.9111111111111112,0.7592857142857143
9,1,0.2857142857142857,0.5873015873015872,0.2861111111111111
9,2,0.47058823529411764,0.6833333333333333,0.5686572199730094
9,3,0.5,1.0,1.0
9,4,0.4,0.8500000000000001,0.75
9,5,0.8,0.95,0.8333333333333333
10,1,0.6666666666666666,0.873015873015873,0.7575757575757576
10,2,0.3333333333333333,0.8333333333333334,0.375
10,3,0.2222222222222222,0.5777777777777778,0.43212121212121213
10,4,0.7058823529411765,0.9019607843137254,0.6718253968253968
10,5,0.2222222222222222,0.7666666666666667,0.5119047619047619
