rep,fold,f1,roc_auc,pr_auc
1,1,0.4444444444444444,0.5648148148148148,0.5171476671476671
1,2,0.5,0.9761904761904762,0.8333333333333333
1,3,0.6,0.9666666666666667,0.8666666666666667
1,4,0.7272727272727273,0.9210526315789473,0.6220238095238095
1,5,0.4444444444444444,0.8157894736842105,0.47632575757575757
2,1,0.8333333333333334,0.9789473684210527,0.9428571428571428
2,2,0.8888888888888888,0.9473684210526316,0.6791666666666667
2,3,0.5,0.8500000000000001,0.75
2,4,0.0,0.4473684210526316,0.22878787878787876
2,5,0.2857142857142857,0.6333333333333333,0.4564393939393939
3,1,0.6666666666666666,0.8203125,0.8014069264069266
3,2,0.5714285714285714,0.6973684210526316,0.6208133971291866
3,3,0.6666666666666666,0.9333333333333333,0.5888888888888889
3,4,0.2222222222222222,0.5952380952380952,0.22549019607843135
3,5,0.6666666666666666,1.0,1.0
4,1,0.7272727272727273,1.0,1.0
4,2,0.6666666666666666,0.9473684210526316,0.8166666666666667
4,3,0.5714285714285714,0.9,0.5317460317460317
4,4,0.5454545454545454,0.6568627450980392,0.559984520123839
4,5,0.0,0.38095238095238093,0.10049019607843138
5,1,0.6,0.7407407407407407,0.6582863408521302
5,2,0.5454545454545454,0.855263157894737,0.6810897435897436
5,3,0.6666666666666666,0.7647058823529411,0.7762237762237761
5,4,0.6666666666666666,0.9523809523809523,0.5833333333333333
5,5,0.0,0.8636363636363636,0.25
6,1,0.7142857142857143,0.8611111111111112,0.6283730158730159
6,2,0.6666666666666666,1.0,1.0
6,3,0.2857142857142857,0.8333333333333334,0.6111111111111112
6,4,0.5,0.5714285714285714,0.5789668977638902
6,5,0.5714285714285714,0.8166666666666667,0.4722222222222222
7,1,0.3333333333333333,0.746031746031746,0.2851851851851852
7,2,0.4444444444444444,0.8999999999999999,0.7777777777777777
7,3,0.7272727272727273,0.8,0.6692982456140351
7,4,0.5714285714285714,0.9761904761904762,0.8333333333333333
7,5,0.6,0.7450980392156862,0.7158260233918128
8,1,0.4444444444444444,0.7125,0.6180555555555556
8,2,0.25,0.6499999999999999,0.48120300751879697
8,3,0.75,0.9666666666666667,0.8055555555555556
8,4,0.5,0.618421052631579,0.3241341991341991
8,5,0.8,0.9777777777777777,0.9266666666666665
9,1,0.5,0.6666666666666666,0.3277777777777778
9,2,0.42857142857142855,0.625,0.5903708133971293
9,3,0.6666666666666666,0.9761904761904762,0.8333333333333333
9,4,0.6,0.9166666666666667,0.6984126984126984
9,5,0.8,0.8999999999999999,0.7777777777777777
10,1,0.5714285714285714,0.873015873015873,0.7575757575757576
10,2,0.4,0.7619047619047619,0.34090909090909094
10,3,0.5454545454545454,0.6444444444444444,0.5944444444444444
10,4,0.6666666666666666,0.8725490196078431,0.632936507936508
10,5,0.5,0.7833333333333333,0.7291666666666666
