rep,fold,f1,roc_auc,pr_auc
1,1,0.2222222222222222,0.4166666666666667,0.36559517480570114
1,2,1.0,1.0,1.0
1,3,0.6666666666666666,0.9833333333333333,0.9166666666666665
1,4,0.6666666666666666,0.7894736842105263,0.5379901960784313
1,5,0.5,0.8421052631578947,0.6147186147186147
2,1,0.8888888888888888,0.8631578947368421,0.8555555555555556
2,2,0.8571428571428571,0.9078947368421052,0.8409090909090909
2,3,0.5,0.8333333333333334,0.6388888888888888
2,4,0.25,0.42105263157894735,0.2150974025974026
2,5,0.2857142857142857,0.6166666666666667,0.25
3,1,0.5714285714285714,0.7578125,0.7032786749069644
3,2,0.5714285714285714,0.6710526315789473,0.5348484848484849
3,3,1.0,1.0,1.0
3,4,0.2857142857142857,0.5238095238095238,0.21666666666666667
3,5,0.4,0.7857142857142857,0.5909090909090909
4,1,0.8,1.0,1.0
4,2,0.5714285714285714,0.631578947368421,0.3993589743589744
4,3,0.5,0.8666666666666667,0.45833333333333326
4,4,0.5454545454545454,0.6470588235294117,0.5633040935672514
4,5,0.0,0.5238095238095238,0.15555555555555556
5,1,0.25,0.5185185185185185,0.39770322270322267
5,2,0.6666666666666666,0.868421052631579,0.6875
5,3,0.7272727272727273,0.784313725490196,0.7878787878787878
5,4,0.6666666666666666,0.9285714285714286,0.5
5,5,0.4,0.8636363636363636,0.25
6,1,0.6,0.7592592592592593,0.652065527065527
6,2,0.6666666666666666,1.0,1.0
6,3,0.4,0.8333333333333334,0.6111111111111112
6,4,0.6153846153846154,0.5892857142857142,0.5947368421052631
6,5,0.5,0.8666666666666666,0.5
7,1,0.4,0.8412698412698412,0.5535714285714286
7,2,0.4444444444444444,0.8999999999999999,0.7777777777777777
7,3,0.4444444444444444,0.5444444444444444,0.4730576441102757
7,4,0.6666666666666666,0.9523809523809523,0.75
7,5,0.8,0.7647058823529411,0.7712418300653594
8,1,0.5714285714285714,0.6875,0.5392857142857144
8,2,0.2857142857142857,0.6833333333333333,0.5
8,3,0.5,0.8333333333333334,0.6388888888888888
8,4,0.3333333333333333,0.43421052631578944,0.27562111801242234
8,5,0.9090909090909091,0.9666666666666667,0.8766666666666667
9,1,0.6666666666666666,0.6984126984126984,0.4388888888888889
9,2,0.46153846153846156,0.6,0.5809523809523809
9,3,0.5714285714285714,1.0,1.0
9,4,0.5,0.7666666666666666,0.5666666666666667
9,5,0.8,0.8999999999999999,0.7777777777777777
10,1,0.5714285714285714,0.9206349206349206,0.7916666666666666
10,2,0.4,0.8333333333333334,0.375
10,3,0.2222222222222222,0.43333333333333335,0.3683080808080808
10,4,0.9090909090909091,0.9803921568627451,0.9583333333333333
10,5,0.5714285714285714,0.7,0.6055555555555555
