rep,fold,f1,roc_auc,pr_auc
1,1,0.5454545454545454,0.7870370370370371,0.6472222222222221
1,2,0.5,0.9523809523809523,0.75
1,3,0.5454545454545454,0.95,0.8333333333333333
1,4,0.6666666666666666,0.9210526315789475,0.7986111111111112
1,5,0.4,0.8026315789473685,0.5333333333333333
2,1,0.7272727272727273,0.9684210526315788,0.925
2,2,0.6666666666666666,0.9736842105263158,0.9166666666666666
2,3,0.4444444444444444,0.85,0.5777777777777777
2,4,0.4,0.618421052631579,0.3017045454545455
2,5,0.2857142857142857,0.7166666666666668,0.32407407407407407
3,1,0.6666666666666666,0.9296875,0.8552579365079365
3,2,0.5,0.7105263157894738,0.5604166666666667
3,3,0.6666666666666666,0.9666666666666667,0.8666666666666667
3,4,0.25,0.7142857142857142,0.2159090909090909
3,5,0.4444444444444444,1.0,1.0
4,1,0.6666666666666666,1.0,1.0
4,2,0.5454545454545454,0.8552631578947368,0.615909090909091
4,3,0.5714285714285714,0.9333333333333333,0.7222222222222222
4,4,0.5333333333333333,0.7254901960784315,0.5646825396825397
4,5,0.0,0.7142857142857143,0.2
5,1,0.3333333333333333,0.7037037037037037,0.5290204678362573
5,2,0.5,0.868421052631579,0.6349206349206349
5,3,0.7142857142857143,0.9215686274509803,0.8690476190476191
5,4,0.8,0.9761904761904762,0.8333333333333333
5,5,0.3333333333333333,0.8636363636363636,0.25
6,1,0.6153846153846154,0.8518518518518519,0.7574786324786325
6,2,0.4,1.0,1.0
6,3,0.2857142857142857,0.8571428571428571,0.39285714285714285
6,4,0.625,0.7232142857142857,0.6471088435374148
6,5,0.5,0.9,0.6428571428571428
7,1,0.2857142857142857,0.8571428571428571,0.5694444444444444
7,2,0.4444444444444444,0.8833333333333333,0.6666666666666666
7,3,0.5454545454545454,0.8666666666666667,0.7333333333333334
7,4,0.4,0.8809523809523809,0.41666666666666663
7,5,0.8333333333333334,0.8529411764705883,0.8248538011695906
8,1,0.5,0.8625,0.698051948051948
8,2,0.4,0.8833333333333333,0.625
8,3,0.6,0.9833333333333333,0.9166666666666665
8,4,0.2857142857142857,0.6052631578947368,0.3252164502164502
8,5,0.7142857142857143,0.9333333333333332,0.7961904761904761
9,1,0.5,0.7142857142857143,0.5526315789473684
9,2,0.5555555555555556,0.7916666666666667,0.6801303475935829
9,3,0.5714285714285714,0.9761904761904762,0.8333333333333333
9,4,0.4,0.8833333333333333,0.625
9,5,0.6666666666666666,0.95,0.8333333333333333
10,1,0.4,0.9206349206349206,0.7916666666666666
10,2,0.2857142857142857,0.8333333333333334,0.375
10,3,0.5454545454545454,0.8222222222222223,0.7698412698412698
10,4,0.7142857142857143,0.892156862745098,0.798611111111111
10,5,0.5714285714285714,0.7833333333333333,0.3611111111111111
