rep,fold,f1,roc_auc,pr_auc
1,1,0.35294117647058826,0.875,0.42976190476190473
1,2,0.2857142857142857,0.8258064516129032,0.4952272727272728
1,3,0.0,0.5441176470588235,0.10846560846560846
1,4,0.25,0.8088235294117647,0.5666666666666667
1,5,0.15384615384615385,0.75,0.3055555555555556
2,1,0.14285714285714285,0.7794117647058822,0.19642857142857142
2,2,0.3333333333333333,0.6484375,0.5679723502304148
2,3,0.18181818181818182,0.8382352941176471,0.25757575757575757
2,4,0.2857142857142857,0.8359375,0.4896103896103896
2,5,0.25,0.8686868686868687,0.5277777777777778
3,1,0.16666666666666666,0.7474747474747475,0.19393939393939397
3,2,0.15384615384615385,0.6464646464646464,0.4246031746031746
3,3,0.2,0.8676470588235293,0.35
3,4,0.46153846153846156,0.921875,0.8214285714285714
3,5,0.18181818181818182,0.7373737373737372,0.2304093567251462
4,1,0.18181818181818182,1.0,1.0
4,2,0.6666666666666666,1.0,1.0
4,3,0.0,0.7352941176470589,0.14090909090909093
4,4,0.16666666666666666,0.609375,0.175157444894287
4,5,0.14285714285714285,0.6796875,0.20416666666666666
5,1,0.3333333333333333,0.8709677419354839,0.6235897435897436
5,2,0.2857142857142857,0.71875,0.43759590792838876
5,3,0.16666666666666666,0.8235294117647058,0.25
5,4,0.18181818181818182,0.7352941176470589,0.55
5,5,0.2,0.8529411764705882,0.26666666666666666
6,1,0.5454545454545454,0.8984375,0.8088235294117647
6,2,0.4444444444444444,0.926470588235294,0.41666666666666663
6,3,0.13333333333333333,0.7941176470588236,0.31666666666666665
6,4,0.0,0.6328125,0.1670255183413078
6,5,0.18181818181818182,0.6565656565656566,0.21481481481481482
7,1,0.15384615384615385,0.7265625,0.4007936507936508
7,2,0.5,0.953125,0.85
7,3,0.3333333333333333,0.9191919191919191,0.6555555555555554
7,4,0.16666666666666666,0.6764705882352942,0.12698412698412698
7,5,0.0,0.3970588235294118,0.07575757575757576
8,1,0.14285714285714285,0.6969696969696969,0.16666666666666666
8,2,0.2222222222222222,1.0,1.0
8,3,0.5,0.8774193548387097,0.5347222222222222
8,4,0.0,0.7352941176470589,0.14090909090909093
8,5,0.2857142857142857,0.703125,0.5035714285714286
9,1,0.2222222222222222,0.7647058823529411,0.19166666666666665
9,2,0.46153846153846156,0.98989898989899,0.9166666666666665
9,3,0.26666666666666666,0.6516129032258065,0.5107327141382869
9,4,0.16666666666666666,0.7941176470588235,0.18333333333333335
9,5,0.0,0.7878787878787878,0.21574074074074073
10,1,0.4,0.90625,0.525
10,2,0.0,0.47058823529411764,0.08448275862068966
10,3,0.2222222222222222,0.8585858585858586,0.35
10,4,0.3076923076923077,0.8203125,0.4806818181818182
10,5,0.15384615384615385,0.7058823529411764,0.21666666666666667
