rep,fold,f1,roc_auc,pr_auc
1,1,0.3333333333333333,0.8046875,0.3630952380952381
1,2,0.3076923076923077,0.7806451612903227,0.3883333333333333
1,3,0.0,0.588235294117647,0.12333333333333332
1,4,0.2,0.8529411764705883,0.34090909090909094
1,5,0.18181818181818182,0.75,0.16666666666666669
2,1,0.125,0.7647058823529411,0.22916666666666666
2,2,0.36363636363636365,0.6796875,0.4598214285714286
2,3,0.16666666666666666,0.8088235294117647,0.19090909090909092
2,4,0.3076923076923077,0.8359375,0.3208333333333333
2,5,0.2857142857142857,0.7474747474747474,0.44657097288676234
3,1,0.2222222222222222,0.6565656565656566,0.20220841959972394
3,2,0.15384615384615385,0.6464646464646464,0.20875420875420875
3,3,0.25,0.8970588235294117,0.30952380952380953
3,4,0.4,0.8984375,0.638095238095238
3,5,0.14285714285714285,0.7575757575757576,0.23333333333333334
4,1,0.25,1.0,1.0
4,2,0.6666666666666666,0.9921875,0.95
4,3,0.0,0.6617647058823529,0.1125
4,4,0.18181818181818182,0.6796875,0.22453703703703703
4,5,0.1111111111111111,0.5703125,0.1575892857142857
5,1,0.4,0.9161290322580645,0.5444444444444444
5,2,0.2857142857142857,0.7265625,0.2678372352285396
5,3,0.16666666666666666,0.75,0.3055555555555556
5,4,0.18181818181818182,0.6617647058823529,0.21014492753623187
5,5,0.16666666666666666,0.7941176470588236,0.17424242424242425
6,1,0.46153846153846156,0.921875,0.8214285714285714
6,2,0.3333333333333333,0.9558823529411764,0.5
6,3,0.16666666666666666,0.8088235294117647,0.19090909090909092
6,4,0.0,0.5390625,0.14090466064150273
6,5,0.25,0.7373737373737373,0.2657004830917874
7,1,0.16666666666666666,0.78125,0.25747863247863245
7,2,0.46153846153846156,0.9375,0.7041666666666666
7,3,0.4,0.8484848484848485,0.4
7,4,0.14285714285714285,0.6029411764705882,0.125
7,5,0.0,0.4558823529411765,0.08781362007168458
8,1,0.16666666666666666,0.7474747474747475,0.1958333333333333
8,2,0.18181818181818182,0.9428571428571428,0.3333333333333333
8,3,0.5454545454545454,0.8838709677419354,0.7642857142857142
8,4,0.0,0.7058823529411765,0.12692307692307692
8,5,0.26666666666666666,0.6953125,0.3208333333333333
9,1,0.2857142857142857,0.838235294117647,0.3333333333333333
9,2,0.4,0.9494949494949495,0.6666666666666667
9,3,0.3076923076923077,0.6516129032258065,0.2957142857142857
9,4,0.15384615384615385,0.7941176470588235,0.18333333333333335
9,5,0.0,0.7070707070707071,0.1662037037037037
10,1,0.42857142857142855,0.84375,0.31799242424242424
10,2,0.0,0.5588235294117647,0.10989010989010989
10,3,0.2222222222222222,0.8585858585858586,0.30634920634920637
10,4,0.23529411764705882,0.71875,0.2768115942028985
10,5,0.16666666666666666,0.7794117647058824,0.23333333333333334
