rep,fold,f1,roc_auc,pr_auc
1,1,0.375,0.7890625,0.37499999999999994
1,2,0.3333333333333333,0.7096774193548387,0.30203717850776673
1,3,0.2857142857142857,0.7794117647058822,0.19642857142857142
1,4,0.2857142857142857,0.9117647058823529,0.3333333333333333
1,5,0.2857142857142857,0.8529411764705883,0.34090909090909094
2,1,0.36363636363636365,0.8529411764705882,0.22619047619047616
2,2,0.4,0.828125,0.6276315789473684
2,3,0.3076923076923077,0.8970588235294117,0.30952380952380953
2,4,0.2,0.7265625,0.2579087579087579
2,5,0.2857142857142857,0.6969696969696969,0.42810457516339867
3,1,0.2,0.595959595959596,0.18792270531400967
3,2,0.2857142857142857,0.7777777777777778,0.27485380116959063
3,3,0.4,0.8676470588235294,0.2777777777777778
3,4,0.3333333333333333,0.828125,0.6333333333333333
3,5,0.4,0.797979797979798,0.22186147186147184
4,1,0.25,1.0,1.0
4,2,0.6153846153846154,1.0,1.0
4,3,0.0,0.5735294117647058,0.09109311740890688
4,4,0.46153846153846156,0.8203125,0.3125
4,5,0.15384615384615385,0.5625,0.1613123993558776
5,1,0.5454545454545454,0.8838709677419355,0.4712087912087912
5,2,0.42857142857142855,0.765625,0.3125
5,3,0.18181818181818182,0.7205882352941176,0.5476190476190477
5,4,0.16666666666666666,0.6764705882352942,0.17261904761904762
5,5,0.25,0.75,0.1875
6,1,0.6666666666666666,0.9765625,0.8928571428571428
6,2,0.2222222222222222,0.7647058823529411,0.17142857142857143
6,3,0.2,0.8235294117647058,0.5714285714285714
6,4,0.125,0.515625,0.1412128612128612
6,5,0.4444444444444444,0.8282828282828282,0.3111111111111111
7,1,0.3076923076923077,0.796875,0.2853174603174603
7,2,0.7272727272727273,0.9921875,0.95
7,3,0.2,0.6161616161616161,0.1916533758639022
7,4,0.15384615384615385,0.6176470588235294,0.11688311688311688
7,5,0.2222222222222222,0.7205882352941176,0.21929824561403508
8,1,0.42857142857142855,0.8585858585858586,0.30757575757575756
8,2,0.2,0.9142857142857143,0.25
8,3,0.4444444444444444,0.7935483870967741,0.5655555555555556
8,4,0.2222222222222222,0.7058823529411764,0.15555555555555556
8,5,0.2857142857142857,0.7578125,0.29696969696969694
9,1,0.4,0.8676470588235294,0.24285714285714285
9,2,0.3333333333333333,0.797979797979798,0.5476190476190476
9,3,0.3333333333333333,0.7354838709677419,0.33039215686274503
9,4,0.18181818181818182,0.7647058823529411,0.17142857142857143
9,5,0.36363636363636365,0.7676767676767676,0.292063492063492
10,1,0.42857142857142855,0.796875,0.29513888888888884
10,2,0.18181818181818182,0.7794117647058824,0.23333333333333334
10,3,0.4,0.9191919191919192,0.5916666666666666
10,4,0.2,0.578125,0.19208937198067633
10,5,0.36363636363636365,0.8382352941176471,0.2111111111111111
