rep,fold,f1,roc_auc,pr_auc
1,1,0.5,0.8828125,0.5714285714285714
1,2,0.2222222222222222,0.767741935483871,0.41835497835497837
1,3,0.2,0.7647058823529411,0.19166666666666665
1,4,0.4,0.8970588235294117,0.375
1,5,0.2857142857142857,0.8529411764705882,0.5833333333333334
2,1,0.3333333333333333,0.8676470588235294,0.24285714285714285
2,2,0.3333333333333333,0.75,0.30952380952380953
2,3,0.4,0.9705882352941176,0.75
2,4,0.2222222222222222,0.796875,0.26726190476190476
2,5,0.4,0.8181818181818182,0.4772727272727273
3,1,0.0,0.7272727272727273,0.17414529914529916
3,2,0.2857142857142857,0.7575757575757576,0.2563492063492063
3,3,0.4,0.8676470588235294,0.5909090909090909
3,4,0.5,0.8828125,0.46875
3,5,0.3333333333333333,0.8080808080808081,0.23882783882783884
4,1,0.3333333333333333,0.9714285714285714,0.5
4,2,0.6666666666666666,0.9375,0.525
4,3,0.0,0.5882352941176471,0.09583333333333333
4,4,0.2,0.8359375,0.3060876623376624
4,5,0.3076923076923077,0.7578125,0.30074786324786323
5,1,0.5333333333333333,0.8838709677419355,0.5009523809523809
5,2,0.2222222222222222,0.796875,0.32016594516594515
5,3,0.2857142857142857,0.823529411764706,0.3269230769230769
5,4,0.2,0.7794117647058824,0.5588235294117647
5,5,0.2857142857142857,0.823529411764706,0.2159090909090909
6,1,0.5454545454545454,0.9296875,0.8269230769230769
6,2,0.0,0.7941176470588236,0.1736111111111111
6,3,0.2222222222222222,0.7205882352941176,0.18055555555555555
6,4,0.4,0.7421875,0.2690972222222222
6,5,0.36363636363636365,0.8484848484848484,0.5333333333333333
7,1,0.4,0.8125,0.4625
7,2,0.8,0.96875,0.6791666666666667
7,3,0.2222222222222222,0.7575757575757577,0.23382173382173382
7,4,0.0,0.7058823529411765,0.12692307692307692
7,5,0.2,0.6470588235294117,0.16847826086956522
8,1,0.2222222222222222,0.797979797979798,0.2547008547008547
8,2,0.2,1.0,1.0
8,3,0.4444444444444444,0.832258064516129,0.43653846153846154
8,4,0.25,0.823529411764706,0.3269230769230769
8,5,0.5,0.828125,0.36090686274509803
9,1,0.0,0.75,0.14646464646464646
9,2,0.4,0.898989898989899,0.7435897435897436
9,3,0.42857142857142855,0.7935483870967741,0.41388888888888886
9,4,0.2,0.7205882352941176,0.1380952380952381
9,5,0.5714285714285714,0.8787878787878788,0.4658119658119658
10,1,0.46153846153846156,0.875,0.6254901960784314
10,2,0.2857142857142857,0.7794117647058824,0.3125
10,3,0.6666666666666666,0.9191919191919191,0.41111111111111115
10,4,0.25,0.8046875,0.4464285714285714
10,5,0.0,0.676470588235294,0.11688311688311688
