rep,fold,f1,roc_auc,pr_auc
1,1,0.36363636363636365,0.8125,0.31249999999999994
1,2,0.25,0.6967741935483871,0.28781609195402297
1,3,0.3333333333333333,0.838235294117647,0.3333333333333333
1,4,0.4444444444444444,0.9411764705882353,0.45
1,5,0.2222222222222222,0.8529411764705882,0.26666666666666666
2,1,0.18181818181818182,0.8529411764705883,0.34090909090909094
2,2,0.3076923076923077,0.78125,0.27976190476190477
2,3,0.5,0.9411764705882353,0.45
2,4,0.4,0.921875,0.6575757575757576
2,5,0.3333333333333333,0.6666666666666666,0.4226190476190476
3,1,0.0,0.5656565656565656,0.13560606060606062
3,2,0.3076923076923077,0.7474747474747474,0.2378167641325536
3,3,0.5,0.8970588235294118,0.6111111111111112
3,4,0.5,0.90625,0.475
3,5,0.2,0.8383838383838383,0.33164983164983164
4,1,0.4,0.9714285714285714,0.5
4,2,0.5454545454545454,0.921875,0.5238095238095238
4,3,0.0,0.7058823529411764,0.12878787878787878
4,4,0.2222222222222222,0.8515625,0.37351190476190477
4,5,0.4444444444444444,0.7421875,0.4094827586206896
5,1,0.5454545454545454,0.896774193548387,0.5112087912087911
5,2,0.2,0.8125,0.2973484848484848
5,3,0.3333333333333333,0.7794117647058824,0.23333333333333334
5,4,0.2222222222222222,0.5882352941176471,0.5333333333333333
5,5,0.2857142857142857,0.8676470588235294,0.24285714285714285
6,1,0.5714285714285714,0.96875,0.8303571428571428
6,2,0.0,0.8088235294117646,0.18333333333333335
6,3,0.2222222222222222,0.7794117647058824,0.3125
6,4,0.4,0.6640625,0.307258064516129
6,5,0.3333333333333333,0.7474747474747475,0.19212962962962962
7,1,0.4444444444444444,0.859375,0.36041666666666666
7,2,0.6666666666666666,0.9609375,0.7928571428571428
7,3,0.18181818181818182,0.797979797979798,0.3074074074074074
7,4,0.0,0.4411764705882353,0.07614942528735633
7,5,0.2857142857142857,0.7352941176470589,0.1625
8,1,0.18181818181818182,0.7474747474747475,0.18803418803418806
8,2,0.2222222222222222,0.8,0.125
8,3,0.25,0.7741935483870968,0.48512820512820515
8,4,0.4,0.8088235294117647,0.24358974358974358
8,5,0.6,0.875,0.5379901960784313
9,1,0.0,0.7352941176470589,0.14090909090909093
9,2,0.4444444444444444,0.9494949494949495,0.6984126984126984
9,3,0.6,0.7548387096774194,0.5438095238095237
9,4,0.0,0.7058823529411765,0.12916666666666665
9,5,0.5,0.8787878787878789,0.626984126984127
10,1,0.36363636363636365,0.78125,0.3291467304625199
10,2,0.3333333333333333,0.823529411764706,0.3269230769230769
10,3,0.6,0.9595959595959597,0.5888888888888889
10,4,0.25,0.734375,0.4552188552188552
10,5,0.0,0.75,0.14646464646464646
