rep,fold,f1,roc_auc,pr_auc
1,1,0.42857142857142855,0.8125,0.27976190476190477
1,2,0.2,0.7419354838709677,0.3341800356506238
1,3,0.2857142857142857,0.7941176470588236,0.20192307692307693
1,4,0.6666666666666666,0.9558823529411764,0.5
1,5,0.3333333333333333,0.8529411764705883,0.34090909090909094
2,1,0.36363636363636365,0.8088235294117647,0.18253968253968253
2,2,0.4,0.7890625,0.2875
2,3,0.25,0.8970588235294117,0.30952380952380953
2,4,0.4444444444444444,0.8515625,0.5793650793650793
2,5,0.4,0.7878787878787878,0.4944444444444444
3,1,0.0,0.5858585858585859,0.13722222222222222
3,2,0.25,0.7575757575757576,0.2342171717171717
3,3,0.3333333333333333,0.9411764705882353,0.6666666666666666
3,4,0.7272727272727273,0.953125,0.6083333333333333
3,5,0.36363636363636365,0.7878787878787878,0.21581196581196582
4,1,0.2857142857142857,1.0,1.0
4,2,0.8,0.9921875,0.95
4,3,0.0,0.8529411764705882,0.22619047619047616
4,4,0.2222222222222222,0.7421875,0.225
4,5,0.3333333333333333,0.7265625,0.2505952380952381
5,1,0.6666666666666666,0.9161290322580645,0.512063492063492
5,2,0.2222222222222222,0.7109375,0.23596491228070177
5,3,0.2857142857142857,0.926470588235294,0.6428571428571428
5,4,0.25,0.6176470588235294,0.165
5,5,0.2857142857142857,0.926470588235294,0.6428571428571428
6,1,0.5454545454545454,0.9296875,0.7708333333333333
6,2,0.4,0.823529411764706,0.3269230769230769
6,3,0.2222222222222222,0.8970588235294117,0.375
6,4,0.36363636363636365,0.6953125,0.22655677655677653
6,5,0.2857142857142857,0.8080808080808082,0.2611111111111111
7,1,0.36363636363636365,0.84375,0.36858974358974356
7,2,0.8888888888888888,0.9921875,0.95
7,3,0.36363636363636365,0.8686868686868686,0.3222222222222222
7,4,0.0,0.5,0.0787878787878788
7,5,0.0,0.6617647058823529,0.11805555555555555
8,1,0.0,0.6565656565656566,0.1434389140271493
8,2,0.25,0.9142857142857143,0.25
8,3,0.6666666666666666,0.896774193548387,0.7859649122807018
8,4,0.3333333333333333,0.8823529411764706,0.26785714285714285
8,5,0.5,0.8203125,0.3681077694235589
9,1,0.0,0.6911764705882353,0.12222222222222222
9,2,0.6,0.9797979797979799,0.8666666666666667
9,3,0.46153846153846156,0.7870967741935484,0.4206211180124223
9,4,0.2857142857142857,0.8676470588235293,0.25
9,5,0.25,0.8787878787878788,0.3206349206349206
10,1,0.5454545454545454,0.875,0.36408730158730157
10,2,0.3333333333333333,0.8382352941176471,0.25757575757575757
10,3,0.5,0.9090909090909091,0.42499999999999993
10,4,0.4,0.796875,0.34970238095238093
10,5,0.0,0.6176470588235294,0.10101010101010101
