rep,fold,f1,roc_auc,pr_auc
1,1,0.631578947368421,0.9014778325123153,0.8614285714285714
1,2,0.4444444444444444,0.7944444444444445,0.4623015873015873
1,3,0.5714285714285714,0.9166666666666667,0.75
1,4,0.18181818181818182,0.8181818181818181,0.31666666666666665
1,5,0.5454545454545454,0.7741935483870968,0.5883186705767351
2,1,0.6666666666666666,0.9870967741935485,0.9428571428571428
2,2,0.5555555555555556,0.9107142857142857,0.7093906093906094
2,3,0.4,0.6453201970443349,0.3666736489317134
2,4,0.0,0.7058823529411764,0.12878787878787878
2,5,0.625,0.9225806451612903,0.6342857142857143
3,1,0.3076923076923077,0.9705882352941176,0.5833333333333333
3,2,0.5882352941176471,0.8482142857142857,0.6197115384615385
3,3,0.5714285714285714,0.8055555555555556,0.5476190476190476
3,4,0.47058823529411764,0.8666666666666666,0.5918803418803419
3,5,0.5,0.7741935483870968,0.528937728937729
4,1,0.47619047619047616,0.7916666666666666,0.7041353538934185
4,2,0.6153846153846154,0.9296875,0.5527777777777777
4,3,0.5333333333333333,0.7944444444444444,0.6560105363984674
4,4,0.5,0.9852941176470588,0.8333333333333333
4,5,0.375,0.8585858585858586,0.3611111111111111
5,1,0.5263157894736842,0.9354838709677419,0.7442424242424241
5,2,0.6,0.90625,0.46111111111111114
5,3,0.36363636363636365,0.7421875,0.32179487179487176
5,4,0.6666666666666666,0.8125000000000001,0.7991300366300367
5,5,0.26666666666666666,0.7611111111111111,0.43731378915202446
6,1,0.625,0.8275862068965518,0.7624458874458875
6,2,0.631578947368421,0.8866995073891626,0.6191326530612244
6,3,0.25,0.7890625,0.36420454545454545
6,4,0.5263157894736842,0.8277777777777778,0.6513888888888889
6,5,0.18181818181818182,0.797979797979798,0.4653679653679654
7,1,0.6666666666666666,0.8888888888888888,0.7735449735449735
7,2,0.47058823529411764,0.7611111111111111,0.4234279609279609
7,3,0.3333333333333333,0.7722222222222223,0.4594691857849752
7,4,0.6153846153846154,0.9419354838709677,0.7166666666666666
7,5,0.46153846153846156,0.7578125,0.634469696969697
8,1,0.42105263157894735,0.8666666666666667,0.7713815789473684
8,2,0.5,0.8333333333333333,0.6168909592822637
8,3,0.46153846153846156,0.7890625,0.39880952380952384
8,4,0.36363636363636365,0.6875,0.26975806451612905
8,5,0.7142857142857143,0.9507389162561576,0.8500927643784786
9,1,0.5882352941176471,0.9055555555555554,0.6814204314204314
9,2,0.375,0.7555555555555555,0.4895451770451771
9,3,0.5882352941176471,0.85,0.44030501089324625
9,4,0.6666666666666666,0.8388888888888889,0.7915173237753883
9,5,0.0,0.5959595959595959,0.1393097643097643
10,1,0.5,0.9453125,0.7875
10,2,0.5263157894736842,0.7232142857142858,0.47201996927803375
10,3,0.42857142857142855,0.9296875,0.8269230769230769
10,4,0.36363636363636365,0.7677419354838709,0.38252587991718423
10,5,0.6153846153846154,0.9500000000000001,0.825925925925926
