rep,fold,f1,roc_auc,pr_auc
1,1,0.6666666666666666,0.9261083743842364,0.8843537414965985
1,2,0.4,0.7055555555555556,0.36037457912457915
1,3,0.6666666666666666,0.9055555555555557,0.6370370370370371
1,4,0.15384615384615385,0.787878787878788,0.2991452991452992
1,5,0.6666666666666666,0.7806451612903227,0.6948717948717948
2,1,0.5714285714285714,0.935483870967742,0.8314285714285714
2,2,0.625,0.8883928571428572,0.6626925770308123
2,3,0.5,0.6157635467980296,0.39042207792207784
2,4,0.0,0.7058823529411765,0.12692307692307692
2,5,0.6666666666666666,0.9161290322580645,0.5192857142857142
3,1,0.3333333333333333,0.9558823529411764,0.5
3,2,0.7058823529411765,0.8258928571428571,0.5228869047619047
3,3,0.5,0.7666666666666666,0.49603174603174605
3,4,0.5333333333333333,0.8888888888888888,0.6090298590298591
3,5,0.4,0.7677419354838709,0.6049853372434018
4,1,0.6,0.8125000000000001,0.7601959244222672
4,2,0.6666666666666666,0.9453125,0.5666666666666667
4,3,0.5333333333333333,0.7666666666666667,0.5294117647058824
4,4,0.4,0.9411764705882353,0.45
4,5,0.3076923076923077,0.7979797979797979,0.3
5,1,0.47058823529411764,0.8774193548387096,0.6944444444444444
5,2,0.5454545454545454,0.90625,0.4909090909090909
5,3,0.4444444444444444,0.75,0.31431159420289856
5,4,0.6666666666666666,0.7857142857142858,0.7603471449758992
5,5,0.4,0.8333333333333334,0.42003968253968255
6,1,0.6153846153846154,0.7931034482758621,0.6203981592637055
6,2,0.631578947368421,0.916256157635468,0.6694400837257979
6,3,0.2222222222222222,0.7265625,0.3005952380952381
6,4,0.5882352941176471,0.7555555555555555,0.44465488215488214
6,5,0.3333333333333333,0.8181818181818181,0.32857142857142857
7,1,0.5333333333333333,0.8333333333333333,0.5706682206682206
7,2,0.5,0.7555555555555555,0.4019161841742487
7,3,0.375,0.7555555555555555,0.4544657097288676
7,4,0.5714285714285714,0.9419354838709677,0.7166666666666666
7,5,0.6666666666666666,0.75,0.5969696969696969
8,1,0.45454545454545453,0.8,0.4252136752136752
8,2,0.5714285714285714,0.8388888888888889,0.6519047619047619
8,3,0.46153846153846156,0.7265625,0.3645833333333333
8,4,0.4,0.703125,0.27198275862068966
8,5,0.7272727272727273,0.9458128078817735,0.853113553113553
9,1,0.625,0.9111111111111112,0.7259920634920635
9,2,0.42857142857142855,0.75,0.36160979543332483
9,3,0.625,0.8944444444444445,0.4958694083694084
9,4,0.7142857142857143,0.8277777777777778,0.6864087301587302
9,5,0.0,0.4949494949494949,0.11616161616161616
10,1,0.47058823529411764,0.8828125,0.4131944444444444
10,2,0.5882352941176471,0.7008928571428572,0.43814865689865695
10,3,0.46153846153846156,0.921875,0.7644230769230769
10,4,0.4,0.832258064516129,0.518888888888889
10,5,0.6153846153846154,0.9222222222222223,0.8138528138528138
