rep,fold,f1,roc_auc,pr_auc
1,1,0.6666666666666666,0.9507389162561576,0.8239022881880023
1,2,0.4,0.6944444444444444,0.3551421404682274
1,3,0.5882352941176471,0.9166666666666667,0.5930555555555556
1,4,0.2857142857142857,0.7676767676767677,0.1994949494949495
1,5,0.5,0.6774193548387096,0.4347513227513228
2,1,0.5333333333333333,0.8193548387096774,0.5607142857142857
2,2,0.6,0.7991071428571428,0.5428758741258741
2,3,0.5,0.7389162561576355,0.38809523809523805
2,4,0.16666666666666666,0.8235294117647058,0.25
2,5,0.625,0.9483870967741935,0.8111111111111111
3,1,0.2857142857142857,0.9411764705882353,0.41666666666666663
3,2,0.631578947368421,0.9241071428571428,0.7599587912087913
3,3,0.47058823529411764,0.7055555555555556,0.39764309764309763
3,4,0.6666666666666666,0.9,0.6203703703703703
3,5,0.36363636363636365,0.6838709677419355,0.2812121212121212
4,1,0.6153846153846154,0.7604166666666666,0.6335632408213053
4,2,0.5333333333333333,0.953125,0.7291666666666666
4,3,0.47058823529411764,0.7444444444444445,0.4942129629629629
4,4,0.4,0.9411764705882353,0.45
4,5,0.36363636363636365,0.7171717171717171,0.3162393162393162
5,1,0.42105263157894735,0.8387096774193548,0.6092857142857142
5,2,0.7272727272727273,0.9453125,0.6678571428571428
5,3,0.42857142857142855,0.75,0.39166666666666666
5,4,0.5714285714285714,0.8080357142857143,0.7158590212469522
5,5,0.42857142857142855,0.838888888888889,0.42228835978835977
6,1,0.625,0.7635467980295567,0.7251748251748251
6,2,0.5454545454545454,0.8325123152709359,0.45641165557131935
6,3,0.46153846153846156,0.7578125,0.3717948717948718
6,4,0.625,0.8555555555555556,0.6407004830917874
6,5,0.16666666666666666,0.8383838383838383,0.4909090909090909
7,1,0.7058823529411765,0.8944444444444445,0.514021164021164
7,2,0.4444444444444444,0.7944444444444445,0.4807692307692307
7,3,0.25,0.6444444444444445,0.31111111111111106
7,4,0.625,0.896774193548387,0.5709090909090909
7,5,0.5,0.75,0.5969696969696969
8,1,0.45454545454545453,0.8722222222222222,0.6544584500466853
8,2,0.5882352941176471,0.911111111111111,0.6746031746031745
8,3,0.3333333333333333,0.8125,0.39761904761904765
8,4,0.5454545454545454,0.71875,0.27619047619047615
8,5,0.7272727272727273,0.7881773399014779,0.7805145046524358
9,1,0.625,0.7944444444444445,0.5158730158730159
9,2,0.47058823529411764,0.8055555555555556,0.4705555555555555
9,3,0.47619047619047616,0.8444444444444446,0.44301948051948054
9,4,0.6666666666666666,0.8500000000000001,0.8368055555555556
9,5,0.2,0.7070707070707071,0.18095238095238092
10,1,0.5,0.9453125,0.6845238095238095
10,2,0.47058823529411764,0.7098214285714286,0.41501442793106025
10,3,0.42105263157894735,0.8671875,0.35158730158730156
10,4,0.5714285714285714,0.8516129032258065,0.4153174603174603
10,5,0.6153846153846154,0.8666666666666667,0.7552777777777777
