rep,fold,f1,roc_auc,pr_auc
1,1,0.6363636363636364,0.9014778325123153,0.7227367870225012
1,2,0.47058823529411764,0.8388888888888888,0.44671717171717173
1,3,0.47058823529411764,0.7444444444444445,0.4579490557751427
1,4,0.3333333333333333,0.7474747474747475,0.18716931216931218
1,5,0.5,0.735483870967742,0.5584656084656084
2,1,0.5714285714285714,0.9161290322580645,0.6888888888888889
2,2,0.5714285714285714,0.7589285714285714,0.47604548229548227
2,3,0.5882352941176471,0.7832512315270935,0.5263056835637481
2,4,0.16666666666666666,0.75,0.1875
2,5,0.5,0.8387096774193548,0.6110731373889269
3,1,0.2857142857142857,0.9558823529411764,0.5
3,2,0.6666666666666666,0.8705357142857142,0.5920867327117327
3,3,0.4444444444444444,0.6777777777777778,0.3098544973544973
3,4,0.5,0.7444444444444445,0.46018518518518514
3,5,0.5454545454545454,0.8838709677419355,0.5866666666666667
4,1,0.64,0.7847222222222223,0.6448447178945901
4,2,0.5,0.8359375,0.4409722222222222
4,3,0.5,0.7777777777777777,0.537962962962963
4,4,0.36363636363636365,0.9411764705882353,0.45
4,5,0.3333333333333333,0.8787878787878788,0.55
5,1,0.47058823529411764,0.8451612903225807,0.5380952380952382
5,2,0.4444444444444444,0.8046875,0.3701923076923077
5,3,0.4,0.75,0.30666666666666664
5,4,0.5714285714285714,0.8616071428571429,0.798265460030166
5,5,0.5555555555555556,0.8055555555555556,0.4797619047619047
6,1,0.6153846153846154,0.7881773399014778,0.5768744521402027
6,2,0.5454545454545454,0.7980295566502463,0.39256664388243334
6,3,0.46153846153846156,0.796875,0.54
6,4,0.625,0.8944444444444444,0.560515873015873
6,5,0.25,0.7474747474747474,0.4434389140271493
7,1,0.5555555555555556,0.8444444444444444,0.5665204678362573
7,2,0.4,0.7666666666666667,0.546744227994228
7,3,0.47058823529411764,0.6777777777777778,0.2738335738335739
7,4,0.5555555555555556,0.9483870967741936,0.6295238095238094
7,5,0.5,0.8046875,0.6051282051282051
8,1,0.45454545454545453,0.8388888888888889,0.6691468253968254
8,2,0.6666666666666666,0.9444444444444444,0.7842592592592592
8,3,0.3333333333333333,0.7421875,0.2702380952380952
8,4,0.42857142857142855,0.6953125,0.24404761904761904
8,5,0.5714285714285714,0.8374384236453202,0.6806586270871984
9,1,0.625,0.8222222222222222,0.5566666666666666
9,2,0.47058823529411764,0.8111111111111111,0.44960317460317456
9,3,0.5217391304347826,0.8722222222222222,0.5050925925925926
9,4,0.5714285714285714,0.8111111111111111,0.5448611111111111
9,5,0.2,0.696969696969697,0.1736111111111111
10,1,0.4444444444444444,0.90625,0.7214285714285714
10,2,0.5263157894736842,0.7723214285714286,0.4704532309795468
10,3,0.42857142857142855,0.7890625,0.31726190476190474
10,4,0.625,0.9161290322580644,0.5442424242424242
10,5,0.46153846153846156,0.7944444444444445,0.5689664502164502
