rep,fold,f1,roc_auc,pr_auc
1,1,0.625,0.9014778325123153,0.8266806722689075
1,2,0.6153846153846154,0.8722222222222221,0.4701409701409701
1,3,0.42857142857142855,0.6833333333333335,0.32061546840958605
1,4,0.36363636363636365,0.7676767676767676,0.21249999999999997
1,5,0.5,0.6774193548387097,0.517989417989418
2,1,0.5454545454545454,0.864516129032258,0.4009090909090909
2,2,0.625,0.7946428571428572,0.6602430299605222
2,3,0.625,0.7931034482758621,0.4573852529517554
2,4,0.0,0.5294117647058824,0.08333333333333333
2,5,0.46153846153846156,0.6838709677419355,0.30098355471220745
3,1,0.36363636363636365,0.8823529411764706,0.26785714285714285
3,2,0.7058823529411765,0.8660714285714286,0.545281862745098
3,3,0.5,0.7111111111111111,0.37750172532781223
3,4,0.5714285714285714,0.7611111111111111,0.6840277777777777
3,5,0.25,0.8064516129032258,0.4888888888888889
4,1,0.5454545454545454,0.7430555555555556,0.51746262566696
4,2,0.5454545454545454,0.7578125,0.39281609195402295
4,3,0.5714285714285714,0.7388888888888888,0.42932263814616756
4,4,0.5,0.9411764705882353,0.45
4,5,0.2857142857142857,0.8282828282828283,0.3625
5,1,0.42857142857142855,0.832258064516129,0.38106060606060604
5,2,0.5,0.6796875,0.29523809523809524
5,3,0.4,0.71875,0.30448717948717946
5,4,0.625,0.8660714285714286,0.8037037037037037
5,5,0.5714285714285714,0.7611111111111111,0.345843776106934
6,1,0.5,0.7783251231527093,0.6524061237398184
6,2,0.375,0.7142857142857142,0.37193877551020404
6,3,0.4,0.6953125,0.3142857142857143
6,4,0.8571428571428571,0.9611111111111111,0.7166666666666667
6,5,0.4,0.8383838383838383,0.2694805194805195
7,1,0.6153846153846154,0.8888888888888888,0.600925925925926
7,2,0.5714285714285714,0.7555555555555555,0.48582516339869275
7,3,0.3076923076923077,0.6944444444444444,0.27814407814407816
7,4,0.5,0.8451612903225807,0.4245378151260505
7,5,0.6,0.7734375,0.47614942528735626
8,1,0.5555555555555556,0.7833333333333333,0.39481074481074485
8,2,0.5714285714285714,0.8833333333333334,0.5555555555555556
8,3,0.6,0.7734375,0.5125
8,4,0.5454545454545454,0.75,0.28214285714285714
8,5,0.2222222222222222,0.7635467980295566,0.46268440486562523
9,1,0.6,0.8555555555555556,0.7285353535353535
9,2,0.4,0.7555555555555555,0.33939393939393947
9,3,0.5882352941176471,0.8388888888888889,0.42513227513227514
9,4,0.5,0.7166666666666667,0.5772893772893772
9,5,0.5,0.808080808080808,0.3032679738562092
10,1,0.6666666666666666,0.9609375,0.6458333333333333
10,2,0.7058823529411765,0.8080357142857143,0.5266369047619048
10,3,0.16666666666666666,0.640625,0.25416666666666665
10,4,0.4444444444444444,0.8258064516129032,0.39813519813519815
10,5,0.5,0.6666666666666667,0.3157121707963223
