rep,fold,f1,roc_auc,pr_auc
1,1,0.5555555555555556,0.9113300492610837,0.7933150183150182
1,2,0.5714285714285714,0.8166666666666667,0.3930555555555556
1,3,0.3076923076923077,0.7333333333333334,0.3474074074074074
1,4,0.26666666666666666,0.707070707070707,0.17777777777777776
1,5,0.2857142857142857,0.7290322580645161,0.4777777777777778
2,1,0.4,0.8451612903225807,0.406060606060606
2,2,0.4444444444444444,0.7678571428571428,0.568525641025641
2,3,0.5714285714285714,0.8325123152709359,0.4793127507413221
2,4,0.0,0.7205882352941175,0.13333333333333333
2,5,0.46153846153846156,0.7612903225806452,0.5423809523809524
3,1,0.3333333333333333,0.8529411764705882,0.22619047619047616
3,2,0.631578947368421,0.90625,0.7880482456140351
3,3,0.36363636363636365,0.7777777777777778,0.40227455716586147
3,4,0.46153846153846156,0.75,0.4760412001791312
3,5,0.16666666666666666,0.6967741935483871,0.2319047619047619
4,1,0.43478260869565216,0.6770833333333334,0.46025641850132515
4,2,0.42857142857142855,0.8046875,0.6634615384615384
4,3,0.42857142857142855,0.8055555555555556,0.4165584415584416
4,4,0.4444444444444444,0.926470588235294,0.41666666666666663
4,5,0.2857142857142857,0.7575757575757576,0.2933723196881092
5,1,0.375,0.8129032258064517,0.36153846153846153
5,2,0.0,0.6796875,0.21068376068376068
5,3,0.6666666666666666,0.7734375,0.3953703703703703
5,4,0.5555555555555556,0.8526785714285714,0.6828468508615567
5,5,0.4,0.7666666666666667,0.38642676767676765
6,1,0.46153846153846156,0.8275862068965517,0.6642265601892932
6,2,0.26666666666666666,0.7142857142857143,0.33140502354788065
6,3,0.42857142857142855,0.7109375,0.27321428571428574
6,4,0.6666666666666666,0.9111111111111112,0.7041666666666666
6,5,0.2,0.797979797979798,0.3125
7,1,0.6666666666666666,0.9000000000000001,0.5216269841269842
7,2,0.4,0.7055555555555556,0.3950968013468013
7,3,0.15384615384615385,0.6722222222222223,0.2623221685721686
7,4,0.46153846153846156,0.8516129032258065,0.556045751633987
7,5,0.36363636363636365,0.7578125,0.33295454545454545
8,1,0.4,0.8222222222222222,0.49285714285714277
8,2,0.5882352941176471,0.8611111111111112,0.4629629629629629
8,3,0.4,0.7421875,0.3384615384615385
8,4,0.4,0.765625,0.27678571428571425
8,5,0.2,0.7684729064039408,0.493798185941043
9,1,0.4,0.8277777777777777,0.607331074722379
9,2,0.375,0.8388888888888888,0.5817311773194126
9,3,0.4444444444444444,0.788888888888889,0.34731240981240985
9,4,0.42857142857142855,0.7444444444444445,0.42084377610693396
9,5,0.4444444444444444,0.7474747474747474,0.24206349206349204
10,1,0.5714285714285714,0.9609375,0.8125
10,2,0.5555555555555556,0.7901785714285714,0.44221455627705625
10,3,0.0,0.609375,0.1579861111111111
10,4,0.4,0.8580645161290322,0.3925757575757576
10,5,0.42857142857142855,0.6944444444444444,0.34743284493284493
