rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.28125,0.09303500687201875
1,2,0.46153846153846156,0.828125,0.6916666666666667
1,3,0.5454545454545454,0.8611111111111112,0.7136111111111111
1,4,0.5714285714285714,0.9852941176470588,0.8333333333333333
1,5,0.375,0.5960591133004927,0.43997493734335835
2,1,0.36363636363636365,0.5555555555555556,0.37306686448562876
2,2,0.3076923076923077,0.5483870967741935,0.38358422939068104
2,3,0.2222222222222222,0.5757575757575757,0.1585576259489303
2,4,0.47058823529411764,0.8522167487684729,0.6792207792207792
2,5,0.8,1.0,1.0
3,1,0.4444444444444444,0.5625,0.3082579185520362
3,2,0.4,0.9090909090909091,0.5777777777777777
3,3,0.5333333333333333,0.8444444444444444,0.657367149758454
3,4,0.4,0.9852941176470588,0.8333333333333333
3,5,0.18181818181818182,0.5625,0.3588678531613314
4,1,0.25,0.6868686868686869,0.24338624338624337
4,2,0.625,0.78125,0.7102268062397372
4,3,0.0,0.5428571428571429,0.058823529411764705
4,4,0.4,0.6,0.4062660010240655
4,5,0.42857142857142855,0.6903225806451613,0.4915170278637771
5,1,0.36363636363636365,0.6064516129032258,0.24596993810786916
5,2,0.6666666666666666,0.793103448275862,0.6992648672372175
5,3,0.36363636363636365,0.5277777777777778,0.35432198973865636
5,4,0.0,0.6565656565656566,0.18393939393939396
5,5,0.3333333333333333,0.9852941176470588,0.8333333333333333
6,1,0.16666666666666666,0.4580645161290322,0.1729247311827957
6,2,0.5454545454545454,0.7777777777777777,0.43005493531809313
6,3,0.8333333333333334,1.0,1.0
6,4,0.2857142857142857,0.5714285714285714,0.40555555555555556
6,5,0.0,,-0.0
7,1,0.18181818181818182,0.4921875,0.33964912280701753
7,2,0.47058823529411764,0.6830357142857142,0.5982371794871795
7,3,0.4444444444444444,0.9411764705882353,0.6666666666666666
7,4,0.6666666666666666,0.8888888888888888,0.5556489262371616
7,5,0.0,0.3131313131313131,0.08489326765188834
8,1,0.6153846153846154,0.8333333333333334,0.6818783068783069
8,2,0.46153846153846156,0.7277777777777779,0.5035409035409035
8,3,0.2,0.5703125,0.17159090909090907
8,4,0.18181818181818182,0.34375,0.19729064039408867
8,5,0.5,0.9191919191919191,0.6555555555555554
9,1,0.4,0.6055555555555556,0.4568402073473067
9,2,0.8,0.9852941176470588,0.8333333333333333
9,3,0.3076923076923077,0.7483870967741936,0.45639097744360907
9,4,0.2857142857142857,0.6323529411764706,0.537037037037037
9,5,0.4,0.6428571428571428,0.5190022866996551
10,1,0.0,0.3529411764705882,0.062037037037037036
10,2,0.46153846153846156,0.6403940886699507,0.447242888236677
10,3,0.4444444444444444,0.6640625,0.5708333333333333
10,4,0.2,0.6969696969696969,0.21136173767752714
10,5,0.7142857142857143,0.8620689655172414,0.7976190476190474
