rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.3359375,0.09993315508021391
1,2,0.2857142857142857,0.7734375,0.6081818181818182
1,3,0.4,0.711111111111111,0.33997113997114
1,4,0.3076923076923077,0.7647058823529411,0.15555555555555556
1,5,0.375,0.48768472906403937,0.3052657426607006
2,1,0.25,0.5444444444444445,0.3464546783625731
2,2,0.3333333333333333,0.4967741935483871,0.21162464985994395
2,3,0.15384615384615385,0.5353535353535354,0.11675438596491228
2,4,0.42105263157894735,0.729064039408867,0.4560548559599793
2,5,0.3333333333333333,0.9117647058823529,0.325
3,1,0.15384615384615385,0.4609375,0.21343954248366012
3,2,0.3076923076923077,0.7474747474747475,0.18716931216931218
3,3,0.5714285714285714,0.85,0.5132275132275133
3,4,0.3076923076923077,0.8529411764705882,0.22619047619047616
3,5,0.15384615384615385,0.47767857142857145,0.32867895693865523
4,1,0.18181818181818182,0.6262626262626262,0.1511111111111111
4,2,0.5263157894736842,0.6741071428571428,0.4127407164091947
4,3,0.0,0.48571428571428577,0.05263157894736842
4,4,0.35294117647058826,0.5833333333333334,0.40588624338624335
4,5,0.16666666666666666,0.6258064516129033,0.22729055258467024
5,1,0.25,0.5161290322580645,0.20301587301587298
5,2,0.47058823529411764,0.7192118226600984,0.5914965986394558
5,3,0.3333333333333333,0.5666666666666668,0.28465608465608466
5,4,0.2,0.595959595959596,0.15366300366300367
5,5,0.18181818181818182,0.7794117647058822,0.1625
6,1,0.0,0.43870967741935485,0.1429090909090909
6,2,0.5333333333333333,0.8388888888888888,0.6195436507936507
6,3,0.5333333333333333,0.9225806451612902,0.6585281385281385
6,4,0.2222222222222222,0.37438423645320196,0.17346342045590166
6,5,0.0,,-0.0
7,1,0.11764705882352941,0.375,0.1595238095238095
7,2,0.3333333333333333,0.6116071428571428,0.398935469237012
7,3,0.3333333333333333,0.8676470588235293,0.35
7,4,0.5333333333333333,0.85,0.5093406593406593
7,5,0.2,0.43434343434343436,0.11666666666666667
8,1,0.3333333333333333,0.6722222222222222,0.37038398692810454
8,2,0.35294117647058826,0.5777777777777778,0.28298923298923295
8,3,0.0,0.609375,0.1717948717948718
8,4,0.2,0.359375,0.13776683087027913
8,5,0.46153846153846156,0.8484848484848485,0.2757936507936508
9,1,0.4,0.5111111111111112,0.47193043884220354
9,2,0.2222222222222222,0.8970588235294118,0.6111111111111112
9,3,0.2857142857142857,0.6709677419354838,0.2194031458737341
