rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.4296875,0.11781609195402298
1,2,0.375,0.8125,0.4833333333333333
1,3,0.42857142857142855,0.7722222222222223,0.5119169719169719
1,4,0.5714285714285714,0.9852941176470588,0.8333333333333333
1,5,0.375,0.6108374384236452,0.45727018079959253
2,1,0.36363636363636365,0.6277777777777778,0.3606800766283525
2,2,0.26666666666666666,0.5032258064516129,0.25210084033613445
2,3,0.18181818181818182,0.6767676767676768,0.2587301587301587
2,4,0.47619047619047616,0.8275862068965516,0.6324603174603174
2,5,0.25,0.8823529411764707,0.3611111111111111
3,1,0.2857142857142857,0.5625,0.4085714285714286
3,2,0.18181818181818182,0.8181818181818182,0.2685185185185185
3,3,0.5,0.8888888888888888,0.7002136752136752
3,4,0.3076923076923077,0.9411764705882353,0.41666666666666663
3,5,0.3333333333333333,0.5357142857142858,0.4505411255411255
4,1,0.16666666666666666,0.5757575757575757,0.18888888888888888
4,2,0.5263157894736842,0.8169642857142857,0.6350071225071225
4,3,0.0,0.6571428571428571,0.07692307692307693
4,4,0.36363636363636365,0.6555555555555556,0.37990481740481735
4,5,0.42857142857142855,0.6580645161290323,0.5614117647058823
5,1,0.4,0.7741935483870968,0.3833333333333333
5,2,0.47058823529411764,0.7733990147783252,0.5792517006802721
5,3,0.26666666666666666,0.538888888888889,0.4007814407814408
5,4,0.0,0.5858585858585859,0.1288888888888889
5,5,0.3333333333333333,0.9705882352941176,0.5833333333333333
6,1,0.15384615384615385,0.5096774193548387,0.17171296296296296
6,2,0.46153846153846156,0.7777777777777778,0.4798673548673549
6,3,0.5882352941176471,1.0,1.0
6,4,0.26666666666666666,0.6206896551724138,0.39286932164170013
6,5,0.0,,-0.0
7,1,0.15384615384615385,0.6171875,0.3698192970822281
7,2,0.45454545454545453,0.7544642857142857,0.6907327586206897
7,3,0.4,0.926470588235294,0.6428571428571428
7,4,0.5454545454545454,0.8055555555555556,0.5158221408221408
7,5,0.0,0.303030303030303,0.08015873015873015
8,1,0.5,0.7555555555555555,0.5148478835978836
8,2,0.5,0.8388888888888888,0.56875
8,3,0.16666666666666666,0.5625,0.19582491582491582
8,4,0.0,0.34375,0.10602869352869353
8,5,0.4,0.8787878787878788,0.7333333333333334
9,1,0.4,0.6111111111111112,0.40733808674985145
9,2,0.4444444444444444,0.9558823529411764,0.7
9,3,0.25,0.7032258064516129,0.317948717948718
9,4,0.2,0.8676470588235293,0.35
9,5,0.375,0.6473214285714286,0.5480867165242165
10,1,0.0,0.6617647058823528,0.11309523809523808
10,2,0.2857142857142857,0.5467980295566502,0.3848883555780107
10,3,0.4444444444444444,0.6328125,0.3587037037037037
10,4,0.2857142857142857,0.8484848484848485,0.4
10,5,0.625,0.8226600985221675,0.6666256157635468
