rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.4140625,0.11298076923076923
1,2,0.4,0.796875,0.49318181818181817
1,3,0.42857142857142855,0.8333333333333334,0.565954415954416
1,4,0.3333333333333333,0.9558823529411764,0.7
1,5,0.25,0.5073891625615763,0.43347686900847293
2,1,0.23529411764705882,0.6333333333333333,0.2763173029191336
2,2,0.2857142857142857,0.5612903225806452,0.3936541889483066
2,3,0.2,0.6666666666666666,0.16428571428571428
2,4,0.5,0.7684729064039408,0.58796992481203
2,5,0.2,0.8529411764705882,0.5833333333333334
3,1,0.36363636363636365,0.59375,0.2502450980392157
3,2,0.18181818181818182,0.7878787878787878,0.30000000000000004
3,3,0.42105263157894735,0.8444444444444444,0.5919312169312169
3,4,0.26666666666666666,0.9705882352941176,0.5833333333333333
3,5,0.18181818181818182,0.4151785714285714,0.23229550713566058
4,1,0.15384615384615385,0.5757575757575757,0.12611111111111112
4,2,0.4444444444444444,0.8080357142857143,0.6949205685618729
4,3,0.0,0.4571428571428572,0.05
4,4,0.3076923076923077,0.6333333333333333,0.2806126836699592
4,5,0.4,0.6580645161290323,0.5798214285714285
5,1,0.3333333333333333,0.7225806451612904,0.27825396825396825
5,2,0.4,0.7044334975369458,0.5500254647313471
5,3,0.25,0.5333333333333333,0.2644994840041279
5,4,0.0,0.5959595959595959,0.129985754985755
5,5,0.5,1.0,1.0
6,1,0.15384615384615385,0.535483870967742,0.18285714285714286
6,2,0.5,0.75,0.38968253968253974
6,3,0.5263157894736842,1.0,1.0
6,4,0.13333333333333333,0.5615763546798029,0.3415966386554622
6,5,0.0,,-0.0
7,1,0.13333333333333333,0.546875,0.353517316017316
7,2,0.4444444444444444,0.7410714285714286,0.6567772444946358
7,3,0.4,0.9117647058823529,0.3333333333333333
7,4,0.46153846153846156,0.75,0.46355287151433194
7,5,0.0,0.41414141414141414,0.09894179894179894
8,1,0.5333333333333333,0.75,0.5333800186741363
8,2,0.3157894736842105,0.6,0.3464882943143813
8,3,0.14285714285714285,0.53125,0.18601190476190477
8,4,0.0,0.4921875,0.13322368421052633
8,5,0.4444444444444444,0.9595959595959596,0.8095238095238095
9,1,0.3076923076923077,0.5,0.23809523809523808
9,2,0.4,0.9411764705882353,0.6666666666666666
9,3,0.23529411764705882,0.6580645161290323,0.28285714285714286
9,4,0.18181818181818182,0.7647058823529411,0.3088235294117647
9,5,0.375,0.7232142857142857,0.5860952199338927
10,1,0.0,0.6029411764705882,0.09728506787330317
10,2,0.26666666666666666,0.605911330049261,0.39594277902548575
10,3,0.36363636363636365,0.671875,0.36911764705882355
10,4,0.16666666666666666,0.5555555555555556,0.23565217391304347
10,5,0.5555555555555556,0.8029556650246306,0.6833642547928263
