rep,fold,f1,roc_auc,pr_auc
1,1,0.16666666666666666,0.5546875,0.1481046365914787
1,2,0.4,0.6953125,0.2969827586206897
1,3,0.5,0.7611111111111111,0.5664086687306501
1,4,0.4444444444444444,1.0,1.0
1,5,0.36363636363636365,0.5566502463054187,0.45139146567717997
2,1,0.2857142857142857,0.6111111111111112,0.2867010440539852
2,2,0.4,0.5612903225806452,0.4898442714126808
2,3,0.4,0.6868686868686869,0.2976190476190476
2,4,0.5714285714285714,0.7536945812807881,0.5964007825352363
2,5,0.18181818181818182,0.8382352941176471,0.5769230769230769
3,1,0.4444444444444444,0.6640625,0.3052083333333333
3,2,0.25,0.7474747474747475,0.28095238095238095
3,3,0.5882352941176471,0.8666666666666667,0.6594877344877345
3,4,0.3333333333333333,0.9705882352941176,0.75
3,5,0.15384615384615385,0.42410714285714285,0.23083790909760737
4,1,0.16666666666666666,0.5454545454545454,0.400679117147708
4,2,0.5,0.8080357142857143,0.6928977272727272
4,3,0.0,0.17142857142857137,0.03333333333333333
4,4,0.42857142857142855,0.6277777777777778,0.26006968178020806
4,5,0.5454545454545454,0.7419354838709677,0.6733333333333333
5,1,0.3333333333333333,0.7935483870967741,0.4726984126984127
5,2,0.5,0.6748768472906403,0.5608517440413991
5,3,0.375,0.6055555555555555,0.27568257187932643
5,4,0.0,0.42424242424242425,0.09163533834586467
5,5,0.4444444444444444,1.0,1.0
6,1,0.16666666666666666,0.6193548387096774,0.22406604747162023
6,2,0.6153846153846154,0.7611111111111111,0.4428014480646059
6,3,0.5555555555555556,0.9870967741935485,0.9428571428571428
6,4,0.18181818181818182,0.5123152709359606,0.25811841106613076
6,5,0.0,,-0.0
7,1,0.2857142857142857,0.578125,0.36573275862068966
7,2,0.4444444444444444,0.7366071428571429,0.657222601959444
7,3,0.5,0.9264705882352942,0.3666666666666667
7,4,0.5454545454545454,0.75,0.5403439153439153
7,5,0.0,0.3737373737373737,0.08468720821661999
8,1,0.5714285714285714,0.788888888888889,0.6021929824561403
8,2,0.5,0.7055555555555556,0.5414141414141413
8,3,0.14285714285714285,0.4765625,0.1612787356321839
8,4,0.0,0.5546875,0.14463141025641024
8,5,0.6666666666666666,0.8686868686868687,0.7291666666666666
9,1,0.36363636363636365,0.5333333333333333,0.23374741200828156
9,2,0.4,0.9705882352941176,0.75
9,3,0.46153846153846156,0.7225806451612904,0.392816091954023
9,4,0.2222222222222222,0.823529411764706,0.3269230769230769
9,5,0.375,0.6071428571428572,0.404477969348659
10,1,0.2222222222222222,0.7647058823529411,0.15476190476190477
10,2,0.36363636363636365,0.6206896551724138,0.43766233766233764
10,3,0.4,0.734375,0.5857843137254902
10,4,0.16666666666666666,0.5353535353535352,0.17953216374269004
10,5,0.5882352941176471,0.7783251231527093,0.642063492063492
