rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.5234375,0.13637678111362322
1,2,0.4,0.7890625,0.5221428571428571
1,3,0.5454545454545454,0.6277777777777778,0.590900039824771
1,4,0.6666666666666666,1.0,1.0
1,5,0.36363636363636365,0.5763546798029556,0.4688423645320197
2,1,0.36363636363636365,0.6055555555555556,0.3354382332643202
2,2,0.4444444444444444,0.5096774193548388,0.4812728428412522
2,3,0.2222222222222222,0.6666666666666666,0.27037037037037037
2,4,0.46153846153846156,0.7733990147783252,0.6543839758125471
2,5,0.2857142857142857,0.8823529411764707,0.3611111111111111
3,1,0.3333333333333333,0.6484375,0.4864247311827957
3,2,0.3333333333333333,0.7777777777777778,0.27485380116959063
3,3,0.5333333333333333,0.8222222222222223,0.6372507122507123
3,4,0.4,1.0,1.0
3,5,0.16666666666666666,0.45089285714285715,0.2530786469934543
4,1,0.2222222222222222,0.5252525252525253,0.3968015992003998
4,2,0.5333333333333333,0.8303571428571428,0.6946875
4,3,0.0,0.02857142857142858,0.02857142857142857
4,4,0.2,0.5833333333333333,0.2647697555743533
4,5,0.5454545454545454,0.7096774193548387,0.6664827586206896
5,1,0.4,0.832258064516129,0.6050125313283208
5,2,0.5,0.7192118226600985,0.661157796451914
5,3,0.26666666666666666,0.5833333333333334,0.2787655369007944
5,4,0.0,0.2424242424242424,0.07191358024691358
5,5,0.6666666666666666,0.9705882352941176,0.75
6,1,0.2222222222222222,0.6064516129032258,0.27181964573268924
6,2,0.36363636363636365,0.6888888888888889,0.3957671957671957
6,3,0.7142857142857143,0.9870967741935485,0.9428571428571428
6,4,0.18181818181818182,0.5369458128078818,0.36743568395099974
6,5,0.0,,-0.0
7,1,0.16666666666666666,0.4921875,0.3478641456582633
7,2,0.5333333333333333,0.7633928571428572,0.5634403036576949
7,3,0.5,0.9411764705882353,0.41666666666666663
7,4,0.4444444444444444,0.7666666666666667,0.6183862433862434
7,5,0.0,0.29292929292929293,0.07633477633477634
8,1,0.5,0.75,0.6240079365079364
8,2,0.46153846153846156,0.7111111111111111,0.5484126984126984
8,3,0.16666666666666666,0.5625,0.18393874643874644
8,4,0.0,0.5390625,0.16756508205998866
8,5,0.6666666666666666,0.7777777777777778,0.7066666666666666
9,1,0.16666666666666666,0.6,0.2663690476190476
9,2,0.5714285714285714,1.0,1.0
9,3,0.4444444444444444,0.6774193548387096,0.3651529790660225
9,4,0.2857142857142857,0.8823529411764707,0.3611111111111111
9,5,0.42857142857142855,0.625,0.5405680973615756
10,1,0.0,0.75,0.14583333333333331
10,2,0.36363636363636365,0.5517241379310345,0.46136682934043177
10,3,0.5,0.7578125,0.5976923076923077
10,4,0.18181818181818182,0.5858585858585859,0.2525252525252525
10,5,0.5714285714285714,0.7536945812807881,0.6099659863945578
