rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.5625,0.1630015899964966
1,2,0.46153846153846156,0.6953125,0.24047619047619045
1,3,0.47058823529411764,0.8444444444444446,0.5699074074074074
1,4,0.4,1.0,1.0
1,5,0.36363636363636365,0.5960591133004925,0.4787303033101353
2,1,0.375,0.6833333333333333,0.3211880711880712
2,2,0.2857142857142857,0.6,0.40984427141268076
2,3,0.2222222222222222,0.6262626262626263,0.2655913978494624
2,4,0.5714285714285714,0.8374384236453202,0.6297313797313797
2,5,0.25,0.7941176470588235,0.23809523809523808
3,1,0.4,0.65625,0.3655913978494624
3,2,0.2222222222222222,0.8080808080808082,0.31025641025641026
3,3,0.5333333333333333,0.9055555555555557,0.6686507936507936
3,4,0.2857142857142857,0.8823529411764706,0.26666666666666666
3,5,0.3076923076923077,0.5044642857142857,0.2995157318195477
4,1,0.2222222222222222,0.5858585858585859,0.2525252525252525
4,2,0.47058823529411764,0.8705357142857142,0.7388888888888889
4,3,0.0,0.37142857142857144,0.043478260869565216
4,4,0.375,0.6777777777777778,0.2771338575217886
4,5,0.46153846153846156,0.6774193548387097,0.44759139784946234
5,1,0.5,0.864516129032258,0.43152625152625157
5,2,0.5,0.7093596059113301,0.48852078408728655
5,3,0.25,0.6166666666666666,0.27948028673835124
5,4,0.0,0.5353535353535352,0.12222222222222222
5,5,0.5,0.9705882352941176,0.75
6,1,0.15384615384615385,0.6193548387096774,0.20746031746031746
6,2,0.46153846153846156,0.7777777777777778,0.4051226551226551
6,3,0.6666666666666666,1.0,1.0
6,4,0.2857142857142857,0.5566502463054188,0.26368546306175417
6,5,0.0,,-0.0
7,1,0.16666666666666666,0.6015625,0.3665247795682578
7,2,0.5882352941176471,0.8169642857142857,0.5647779304029305
7,3,0.4,0.8823529411764706,0.26666666666666666
7,4,0.46153846153846156,0.7722222222222223,0.51497113997114
7,5,0.0,0.3939393939393939,0.09220779220779221
8,1,0.6153846153846154,0.8055555555555556,0.5829059829059828
8,2,0.4,0.75,0.4104229104229104
8,3,0.16666666666666666,0.515625,0.17709933435739889
8,4,0.16666666666666666,0.546875,0.15506508205998867
8,5,0.4444444444444444,0.9393939393939393,0.7777777777777777
9,1,0.26666666666666666,0.5333333333333333,0.2147986432469191
9,2,0.5,0.9558823529411764,0.7
9,3,0.2857142857142857,0.7225806451612904,0.37751322751322747
9,4,0.25,0.9117647058823529,0.39285714285714285
9,5,0.5,0.7276785714285714,0.539691091954023
10,1,0.0,0.7352941176470589,0.14090909090909093
10,2,0.5454545454545454,0.6798029556650247,0.5208045314900154
10,3,0.4,0.703125,0.37972085385878485
10,4,0.16666666666666666,0.6262626262626263,0.15794871794871795
10,5,0.5555555555555556,0.8177339901477831,0.6891614132993442
