rep,fold,f1,roc_auc,pr_auc
1,1,0.4,0.7263374485596708,0.44815609300491716
1,2,0.3076923076923077,0.601923076923077,0.2906989642703928
1,3,0.2,0.7288135593220338,0.16574074074074074
1,4,0.09523809523809523,0.559322033898305,0.20777988614800758
1,5,0.25,0.8448275862068966,0.2857142857142857
2,1,0.16666666666666666,0.7310344827586207,0.22883205456095482
2,2,0.09090909090909091,0.4736842105263158,0.26970926301555104
2,3,0.34782608695652173,0.748051948051948,0.36407217432427513
2,4,0.23529411764705882,0.6421052631578947,0.34444444444444444
2,5,0.4,0.7792207792207791,0.30197278911564623
3,1,0.2,0.5331632653061225,0.2220872406933788
3,2,0.08333333333333333,0.5819209039548022,0.08351139601139601
3,3,0.35294117647058826,0.8620689655172413,0.55625
3,4,0.3333333333333333,0.6947368421052631,0.3488461538461538
3,5,0.32432432432432434,0.7134615384615385,0.3544706680648942
4,1,0.35294117647058826,0.7457627118644067,0.3105345911949685
4,2,0.0,0.288135593220339,0.04480618304437349
4,3,0.14814814814814814,0.5694444444444444,0.20530454139945126
4,4,0.35714285714285715,0.8051948051948051,0.45933573429371743
4,5,0.4166666666666667,0.8233766233766233,0.5482142857142858
5,1,0.2222222222222222,0.5229591836734693,0.15035100857501835
5,2,0.48,0.7484276729559749,0.4732400643748162
5,3,0.09523809523809523,0.6724137931034482,0.3280011063986723
5,4,0.11764705882352941,0.6384180790960452,0.3870748299319728
5,5,0.3076923076923077,0.8005952380952381,0.3797206297206297
6,1,0.17391304347826086,0.6310344827586207,0.19435483870967746
6,2,0.2608695652173913,0.7157894736842105,0.25605920444033303
6,3,0.3333333333333333,0.8184523809523809,0.4616332497911445
6,4,0.2857142857142857,0.6883116883116883,0.36418725886766257
6,5,0.24,0.5773809523809523,0.16554970961991833
7,1,0.4,0.7959183673469388,0.34401783853003365
7,2,0.10526315789473684,0.6011904761904762,0.1673772386025029
7,3,0.2857142857142857,0.6181818181818182,0.28160958345290144
7,4,0.17391304347826086,0.5714285714285714,0.18947879513917248
7,5,0.2857142857142857,0.9548022598870057,0.6111111111111112
8,1,0.0,0.33333333333333337,0.04688564808504839
8,2,0.21052631578947367,0.7758620689655171,0.37430555555555556
8,3,0.3870967741935484,0.6346153846153846,0.2796094813482697
8,4,0.38095238095238093,0.7708333333333334,0.4746447028423772
8,5,0.23076923076923078,0.7083333333333333,0.3207546114522859
9,1,0.4444444444444444,0.8979591836734695,0.6692619880119879
9,2,0.3,0.7801724137931034,0.37797619047619047
9,3,0.3076923076923077,0.6384615384615384,0.3093447160320225
9,4,0.1,0.5948275862068966,0.11875901875901877
9,5,0.08695652173913043,0.4913793103448276,0.09379933649086875
10,1,0.25,0.8444444444444446,0.46703296703296704
10,2,0.16,0.8531073446327684,0.7011494252873562
10,3,0.19047619047619047,0.6517857142857143,0.1599324345763626
10,4,0.36363636363636365,0.7857142857142857,0.44312751167589876
10,5,0.3125,0.5650623885918004,0.24870162975426136
