rep,fold,f1,roc_auc,pr_auc
1,1,0.4,0.668724279835391,0.39159897294539653
1,2,0.1111111111111111,0.575,0.22273895740309108
1,3,0.26666666666666666,0.6327683615819208,0.12150349650349651
1,4,0.2857142857142857,0.6384180790960452,0.21968929415737926
1,5,0.26666666666666666,0.7672413793103448,0.31009615384615385
2,1,0.14285714285714285,0.6068965517241379,0.15561274509803918
2,2,0.0,0.4736842105263158,0.0886074310554901
2,3,0.4,0.7090909090909091,0.31539571926331506
2,4,0.2,0.6596491228070176,0.3292131036811888
2,5,0.36363636363636365,0.7012987012987013,0.20784929356357928
3,1,0.3076923076923077,0.5306122448979591,0.24321155081861004
3,2,0.0,0.5084745762711864,0.06187134502923977
3,3,0.4444444444444444,0.8965517241379309,0.38095238095238093
3,4,0.13333333333333333,0.6947368421052631,0.2129831932773109
3,5,0.36363636363636365,0.6461538461538462,0.3310858585858586
4,1,0.36363636363636365,0.7245762711864406,0.20840175150519974
4,2,0.0,0.28248587570621464,0.04533835392080329
4,3,0.11764705882352941,0.5810185185185185,0.16429394249161688
4,4,0.35294117647058826,0.7142857142857143,0.3396716378859236
4,5,0.4,0.7636363636363637,0.3926205264714581
5,1,0.1,0.47959183673469385,0.11723998223998222
5,2,0.5555555555555556,0.7232704402515724,0.40120541268132737
5,3,0.18181818181818182,0.7112068965517242,0.1332687780056201
5,4,0.0,0.5480225988700564,0.06925663962277234
5,5,0.3076923076923077,0.7083333333333333,0.24535889914179387
6,1,0.26666666666666666,0.710344827586207,0.17962224108658742
6,2,0.14285714285714285,0.44561403508771935,0.16465478461848698
6,3,0.3333333333333333,0.6785714285714286,0.34745244336895875
6,4,0.36363636363636365,0.7870129870129869,0.4246547103689961
6,5,0.2222222222222222,0.5952380952380952,0.21217554388597148
7,1,0.2857142857142857,0.6760204081632653,0.22900631382774236
7,2,0.2,0.6904761904761905,0.21796398046398047
7,3,0.35294117647058826,0.5532467532467532,0.2081365563705727
7,4,0.125,0.6279761904761905,0.15794314904222023
7,5,0.3076923076923077,0.9322033898305084,0.5769230769230769
8,1,0.0,0.6000000000000001,0.07474747474747474
8,2,0.2,0.7155172413793104,0.2207196029776675
8,3,0.3,0.5769230769230769,0.250391852770885
8,4,0.35294117647058826,0.7648809523809523,0.407012782012782
8,5,0.26666666666666666,0.6755952380952381,0.20361457714398892
9,1,0.35294117647058826,0.7295918367346939,0.29079449961802906
9,2,0.5454545454545454,0.8879310344827586,0.3537878787878788
9,3,0.23529411764705882,0.6384615384615384,0.3065150433079846
9,4,0.0,0.5172413793103449,0.08417785917785918
9,5,0.16666666666666666,0.543103448275862,0.1268939393939394
10,1,0.36363636363636365,0.9055555555555556,0.5069444444444444
10,2,0.4,0.8587570621468925,0.4273504273504274
10,3,0.0,0.5833333333333333,0.12275566976035196
10,4,0.13333333333333333,0.5595238095238095,0.16031473611565145
10,5,0.38095238095238093,0.6631016042780749,0.37411726287812375
