rep,fold,f1,roc_auc,pr_auc
1,1,0.47619047619047616,0.7037037037037037,0.44947458515569977
1,2,0.24,0.6884615384615385,0.3701384916657112
1,3,0.18181818181818182,0.8022598870056497,0.16809116809116809
1,4,0.125,0.6271186440677966,0.3798076923076923
1,5,0.17391304347826086,0.7155172413793103,0.2527417027417027
2,1,0.25,0.7482758620689656,0.21495180011804055
2,2,0.1111111111111111,0.5228070175438597,0.2798236709527032
2,3,0.32,0.8,0.5046863189720332
2,4,0.2,0.7052631578947368,0.24873459873459874
2,5,0.2857142857142857,0.7272727272727272,0.2626088714598031
3,1,0.15384615384615385,0.548469387755102,0.32900432900432897
3,2,0.0,0.6384180790960452,0.08310185185185184
3,3,0.35294117647058826,0.8060344827586206,0.38095238095238093
3,4,0.2857142857142857,0.6982456140350878,0.3353631182202611
3,5,0.4,0.7865384615384615,0.3753162470224181
4,1,0.18181818181818182,0.7372881355932203,0.3638052768487551
4,2,0.0,0.3898305084745763,0.05382744495647721
4,3,0.19047619047619047,0.6388888888888888,0.25183365133969976
4,4,0.5,0.8571428571428571,0.7028512028512028
4,5,0.42105263157894735,0.7870129870129869,0.3376114278369917
5,1,0.24,0.5306122448979591,0.1707276850133993
5,2,0.46153846153846156,0.8364779874213837,0.5970503486995241
5,3,0.1111111111111111,0.7155172413793104,0.33981846327047566
5,4,0.13333333333333333,0.6666666666666666,0.40095238095238095
5,5,0.17391304347826086,0.7261904761904763,0.22471838197644647
6,1,0.19047619047619047,0.6103448275862069,0.3166012710693562
6,2,0.10526315789473684,0.7263157894736841,0.31886872353297036
6,3,0.36363636363636365,0.8898809523809524,0.6736772486772487
6,4,0.2727272727272727,0.6571428571428571,0.2787026256951069
6,5,0.2608695652173913,0.6101190476190477,0.17892992985088377
7,1,0.38095238095238093,0.8341836734693877,0.37847533930483235
7,2,0.125,0.6636904761904762,0.18038620068297828
7,3,0.2962962962962963,0.612987012987013,0.5395765064858509
7,4,0.08,0.5654761904761905,0.144621096477126
7,5,0.3333333333333333,0.9209039548022598,0.5119047619047619
8,1,0.0,0.3722222222222222,0.04917390963902592
8,2,0.18181818181818182,0.7801724137931034,0.2444109882857614
8,3,0.38461538461538464,0.6749999999999999,0.31164029730880327
8,4,0.42105263157894735,0.8154761904761905,0.6225703205307914
8,5,0.19047619047619047,0.7202380952380952,0.23812134502923976
9,1,0.4166666666666667,0.8214285714285714,0.6241101755387469
9,2,0.3157894736842105,0.7629310344827587,0.3938679245283019
9,3,0.2222222222222222,0.6557692307692308,0.2761141304347826
9,4,0.1,0.7241379310344828,0.13964148877941981
9,5,0.11764705882352941,0.5387931034482758,0.11943785578747629
10,1,0.23529411764705882,0.8944444444444444,0.3366013071895425
10,2,0.23529411764705882,0.903954802259887,0.3625
10,3,0.1,0.6458333333333333,0.14100788463533562
10,4,0.36363636363636365,0.7380952380952381,0.6218971631205673
10,5,0.25806451612903225,0.5864527629233511,0.28059044511745623
