rep,fold,f1,roc_auc,pr_auc
1,1,0.4444444444444444,0.7427983539094649,0.3315341682318908
1,2,0.3333333333333333,0.6307692307692307,0.42808213985698773
1,3,0.23529411764705882,0.8361581920903954,0.16715686274509803
1,4,0.16666666666666666,0.7627118644067797,0.40398550724637683
1,5,0.14285714285714285,0.7112068965517241,0.15451844903064416
2,1,0.2857142857142857,0.6551724137931034,0.20192927639736147
2,2,0.3333333333333333,0.7192982456140351,0.3604081632653061
2,3,0.19047619047619047,0.7688311688311688,0.2554813592103508
2,4,0.3333333333333333,0.6666666666666666,0.29827838827838826
2,5,0.3,0.696103896103896,0.2143967143967144
3,1,0.2,0.5943877551020408,0.18814363608632656
3,2,0.0,0.6214689265536724,0.079227761485826
3,3,0.5,0.7887931034482758,0.49916666666666665
3,4,0.375,0.7298245614035088,0.2821961359745659
3,5,0.3157894736842105,0.7923076923076924,0.3744960283085796
4,1,0.25,0.7838983050847458,0.2039758487126908
4,2,0.0,0.4915254237288136,0.06464285714285714
4,3,0.35294117647058826,0.6597222222222222,0.27831281932502205
4,4,0.35294117647058826,0.8441558441558442,0.3790267719991222
4,5,0.375,0.7714285714285714,0.38579782790309103
5,1,0.35294117647058826,0.5688775510204082,0.19150619820773462
5,2,0.4,0.7966457023060797,0.536121516766678
5,3,0.3076923076923077,0.8362068965517241,0.22804621848739498
5,4,0.0,0.5706214689265536,0.08324420677361855
5,5,0.2222222222222222,0.7232142857142857,0.22616063182100915
6,1,0.46153846153846156,0.7724137931034483,0.3012861169837914
6,2,0.3333333333333333,0.9052631578947369,0.48189393939393943
6,3,0.4,0.7827380952380953,0.4172014260249554
6,4,0.17391304347826086,0.5766233766233766,0.16287626161575738
6,5,0.125,0.5505952380952381,0.12965762273901807
7,1,0.23529411764705882,0.7933673469387755,0.2507329799255265
7,2,0.125,0.6458333333333333,0.15908457484544442
7,3,0.4,0.5922077922077922,0.3371681777342155
7,4,0.3333333333333333,0.7321428571428571,0.23343230843230842
7,5,0.3076923076923077,0.8305084745762712,0.3666666666666667
8,1,0.3076923076923077,0.6666666666666666,0.1581196581196581
8,2,0.14285714285714285,0.6594827586206897,0.16089563065369517
8,3,0.36363636363636365,0.6711538461538461,0.3151397507801449
8,4,0.4,0.7827380952380953,0.6238930659983292
8,5,0.13333333333333333,0.7470238095238095,0.20383719541328235
9,1,0.3157894736842105,0.7576530612244897,0.3490491651205937
9,2,0.25,0.7241379310344828,0.21102564102564103
9,3,0.25,0.625,0.23840527664057076
9,4,0.4444444444444444,0.9008620689655172,0.3806818181818182
9,5,0.18181818181818182,0.646551724137931,0.14749149659863944
10,1,0.3333333333333333,0.8722222222222222,0.3119047619047619
10,2,0.3076923076923077,0.8192090395480226,0.25114942528735634
10,3,0.14285714285714285,0.6755952380952381,0.1623797765005861
10,4,0.4,0.7202380952380952,0.4246181325449618
10,5,0.24,0.625668449197861,0.26622641106228884
