rep,fold,f1,roc_auc,pr_auc
1,1,0.4444444444444444,0.7386831275720165,0.3525747942414609
1,2,0.19047619047619047,0.5865384615384615,0.3109313249855846
1,3,0.15384615384615385,0.6949152542372881,0.1934563021519543
1,4,0.2,0.7909604519774011,0.4121212121212121
1,5,0.26666666666666666,0.7155172413793103,0.19318181818181818
2,1,0.18181818181818182,0.6896551724137931,0.1798015278075248
2,2,0.16666666666666666,0.5649122807017544,0.30247823860727086
2,3,0.3157894736842105,0.7792207792207793,0.38636416687887276
2,4,0.25,0.5192982456140351,0.16689633118204547
2,5,0.3157894736842105,0.8077922077922077,0.3157952674503197
3,1,0.11764705882352941,0.5790816326530612,0.17134041814492942
3,2,0.125,0.7231638418079096,0.13618538324420676
3,3,0.46153846153846156,0.8146551724137931,0.7712765957446808
3,4,0.3076923076923077,0.7017543859649122,0.4734555984555985
3,5,0.3333333333333333,0.7480769230769231,0.42018334872302043
4,1,0.23529411764705882,0.771186440677966,0.4507936507936508
4,2,0.0,0.30508474576271183,0.04649480175426879
4,3,0.14285714285714285,0.6666666666666667,0.354281324677974
4,4,0.4444444444444444,0.8493506493506493,0.3995726495726495
4,5,0.375,0.7350649350649351,0.30554752265278584
5,1,0.23529411764705882,0.47959183673469374,0.2877060557145303
5,2,0.3,0.7148846960167715,0.43221976824918
5,3,0.16666666666666666,0.8448275862068966,0.3980861244019139
5,4,0.2222222222222222,0.7175141242937854,0.1388888888888889
5,5,0.3157894736842105,0.7113095238095238,0.21693173975782676
6,1,0.26666666666666666,0.7034482758620689,0.41210954214805307
