rep,fold,f1,roc_auc,pr_auc
1,1,0.4,0.7757201646090536,0.3782722651350103
1,2,0.125,0.5846153846153845,0.21119823679145716
1,3,0.15384615384615385,0.6045197740112994,0.18306010928961747
1,4,0.2222222222222222,0.7966101694915253,0.4162393162393162
1,5,0.3333333333333333,0.7198275862068965,0.1572420634920635
2,1,0.3076923076923077,0.6793103448275862,0.1564023695602643
2,2,0.0,0.6385964912280702,0.1433230926779314
2,3,0.2857142857142857,0.7948051948051948,0.47109250398724084
2,4,0.18181818181818182,0.5614035087719298,0.18923217133743447
2,5,0.3333333333333333,0.7246753246753247,0.25385143956572526
3,1,0.23529411764705882,0.6326530612244897,0.18465956558061822
3,2,0.16666666666666666,0.7175141242937852,0.11458333333333331
3,3,0.5714285714285714,0.8620689655172413,0.633578431372549
3,4,0.18181818181818182,0.6000000000000001,0.3173726056078997
3,5,0.2222222222222222,0.7307692307692308,0.38224811426709615
4,1,0.36363636363636365,0.8050847457627119,0.4166374166374166
4,2,0.0,0.3672316384180791,0.05020703933747411
4,3,0.18181818181818182,0.7013888888888888,0.26185128596893303
4,4,0.23529411764705882,0.7532467532467533,0.2562120419263276
4,5,0.46153846153846156,0.7220779220779221,0.3702226345083488
5,1,0.0,0.5357142857142857,0.15112563548775043
5,2,0.375,0.6834381551362683,0.46075911688814913
5,3,0.36363636363636365,0.875,0.28318250377073906
5,4,0.0,0.5988700564971752,0.09254901960784313
5,5,0.46153846153846156,0.8095238095238094,0.2737789987789988
6,1,0.36363636363636365,0.7551724137931034,0.4911541889483066
6,2,0.5454545454545454,0.7298245614035088,0.45639344262295084
6,3,0.3076923076923077,0.8601190476190477,0.34627050790843894
6,4,0.11764705882352941,0.5948051948051948,0.15858321907655432
6,5,0.0,0.5267857142857143,0.12042750915701736
7,1,0.26666666666666666,0.7448979591836734,0.2701222068559167
7,2,0.0,0.6666666666666667,0.14760605507731944
7,3,0.3076923076923077,0.5896103896103896,0.41381768504719324
7,4,0.2857142857142857,0.6785714285714286,0.2646809488914752
7,5,0.36363636363636365,0.8248587570621468,0.2976190476190476
8,1,0.2,0.4944444444444444,0.09225589225589226
8,2,0.18181818181818182,0.685344827586207,0.14654377880184333
8,3,0.23529411764705882,0.7692307692307692,0.33957949138983623
8,4,0.3333333333333333,0.7321428571428572,0.4391220089257556
8,5,0.26666666666666666,0.6309523809523809,0.1684621219266805
9,1,0.47058823529411764,0.836734693877551,0.5684922244759973
9,2,0.4,0.6853448275862069,0.21707482993197275
9,3,0.1111111111111111,0.5865384615384616,0.20274907718446772
9,4,0.25,0.6767241379310345,0.24946236559139784
9,5,0.0,0.6637931034482759,0.12246347402597402
10,1,0.2,0.8500000000000001,0.19761904761904764
10,2,0.3076923076923077,0.807909604519774,0.26904761904761904
10,3,0.3076923076923077,0.7678571428571428,0.2512554734537493
10,4,0.2,0.7172619047619048,0.318010752688172
10,5,0.21052631578947367,0.5721925133689839,0.3055645257026844
