rep,fold,f1,roc_auc,pr_auc
1,1,0.631578947368421,0.7457627118644068,0.5077689538368902
1,2,0.5,0.7530864197530864,0.5819676686557445
1,3,0.5,0.7150101419878296,0.4719305046966913
1,4,0.47058823529411764,0.8484375000000001,0.6753199855699855
1,5,0.5909090909090909,0.880225988700565,0.6967413474017248
2,1,0.65,0.8744444444444445,0.6601340784553227
2,2,0.6,0.8188559322033899,0.6374093945583429
2,3,0.3157894736842105,0.6712158808933002,0.3316735833848887
2,4,0.5238095238095238,0.7162698412698413,0.5941769084299336
2,5,0.5909090909090909,0.8080495356037152,0.6515881367609097
3,1,0.5238095238095238,0.7704918032786885,0.41617526166398344
3,2,0.5581395348837209,0.7446393762183237,0.5580296642075113
3,3,0.7027027027027027,0.959016393442623,0.8557606141089305
3,4,0.42105263157894735,0.7402269861286255,0.45135505271862797
3,5,0.5,0.7027777777777777,0.5506328937304327
4,1,0.5454545454545454,0.8465909090909091,0.6484257684380084
4,2,0.42424242424242425,0.7089947089947091,0.36525831003728937
4,3,0.5238095238095238,0.7468220338983051,0.43678652877994345
4,4,0.5652173913043478,0.8,0.7175067420392782
4,5,0.6,0.7942497753818509,0.6343417975923393
5,1,0.4375,0.7415384615384615,0.44675670268107237
5,2,0.6808510638297872,0.8500881834215167,0.7550722378606092
5,3,0.5,0.7828389830508474,0.526053843910365
5,4,0.6341463414634146,0.7996031746031746,0.5900797925058134
5,5,0.4,0.6523809523809524,0.4284164344919954
6,1,0.6956521739130435,0.8897707231040564,0.8062028815246851
6,2,0.5,0.7332506203473945,0.44828061193495283
6,3,0.5,0.7755555555555556,0.5095700171446123
6,4,0.55,0.823728813559322,0.6071194447240958
6,5,0.42105263157894735,0.6429378531073446,0.4336722012466045
7,1,0.5909090909090909,0.8077601410934744,0.6120557999410092
7,2,0.47619047619047616,0.7400468384074943,0.5326745024096304
7,3,0.5789473684210527,0.8325062034739454,0.5745998134932693
7,4,0.5142857142857142,0.7119047619047619,0.48711928173690566
7,5,0.5333333333333333,0.7997936016511868,0.6437913782337035
8,1,0.45454545454545453,0.7803970223325061,0.57692510545854
8,2,0.4375,0.7455555555555555,0.4679380113316435
8,3,0.6,0.7860040567951319,0.6118605553904989
8,4,0.6538461538461539,0.825696316262354,0.6493598994498526
8,5,0.5,0.7755359394703657,0.5576600935839809
9,1,0.5806451612903226,0.7754342431761786,0.5489422576336941
9,2,0.5238095238095238,0.7849898580121704,0.6192541458790157
9,3,0.5853658536585366,0.8355555555555555,0.6743281757588303
9,4,0.5957446808510638,0.7961722488038276,0.5794495912497131
9,5,0.4186046511627907,0.6813559322033897,0.40395134246461234
10,1,0.6,0.8304093567251462,0.5889292315780872
10,2,0.4878048780487805,0.6800847457627119,0.47731308671834277
10,3,0.2962962962962963,0.6661538461538461,0.3852073376919478
10,4,0.5333333333333333,0.8276573787409701,0.7263318174967206
10,5,0.6829268292682927,0.8115079365079365,0.6795070140953099
