rep,fold,f1,roc_auc,pr_auc
1,1,0.5789473684210527,0.7489406779661018,0.5226253714319424
1,2,0.4878048780487805,0.7045855379188714,0.5369846019299085
1,3,0.4864864864864865,0.7129817444219066,0.5045473606388633
1,4,0.4,0.778125,0.49071817554426245
1,5,0.5116279069767442,0.8429378531073446,0.7062006273296595
2,1,0.5714285714285714,0.8288888888888889,0.6531971950674196
2,2,0.47368421052631576,0.7245762711864406,0.5728721690330405
2,3,0.3783783783783784,0.6600496277915633,0.3048615214161473
2,4,0.46153846153846156,0.6875,0.47532825909459964
2,5,0.5777777777777777,0.781217750257998,0.6514216030110899
3,1,0.5128205128205128,0.7669789227166276,0.39139787773052115
3,2,0.41025641025641024,0.6705653021442495,0.4919209647185838
3,3,0.6666666666666666,0.9274004683840749,0.7980283584418921
3,4,0.43243243243243246,0.7301387137452711,0.4833891708588806
3,5,0.46511627906976744,0.6425925925925926,0.5729170482411455
4,1,0.45714285714285713,0.8480113636363636,0.5742687377981496
4,2,0.37037037037037035,0.6693121693121693,0.34292675126846994
4,3,0.5365853658536586,0.763771186440678,0.6024759597947043
4,4,0.4878048780487805,0.7349282296650718,0.6457064620750632
4,5,0.56,0.7349505840071878,0.5730150964067644
5,1,0.36363636363636365,0.6784615384615386,0.316050864340338
5,2,0.6086956521739131,0.8183421516754851,0.7652392921978177
5,3,0.5,0.7372881355932204,0.4378434043389295
5,4,0.55,0.808531746031746,0.6884086434558868
5,5,0.4,0.6214285714285714,0.4117368071464319
6,1,0.6666666666666666,0.8483245149911817,0.7542634011305691
6,2,0.4864864864864865,0.6861042183622829,0.3870603285045171
6,3,0.4186046511627907,0.7222222222222222,0.5673410952677831
6,4,0.45714285714285713,0.76045197740113,0.5247266190599524
6,5,0.43243243243243246,0.656497175141243,0.4176952176547054
7,1,0.5853658536585366,0.7266313932980598,0.5609708882580267
7,2,0.43243243243243246,0.721311475409836,0.48030996243809054
7,3,0.45714285714285713,0.8188585607940447,0.6180892685909407
7,4,0.46153846153846156,0.692857142857143,0.4300908546516973
7,5,0.5238095238095238,0.7750257997936016,0.6019397102626249
8,1,0.46153846153846156,0.7692307692307692,0.48316486936201397
8,2,0.4375,0.7044444444444444,0.3949029810762575
8,3,0.4878048780487805,0.7210953346855984,0.5614285330949358
8,4,0.6382978723404256,0.8059299191374663,0.693734206745537
8,5,0.4,0.7137452711223203,0.48063539377113357
9,1,0.4444444444444444,0.7295285359801489,0.4494459613872249
9,2,0.4864864864864865,0.757606490872211,0.6650549631150382
9,3,0.5,0.7644444444444445,0.5959891738696086
9,4,0.5581395348837209,0.7454545454545454,0.4803747047506386
9,5,0.47368421052631576,0.7197740112994351,0.5013453578957817
10,1,0.4888888888888889,0.7787524366471735,0.5635531912159246
10,2,0.45,0.6271186440677966,0.37120063686928007
10,3,0.2857142857142857,0.5476923076923077,0.256994673087372
10,4,0.5853658536585366,0.8400412796697627,0.7108337061945039
10,5,0.6,0.810515873015873,0.6898494672887256
