rep,fold,f1,roc_auc,pr_auc
1,1,0.38095238095238093,0.6633333333333333,0.3752063120403889
1,2,0.5306122448979592,0.8050682261208577,0.5599647086954365
1,3,0.5,0.7425847457627119,0.5322588318208439
1,4,0.3076923076923077,0.7247863247863249,0.35616839009494383
1,5,0.5625,0.7868852459016393,0.4889274618598758
2,1,0.4,0.8082010582010581,0.4331204914828532
2,2,0.4186046511627907,0.6920374707259954,0.3942960756870531
2,3,0.24242424242424243,0.5866477272727273,0.27691727141374123
2,4,0.6153846153846154,0.7748015873015872,0.6513491724286788
2,5,0.5531914893617021,0.8469827586206896,0.6169402875738655
3,1,0.2857142857142857,0.5411931818181818,0.20084933526939797
3,2,0.4782608695652174,0.7280701754385965,0.42555958812003813
3,3,0.4878048780487805,0.8089330024813896,0.5369458383122351
3,4,0.4117647058823529,0.840625,0.5430257750379702
3,5,0.5652173913043478,0.7894736842105262,0.6198382525350525
4,1,0.3870967741935484,0.803030303030303,0.5199199910876149
4,2,0.3783783783783784,0.7201704545454546,0.4320829006387332
4,3,0.46808510638297873,0.7855555555555556,0.4465666524048818
4,4,0.46511627906976744,0.7141382868937048,0.4202835042823595
4,5,0.5454545454545454,0.739712918660287,0.5482190033679499
5,1,0.34285714285714286,0.6261538461538462,0.24246252436174498
5,2,0.5306122448979592,0.8001949317738791,0.6924100405589231
5,3,0.47368421052631576,0.775175644028103,0.4560283874099663
5,4,0.47368421052631576,0.8090395480225989,0.4815657903222403
5,5,0.42857142857142855,0.7119047619047619,0.4536929424296487
6,1,0.46808510638297873,0.7086466165413534,0.46565071078992515
6,2,0.43243243243243246,0.718362282878412,0.6035079996191144
6,3,0.36363636363636365,0.7692307692307693,0.34806544909407167
6,4,0.5777777777777777,0.8338983050847457,0.5732602620342319
6,5,0.4,0.759018759018759,0.4168792478623661
7,1,0.5490196078431373,0.7178130511463845,0.5116989557466765
7,2,0.3902439024390244,0.7468982630272953,0.4126682195869691
7,3,0.3684210526315789,0.6904761904761905,0.34423184568271536
7,4,0.36363636363636365,0.6989247311827956,0.4327713070889251
7,5,0.5641025641025641,0.8638083228247163,0.5385242331186686
8,1,0.37209302325581395,0.7142857142857143,0.4434653006114441
8,2,0.4864864864864865,0.693208430913349,0.4379802599644401
8,3,0.45714285714285713,0.7224576271186441,0.529955749775505
8,4,0.6808510638297872,0.9014354066985646,0.6313759863577995
8,5,0.25,0.6328125,0.2763088275005141
9,1,0.3157894736842105,0.6878306878306879,0.41538690775817566
9,2,0.5116279069767442,0.7477777777777778,0.4567512665080814
9,3,0.34146341463414637,0.6451612903225806,0.38366480729040453
9,4,0.6190476190476191,0.855603448275862,0.557246942286958
9,5,0.47368421052631576,0.7954802259887006,0.5610324859275512
10,1,0.5116279069767442,0.7434077079107505,0.6035588583739874
10,2,0.5263157894736842,0.8039702233250621,0.4756619832009049
10,3,0.3157894736842105,0.710820895522388,0.3310617561311765
10,4,0.5238095238095238,0.8169491525423729,0.6007073949649537
10,5,0.3902439024390244,0.685515873015873,0.42218757144463426
