rep,fold,f1,roc_auc,pr_auc
1,1,0.4117647058823529,0.7011111111111111,0.4329740243641076
1,2,0.5,0.776803118908382,0.585892067694859
1,3,0.5161290322580645,0.7150423728813559,0.4898613576955663
1,4,0.32,0.7059829059829059,0.41370484616098646
1,5,0.2727272727272727,0.6746532156368222,0.3750478107981261
2,1,0.42857142857142855,0.7619047619047619,0.4727725460626529
2,2,0.35714285714285715,0.6580796252927401,0.31817619957711096
2,3,0.3333333333333333,0.5965909090909091,0.3546584879315215
2,4,0.42424242424242425,0.7023809523809524,0.5138462189186828
2,5,0.5142857142857142,0.8146551724137931,0.6283164282013773
3,1,0.14814814814814814,0.4616477272727273,0.1453661079305014
3,2,0.3870967741935484,0.7222222222222222,0.5122888813164447
3,3,0.5333333333333333,0.8114143920595533,0.498005053163491
3,4,0.48,0.8171875,0.540745610149806
3,5,0.5142857142857142,0.7177033492822966,0.5523759034638176
4,1,0.38095238095238093,0.7457912457912458,0.3388020655416638
4,2,0.4666666666666667,0.65625,0.3908619268385346
4,3,0.4375,0.7733333333333333,0.5116914867017092
4,4,0.4,0.7027863777089783,0.41793057035600883
4,5,0.4,0.6976076555023923,0.5836359330346299
5,1,0.38461538461538464,0.6676923076923078,0.26176683148422275
5,2,0.48484848484848486,0.7241715399610137,0.5969156327452971
5,3,0.35714285714285715,0.7763466042154566,0.3999553561490047
5,4,0.38461538461538464,0.7118644067796611,0.38791798774056835
5,5,0.45714285714285713,0.6773809523809523,0.5400326821665494
6,1,0.41025641025641024,0.6578947368421052,0.5045695773807274
6,2,0.3448275862068966,0.641439205955335,0.36658203525480854
6,3,0.3076923076923077,0.6240694789081886,0.2776037691846731
6,4,0.5925925925925926,0.848587570621469,0.6784223491556148
6,5,0.4444444444444444,0.8268398268398269,0.4946173538402544
7,1,0.45,0.6807760141093474,0.4647890587158221
7,2,0.42857142857142855,0.7493796526054591,0.41852593108249214
7,3,0.09090909090909091,0.5634920634920635,0.1892975643023324
7,4,0.43478260869565216,0.7163978494623655,0.4289490903398156
7,5,0.5714285714285714,0.8650693568726356,0.7482311893602216
8,1,0.4117647058823529,0.7513227513227514,0.45533820145817266
8,2,0.4,0.639344262295082,0.39707595361296244
8,3,0.45161290322580644,0.670550847457627,0.45022307441328285
8,4,0.5454545454545454,0.8526315789473684,0.6858457174171744
8,5,0.24,0.63125,0.24344295225310558
9,1,0.23076923076923078,0.7156084656084656,0.36400919751688976
9,2,0.4117647058823529,0.69,0.43820083943881627
9,3,0.24,0.5248138957816378,0.2874817340981549
9,4,0.6666666666666666,0.8663793103448276,0.7077272465699757
9,5,0.4666666666666667,0.7412429378531074,0.5346464156179259
10,1,0.45161290322580644,0.6713995943204868,0.47659496040695926
10,2,0.4375,0.7878411910669975,0.54955658376711
10,3,0.4,0.7257462686567164,0.31043626749962366
10,4,0.4,0.7175141242937852,0.3821496600158764
10,5,0.4,0.7172619047619048,0.5767368188414329
