rep,fold,f1,roc_auc,pr_auc
1,1,0.43243243243243246,0.6733333333333333,0.424012712340826
1,2,0.55,0.7816764132553606,0.5742911626045188
1,3,0.47619047619047616,0.7966101694915255,0.5750836007920327
1,4,0.3448275862068966,0.7162393162393162,0.42009341681150514
1,5,0.4,0.7326607818411097,0.48676818869665994
2,1,0.5294117647058824,0.8267195767195767,0.4899708025805692
2,2,0.3157894736842105,0.6908665105386418,0.4016329203746275
2,3,0.2857142857142857,0.640625,0.3706431017873403
2,4,0.5142857142857142,0.6984126984126984,0.583032245438108
2,5,0.6111111111111112,0.8739224137931034,0.7282372437611409
3,1,0.1875,0.44886363636363635,0.15084426108315901
3,2,0.4,0.7105263157894737,0.41940594696068445
3,3,0.6060606060606061,0.8771712158808933,0.5817617486109984
3,4,0.4666666666666667,0.8734375,0.5846886446886447
3,5,0.5581395348837209,0.783732057416268,0.6718963731034486
4,1,0.42857142857142855,0.7643097643097643,0.3709709101814365
4,2,0.3870967741935484,0.6832386363636364,0.43005075298205786
4,3,0.5238095238095238,0.8255555555555556,0.566472164152579
4,4,0.3783783783783784,0.7069143446852425,0.43785113534665604
4,5,0.5,0.7511961722488039,0.5950772233588866
5,1,0.32,0.6353846153846154,0.2458740664097807
5,2,0.6222222222222222,0.8089668615984406,0.7607438628971417
5,3,0.42424242424242425,0.7822014051522248,0.4486437776009954
5,4,0.42424242424242425,0.743502824858757,0.43383995202793646
5,5,0.38095238095238093,0.7214285714285714,0.5753167942491497
6,1,0.5641025641025641,0.7368421052631579,0.5424107907913426
6,2,0.4,0.7729528535980149,0.5077452721934328
6,3,0.3225806451612903,0.6724565756823822,0.3157907591454763
6,4,0.5789473684210527,0.8338983050847458,0.72815349077083
6,5,0.34285714285714286,0.7243867243867244,0.39724660861024497
7,1,0.5882352941176471,0.7345679012345678,0.5998743104072153
7,2,0.35,0.6885856079404467,0.4733309148079311
7,3,0.25,0.6494708994708995,0.2931497773794537
7,4,0.43478260869565216,0.7849462365591398,0.448555867441737
7,5,0.5625,0.8600252206809585,0.6982230672134517
8,1,0.35,0.7142857142857143,0.4387485556636151
8,2,0.3870967741935484,0.7259953161592506,0.5008917288771024
8,3,0.45161290322580644,0.6472457627118644,0.5386639272186147
8,4,0.7111111111111111,0.909090909090909,0.7643434865531054
8,5,0.25806451612903225,0.665625,0.2690010892359347
9,1,0.42424242424242425,0.7486772486772486,0.4342257300047653
9,2,0.4,0.6866666666666668,0.43925584795321637
9,3,0.3783783783783784,0.6600496277915632,0.48088940582498696
9,4,0.4864864864864865,0.8297413793103448,0.6223500383731679
9,5,0.5555555555555556,0.7909604519774012,0.5575446983943926
10,1,0.42105263157894735,0.702839756592292,0.4958162576440307
10,2,0.5142857142857142,0.8163771712158809,0.5762757218271923
10,3,0.2,0.6511194029850746,0.29212116008991007
10,4,0.5555555555555556,0.8632768361581922,0.6246137433093955
10,5,0.5128205128205128,0.7123015873015873,0.6158174354201875
