rep,fold,f1,roc_auc,pr_auc
1,1,0.2222222222222222,0.31481481481481477,0.3381709585227892
1,2,0.3333333333333333,0.9285714285714286,0.7
1,3,0.75,0.9666666666666667,0.8055555555555556
1,4,0.75,0.9736842105263158,0.9166666666666666
1,5,0.5,0.8157894736842105,0.6666666666666666
2,1,0.8888888888888888,0.9473684210526316,0.9
2,2,0.6666666666666666,0.8552631578947368,0.8166666666666667
2,3,0.3333333333333333,0.7333333333333333,0.4909090909090909
2,4,0.2,0.40789473684210525,0.2650691699604743
2,5,0.4,0.7166666666666667,0.48333333333333334
3,1,0.6153846153846154,0.796875,0.7649801587301588
3,2,0.4444444444444444,0.6447368421052633,0.5303030303030303
3,3,0.5714285714285714,0.9166666666666666,0.7916666666666666
3,4,0.3333333333333333,0.6904761904761905,0.3214285714285714
3,5,0.5,0.6190476190476191,0.5555555555555556
4,1,0.8,1.0,1.0
4,2,0.0,0.618421052631579,0.2961309523809524
4,3,0.75,1.0,1.0
4,4,0.5454545454545454,0.6078431372549019,0.45039682539682535
4,5,0.0,0.5476190476190477,0.13333333333333333
5,1,0.4444444444444444,0.6203703703703703,0.552068302068302
5,2,0.5,0.7631578947368423,0.5617715617715617
5,3,0.6153846153846154,0.7549019607843137,0.7742474916387959
5,4,0.6666666666666666,1.0,1.0
5,5,0.0,0.9090909090909091,0.3333333333333333
6,1,0.5454545454545454,0.7685185185185185,0.705026455026455
6,2,0.4,1.0,1.0
6,3,0.4,0.7857142857142857,0.5909090909090909
