rep,fold,f1,roc_auc,pr_auc
1,1,0.15384615384615385,0.3611111111111111,0.347967772967773
1,2,0.5,0.9761904761904762,0.8333333333333333
1,3,0.5454545454545454,0.9666666666666667,0.8055555555555556
1,4,0.6666666666666666,0.9210526315789473,0.85
1,5,0.4,0.7236842105263157,0.5458333333333333
2,1,0.7272727272727273,0.905263157894737,0.8714285714285714
2,2,0.5454545454545454,0.8552631578947368,0.8166666666666667
2,3,0.2,0.5833333333333334,0.28104575163398693
2,4,0.36363636363636365,0.513157894736842,0.45795454545454545
2,5,0.25,0.5833333333333333,0.44345238095238093
3,1,0.5333333333333333,0.671875,0.6908730158730159
3,2,0.36363636363636365,0.5921052631578947,0.5111607142857143
3,3,0.6,0.9833333333333333,0.9166666666666665
3,4,0.2222222222222222,0.6666666666666667,0.5625
3,5,0.3333333333333333,0.6428571428571428,0.5588235294117647
4,1,0.7272727272727273,0.9874999999999999,0.95
4,2,0.2222222222222222,0.48684210526315796,0.3892857142857143
4,3,0.5,1.0,1.0
4,4,0.5,0.5882352941176471,0.5702380952380952
4,5,0.0,0.4523809523809524,0.11309523809523808
5,1,0.3333333333333333,0.6203703703703703,0.5419823232323232
5,2,0.4,0.6842105263157895,0.5327380952380952
5,3,0.5,0.696078431372549,0.7226475279106858
5,4,0.5,1.0,1.0
5,5,0.4,0.9545454545454546,0.5
6,1,0.5,0.6666666666666667,0.6460956312349501
6,2,0.2857142857142857,1.0,1.0
6,3,0.2222222222222222,0.7142857142857143,0.5714285714285714
6,4,0.5714285714285714,0.625,0.5389903329752954
6,5,0.4444444444444444,0.7833333333333333,0.7291666666666666
7,1,0.18181818181818182,0.6507936507936508,0.2435897435897436
7,2,0.5,1.0,1.0
7,3,0.36363636363636365,0.6,0.48545209176788123
7,4,0.4,0.6666666666666666,0.31666666666666665
7,5,0.6666666666666666,0.7352941176470588,0.7323529411764705
8,1,0.36363636363636365,0.6375,0.596749226006192
8,2,0.5714285714285714,0.6666666666666666,0.7101449275362319
8,3,0.4444444444444444,0.7666666666666666,0.6180555555555556
8,4,0.2,0.5657894736842106,0.42045454545454547
8,5,0.5714285714285714,0.8333333333333334,0.6533333333333333
9,1,0.2222222222222222,0.6031746031746031,0.44999999999999996
9,2,0.5,0.625,0.64677632416603
9,3,0.36363636363636365,1.0,1.0
9,4,0.5714285714285714,0.7833333333333333,0.5714285714285714
9,5,0.5,0.7833333333333333,0.7291666666666666
10,1,0.5,0.7777777777777777,0.6180555555555556
10,2,0.2,0.6904761904761905,0.5666666666666667
10,3,0.2,0.4666666666666667,0.38032260137523294
10,4,0.7058823529411765,0.9607843137254901,0.8972222222222221
10,5,0.3333333333333333,0.5666666666666667,0.44027777777777777
