rep,fold,f1,roc_auc,pr_auc
1,1,0.2222222222222222,0.6851851851851852,0.4087301587301587
1,2,0.4,0.9523809523809523,0.75
1,3,0.6666666666666666,0.9166666666666667,0.6984126984126984
1,4,0.75,0.9473684210526315,0.8303571428571428
1,5,0.4,0.75,0.5692401960784313
2,1,0.8888888888888888,0.9684210526315788,0.925
2,2,0.6666666666666666,0.986842105263158,0.95
2,3,0.3333333333333333,0.7833333333333333,0.5194805194805194
2,4,0.2222222222222222,0.5657894736842106,0.2603174603174603
2,5,0.0,0.75,0.3213675213675214
3,1,0.5,0.859375,0.7735930735930736
3,2,0.2857142857142857,0.6447368421052632,0.4623949579831933
3,3,1.0,1.0,1.0
3,4,0.0,0.8333333333333334,0.29166666666666663
3,5,0.6666666666666666,0.9523809523809523,0.75
4,1,0.8888888888888888,1.0,1.0
4,2,0.4,0.8552631578947368,0.69375
4,3,0.5714285714285714,0.8833333333333333,0.625
4,4,0.2222222222222222,0.7352941176470589,0.5319444444444444
4,5,0.0,0.5952380952380952,0.15476190476190477
5,1,0.25,0.75,0.48120300751879697
5,2,0.5,0.8947368421052632,0.6666666666666666
5,3,0.6,0.803921568627451,0.726007326007326
5,4,0.5,0.9761904761904762,0.8333333333333333
5,5,0.6666666666666666,1.0,1.0
6,1,0.4444444444444444,0.9074074074074074,0.7842592592592592
6,2,0.6666666666666666,1.0,1.0
6,3,0.6666666666666666,0.7619047619047619,0.5833333333333334
6,4,0.5,0.6964285714285714,0.6256474519632415
6,5,0.3333333333333333,0.9166666666666666,0.6666666666666667
7,1,0.4,0.8253968253968254,0.5833333333333333
7,2,0.6666666666666666,0.9333333333333333,0.7222222222222222
7,3,0.2857142857142857,0.8111111111111112,0.47090909090909094
7,4,0.5,0.8809523809523809,0.6428571428571428
7,5,0.5454545454545454,0.8235294117647058,0.7493686868686869
8,1,0.6666666666666666,0.8374999999999999,0.6964285714285714
8,2,0.4,0.8,0.55
8,3,0.5714285714285714,0.9166666666666667,0.6984126984126984
8,4,0.0,0.6842105263157895,0.35049019607843135
8,5,0.6,0.9444444444444444,0.8583333333333332
9,1,0.4,0.6349206349206349,0.4666666666666666
9,2,0.18181818181818182,0.7583333333333333,0.5995535714285714
9,3,0.8,1.0,1.0
9,4,0.5714285714285714,0.8833333333333333,0.625
9,5,0.8,0.9666666666666667,0.8666666666666667
10,1,0.6666666666666666,0.8412698412698413,0.7435897435897436
10,2,0.5,0.8571428571428571,0.39285714285714285
10,3,0.2857142857142857,0.7666666666666666,0.5466666666666666
10,4,0.5,0.9117647058823529,0.810515873015873
10,5,0.5,0.85,0.5777777777777777
