rep,fold,f1,roc_auc,pr_auc
1,1,0.4,0.4907407407407407,0.3608531131750946
1,2,0.6666666666666666,1.0,1.0
1,3,0.5,0.9666666666666667,0.8055555555555556
1,4,0.6666666666666666,0.7631578947368421,0.5317982456140351
1,5,0.3333333333333333,0.6710526315789475,0.2733516483516484
2,1,0.5454545454545454,0.7684210526315789,0.6954545454545455
2,2,0.6,0.8289473684210527,0.8088235294117647
2,3,0.4,0.7,0.5032679738562091
2,4,0.4,0.6052631578947368,0.29583333333333334
2,5,0.5,0.7166666666666667,0.39215686274509803
3,1,0.5333333333333333,0.7109375,0.5742063492063492
3,2,0.6,0.7763157894736842,0.7375
3,3,0.75,0.9833333333333333,0.9166666666666665
3,4,0.2222222222222222,0.5476190476190477,0.21929824561403508
3,5,0.2857142857142857,0.7380952380952381,0.5769230769230769
4,1,0.5454545454545454,0.9375,0.8611111111111112
4,2,0.4444444444444444,0.5526315789473684,0.34232954545454547
4,3,0.5714285714285714,0.8833333333333333,0.6666666666666666
4,4,0.5,0.7058823529411764,0.4973214285714285
4,5,0.3333333333333333,0.6428571428571428,0.23333333333333334
5,1,0.2222222222222222,0.5185185185185185,0.31319444444444444
5,2,0.6,0.7631578947368421,0.47549019607843135
5,3,0.6666666666666666,0.892156862745098,0.798611111111111
5,4,0.5714285714285714,0.9523809523809523,0.5833333333333333
5,5,0.25,0.9090909090909091,0.3333333333333333
6,1,0.4,0.6111111111111112,0.5462406015037594
6,2,0.6666666666666666,1.0,1.0
6,3,0.4444444444444444,0.9047619047619048,0.6666666666666666
6,4,0.5714285714285714,0.6785714285714285,0.566031149301826
6,5,0.5,0.7,0.38888888888888884
7,1,0.2857142857142857,0.6984126984126984,0.2791666666666667
7,2,0.4,0.8,0.7333333333333334
7,3,0.36363636363636365,0.5444444444444444,0.37324929971988796
7,4,0.6666666666666666,0.9523809523809523,0.75
7,5,0.6666666666666666,0.8725490196078431,0.861111111111111
8,1,0.8571428571428571,0.8625,0.8166666666666667
8,2,0.4,0.8166666666666667,0.5444444444444444
8,3,0.4,0.7333333333333334,0.3958333333333333
8,4,0.2,0.31578947368421056,0.19603934077618287
8,5,0.6666666666666666,0.9,0.7166666666666666
9,1,0.5,0.7142857142857142,0.30694444444444446
9,2,0.6666666666666666,0.7083333333333333,0.6362920168067226
9,3,0.4,1.0,1.0
9,4,0.25,0.6499999999999999,0.33040935672514615
9,5,0.5,0.8,0.7333333333333334
10,1,0.4,0.873015873015873,0.5916666666666666
10,2,0.2857142857142857,0.5952380952380952,0.3055555555555556
10,3,0.4,0.5333333333333333,0.30952380952380953
10,4,0.7142857142857143,0.911764705882353,0.8491452991452991
10,5,0.5,0.6833333333333333,0.3555555555555555
