rep,fold,f1,roc_auc,pr_auc
1,1,0.2857142857142857,0.5833333333333333,0.4253968253968254
1,2,0.6666666666666666,1.0,1.0
1,3,0.5714285714285714,0.9500000000000001,0.7555555555555555
1,4,0.75,0.7105263157894737,0.5226449275362319
1,5,0.2857142857142857,0.7236842105263158,0.36160714285714285
2,1,0.75,0.7894736842105264,0.8016666666666667
2,2,0.5714285714285714,0.881578947368421,0.5791666666666666
2,3,0.6666666666666666,0.8333333333333333,0.7435897435897436
2,4,0.0,0.6710526315789473,0.32971491228070177
2,5,0.4,0.5666666666666667,0.44027777777777777
3,1,0.5,0.765625,0.7351190476190477
3,2,0.4,0.631578947368421,0.5192982456140351
3,3,0.6666666666666666,0.95,0.6388888888888888
3,4,0.4,0.6428571428571428,0.23333333333333334
3,5,0.5,0.8095238095238095,0.6
4,1,0.75,0.9750000000000001,0.9166666666666666
4,2,0.4,0.6578947368421052,0.6184782608695651
4,3,0.6666666666666666,0.8833333333333333,0.5138888888888888
4,4,0.4444444444444444,0.6862745098039216,0.5048611111111111
4,5,0.0,0.47619047619047616,0.11858974358974358
5,1,0.2857142857142857,0.5185185185185185,0.4078042328042328
5,2,0.75,0.8289473684210527,0.75
5,3,0.4444444444444444,0.803921568627451,0.7083333333333333
5,4,0.8,0.9523809523809523,0.5833333333333333
5,5,0.0,0.9090909090909091,0.3333333333333333
6,1,0.6,0.7037037037037038,0.5103586027499071
6,2,0.6666666666666666,1.0,1.0
6,3,0.5,0.8095238095238095,0.6
6,4,0.2222222222222222,0.6964285714285714,0.6099439775910365
6,5,0.6666666666666666,0.7666666666666666,0.4555555555555555
7,1,0.0,0.6190476190476191,0.19914529914529916
7,2,0.5714285714285714,0.9666666666666667,0.8666666666666667
7,3,0.5,0.6000000000000001,0.39835005574136007
7,4,1.0,1.0,1.0
7,5,0.5,0.8333333333333333,0.8118908382066277
8,1,0.6666666666666666,0.7,0.6125
8,2,0.4,0.9,0.6428571428571428
8,3,0.5714285714285714,0.8499999999999999,0.4444444444444444
8,4,0.2857142857142857,0.34210526315789475,0.20002587991718423
8,5,0.5714285714285714,0.9888888888888888,0.9666666666666666
9,1,0.5714285714285714,0.6984126984126984,0.33333333333333337
9,2,0.2,0.6583333333333333,0.5975407268170425
9,3,0.8,1.0,1.0
9,4,0.4,0.6,0.34347826086956523
9,5,0.8,0.8333333333333333,0.7435897435897436
10,1,0.4,0.7777777777777778,0.5213675213675213
10,2,0.4,0.6904761904761905,0.3214285714285714
10,3,0.2857142857142857,0.5,0.29695781342840166
10,4,0.6,0.9313725490196079,0.7166666666666667
10,5,0.8,0.8,0.7333333333333334
