rep,fold,f1,roc_auc,pr_auc
1,1,0.4,0.5462962962962963,0.46880765862964
1,2,0.5714285714285714,0.9047619047619048,0.41666666666666663
1,3,0.6,0.9333333333333333,0.7
1,4,0.6,0.7631578947368421,0.5317982456140351
1,5,0.2857142857142857,0.855263157894737,0.5932539682539683
2,1,0.6666666666666666,0.8105263157894738,0.8434782608695652
2,2,0.8888888888888888,0.9736842105263158,0.8875
2,3,0.3333333333333333,0.7166666666666667,0.39215686274509803
2,4,0.2222222222222222,0.5526315789473685,0.2593434343434343
2,5,0.25,0.6666666666666666,0.3207282913165266
3,1,0.46153846153846156,0.703125,0.6518308080808081
3,2,0.5,0.7236842105263158,0.6704545454545454
3,3,1.0,1.0,1.0
3,4,0.2222222222222222,0.5476190476190477,0.18055555555555555
3,5,0.5,0.9761904761904762,0.8333333333333333
4,1,0.7272727272727273,1.0,1.0
4,2,0.5,0.6578947368421052,0.3768115942028985
4,3,0.6666666666666666,0.9166666666666666,0.5555555555555556
4,4,0.4,0.5980392156862745,0.38036616161616166
4,5,0.0,0.5476190476190477,0.14583333333333331
5,1,0.3333333333333333,0.48148148148148145,0.4094616239117518
5,2,0.5,0.7894736842105263,0.6041666666666666
5,3,0.6153846153846154,0.8627450980392157,0.8138528138528138
5,4,0.6666666666666666,0.9523809523809523,0.5833333333333333
5,5,0.4,0.9545454545454546,0.5
6,1,0.5,0.7500000000000001,0.662878787878788
6,2,0.6666666666666666,1.0,1.0
6,3,0.3333333333333333,0.9047619047619048,0.6666666666666666
6,4,0.5333333333333333,0.6339285714285714,0.6011760768380578
6,5,0.5,0.7333333333333334,0.34444444444444444
7,1,0.4,0.746031746031746,0.44771241830065356
7,2,0.4,0.8333333333333334,0.6388888888888888
7,3,0.5454545454545454,0.6222222222222222,0.4154545454545454
7,4,0.4,0.880952380952381,0.3666666666666667
7,5,0.6153846153846154,0.8039215686274509,0.7976190476190476
8,1,0.5714285714285714,0.8374999999999999,0.7166666666666667
8,2,0.25,0.75,0.34074074074074073
8,3,0.75,0.9166666666666667,0.5333333333333333
8,4,0.2222222222222222,0.3815789473684211,0.24641608391608394
8,5,0.6666666666666666,0.9111111111111111,0.7753968253968253
9,1,0.3333333333333333,0.6984126984126984,0.38596491228070173
9,2,0.6153846153846154,0.775,0.6222537878787879
9,3,0.5,0.9523809523809523,0.75
9,4,0.4444444444444444,0.7,0.7142857142857142
9,5,0.5,0.8166666666666667,0.7380952380952381
10,1,0.4,0.9047619047619048,0.7777777777777777
10,2,0.4,0.6666666666666666,0.31666666666666665
10,3,0.5714285714285714,0.5888888888888889,0.5711688311688312
10,4,0.7142857142857143,0.9313725490196078,0.8631313131313131
10,5,0.25,0.7,0.3402777777777778
