rep,fold,f1,roc_auc,pr_auc
1,1,0.25,0.4074074074074074,0.2830907725409004
1,2,0.5714285714285714,0.9523809523809523,0.75
1,3,0.6666666666666666,0.9666666666666667,0.8055555555555556
1,4,0.6666666666666666,0.75,0.5291666666666667
1,5,0.5,0.75,0.6348484848484848
2,1,0.8888888888888888,0.8105263157894738,0.8434782608695652
2,2,0.6,0.8026315789473684,0.8026315789473684
2,3,0.5,0.8333333333333333,0.7435897435897436
2,4,0.25,0.34210526315789475,0.1809782608695652
2,5,0.3333333333333333,0.6666666666666667,0.2550505050505051
3,1,0.5333333333333333,0.703125,0.6540922619047619
3,2,0.5,0.6315789473684211,0.6031468531468531
3,3,0.8571428571428571,0.9833333333333333,0.9166666666666665
3,4,0.3333333333333333,0.7857142857142857,0.25
3,5,0.4,0.5714285714285714,0.55
4,1,0.8888888888888888,1.0,1.0
4,2,0.5,0.4605263157894737,0.3275691699604743
4,3,0.6666666666666666,0.7666666666666666,0.4555555555555555
4,4,0.46153846153846156,0.5882352941176471,0.4355275443510737
4,5,0.0,0.5714285714285714,0.14090909090909093
5,1,0.18181818181818182,0.3796296296296296,0.2743331759350066
5,2,0.6666666666666666,0.8157894736842106,0.5458333333333333
5,3,0.7272727272727273,0.7745098039215685,0.7761904761904761
5,4,0.8,0.9523809523809523,0.5833333333333333
5,5,0.4,0.8636363636363636,0.25
6,1,0.6,0.5925925925925926,0.6268037518037518
6,2,0.4,1.0,1.0
6,3,0.4,0.8333333333333334,0.6111111111111112
6,4,0.5714285714285714,0.6071428571428572,0.5582872613928515
6,5,0.5714285714285714,0.75,0.4
7,1,0.3333333333333333,0.6507936507936508,0.29393939393939394
7,2,0.5,0.7666666666666666,0.7254901960784313
7,3,0.4444444444444444,0.5222222222222223,0.3768831168831168
7,4,0.6666666666666666,0.9761904761904762,0.8333333333333333
7,5,0.6666666666666666,0.7058823529411764,0.705026455026455
8,1,0.6666666666666666,0.825,0.6659090909090909
8,2,0.2857142857142857,0.5333333333333333,0.4338235294117647
8,3,0.5,0.7,0.4415204678362573
8,4,0.25,0.38157894736842113,0.21252587991718425
8,5,0.8333333333333334,0.9666666666666667,0.8766666666666667
9,1,0.5714285714285714,0.6666666666666666,0.4343434343434343
9,2,0.4,0.5083333333333334,0.46472250337381915
9,3,0.5714285714285714,1.0,1.0
9,4,0.5714285714285714,0.7,0.4415204678362573
9,5,0.8,0.8500000000000001,0.75
10,1,0.5714285714285714,0.8888888888888888,0.6666666666666666
10,2,0.4,0.6666666666666666,0.31666666666666665
10,3,0.25,0.31111111111111117,0.3437001594896332
10,4,0.7142857142857143,0.8627450980392157,0.8112044817927171
10,5,0.5714285714285714,0.8166666666666667,0.4722222222222222
