rep,fold,f1,roc_auc,pr_auc
1,1,0.25,0.37962962962962965,0.3520875731595546
1,2,0.6666666666666666,1.0,1.0
1,3,0.4444444444444444,0.9166666666666666,0.7916666666666666
1,4,0.6666666666666666,0.7763157894736842,0.5347222222222222
1,5,0.75,0.9210526315789475,0.7986111111111112
2,1,0.8,0.8526315789473684,0.8526315789473684
2,2,0.5714285714285714,0.8289473684210527,0.75
2,3,0.5714285714285714,0.7333333333333333,0.6111111111111112
2,4,0.4,0.5263157894736843,0.2768115942028985
2,5,0.3333333333333333,0.6333333333333333,0.3055555555555556
3,1,0.7142857142857143,0.7421875,0.7353383458646616
3,2,0.25,0.6052631578947368,0.44824016563146996
3,3,1.0,1.0,1.0
3,4,0.2857142857142857,0.5238095238095238,0.15555555555555556
3,5,0.4,0.6428571428571428,0.5588235294117647
4,1,0.8,1.0,1.0
4,2,0.5714285714285714,0.5394736842105263,0.5829545454545455
4,3,0.6666666666666666,0.95,0.6388888888888888
4,4,0.3333333333333333,0.5588235294117647,0.4457535885167464
4,5,0.0,0.6666666666666666,0.20192307692307693
5,1,0.36363636363636365,0.5648148148148148,0.5155753968253969
5,2,0.6666666666666666,0.7368421052631579,0.6142857142857143
5,3,0.6,0.8235294117647058,0.7410714285714285
5,4,0.6666666666666666,0.9523809523809523,0.5833333333333333
5,5,0.5,0.9090909090909091,0.3333333333333333
6,1,0.6666666666666666,0.7222222222222222,0.7559523809523808
6,2,1.0,1.0,1.0
6,3,0.3333333333333333,0.8809523809523809,0.6428571428571428
6,4,0.46153846153846156,0.6607142857142857,0.5774764451235039
6,5,0.5714285714285714,0.6333333333333334,0.3787878787878788
7,1,0.4,0.7142857142857142,0.3402777777777778
7,2,0.75,0.9666666666666667,0.8666666666666667
7,3,0.36363636363636365,0.5111111111111111,0.43194444444444446
7,4,0.6666666666666666,1.0,1.0
7,5,0.6,0.7352941176470588,0.6628787878787878
8,1,0.5714285714285714,0.7875,0.6659663865546218
8,2,0.4444444444444444,0.8166666666666667,0.5833333333333333
8,3,0.5,0.7333333333333333,0.6111111111111112
8,4,0.3333333333333333,0.35526315789473684,0.24150449653545628
8,5,0.8,0.9666666666666667,0.925
9,1,0.6666666666666666,0.6825396825396826,0.43650793650793646
9,2,0.5,0.6083333333333334,0.5018291467304625
9,3,0.5714285714285714,1.0,1.0
9,4,0.4444444444444444,0.75,0.6143790849673203
9,5,0.6666666666666666,0.75,0.7222222222222222
10,1,0.5,0.9365079365079365,0.7222222222222223
10,2,0.4,0.5952380952380952,0.3055555555555556
10,3,0.2857142857142857,0.43333333333333335,0.36956349206349204
10,4,0.8333333333333334,0.9607843137254901,0.9333333333333333
10,5,0.5,0.7166666666666667,0.6081871345029239
