rep,fold,f1,roc_auc,pr_auc
1,1,0.42857142857142855,0.8515625,0.417156862745098
1,2,0.36363636363636365,0.7999999999999999,0.5726315789473684
1,3,0.0,0.6176470588235294,0.11688311688311688
1,4,0.25,0.7941176470588236,0.5625
1,5,0.18181818181818182,0.838235294117647,0.3333333333333333
2,1,0.15384615384615385,0.7058823529411764,0.21666666666666667
2,2,0.36363636363636365,0.7421875,0.5947293447293447
2,3,0.25,0.8235294117647058,0.25
2,4,0.3333333333333333,0.859375,0.6396103896103896
2,5,0.25,0.8787878787878788,0.5353535353535354
3,1,0.2,0.787878787878788,0.2991452991452992
3,2,0.16666666666666666,0.6363636363636364,0.4142156862745098
3,3,0.25,0.8823529411764707,0.3611111111111111
3,4,0.5,0.890625,0.6666666666666666
3,5,0.2,0.787878787878788,0.2991452991452992
4,1,0.25,1.0,1.0
4,2,0.6666666666666666,1.0,1.0
4,3,0.0,0.7205882352941175,0.13333333333333333
4,4,0.16666666666666666,0.6875,0.2698135198135198
4,5,0.15384615384615385,0.6875,0.22460317460317458
5,1,0.4,0.896774193548387,0.5166666666666666
5,2,0.36363636363636365,0.8046875,0.6125
5,3,0.2,0.75,0.1875
5,4,0.18181818181818182,0.75,0.5526315789473684
5,5,0.2,0.8088235294117647,0.24358974358974358
6,1,0.6,0.9296875,0.8269230769230769
6,2,0.4,0.9705882352941176,0.5833333333333333
6,3,0.15384615384615385,0.8088235294117646,0.3214285714285714
6,4,0.0,0.578125,0.14906270200387847
6,5,0.25,0.6363636363636364,0.17261904761904762
7,1,0.2,0.7421875,0.40818250377073906
7,2,0.46153846153846156,0.9453125,0.8409090909090909
7,3,0.4,0.898989898989899,0.7435897435897436
7,4,0.16666666666666666,0.7352941176470589,0.18382352941176472
7,5,0.0,0.411764705882353,0.07019704433497537
8,1,0.15384615384615385,0.7373737373737375,0.22489316239316237
8,2,0.4,1.0,1.0
8,3,0.6,0.8903225806451613,0.5499999999999999
8,4,0.0,0.7205882352941175,0.13333333333333333
8,5,0.2857142857142857,0.7265625,0.5035416666666667
9,1,0.25,0.8529411764705883,0.34090909090909094
9,2,0.5,0.9797979797979798,0.8055555555555556
9,3,0.3076923076923077,0.6451612903225807,0.507816091954023
9,4,0.2,0.8088235294117646,0.20833333333333331
9,5,0.0,0.7474747474747475,0.18525641025641026
10,1,0.42857142857142855,0.890625,0.44166666666666665
10,2,0.0,0.5441176470588235,0.09166666666666667
10,3,0.25,0.797979797979798,0.4658119658119658
10,4,0.3333333333333333,0.8359375,0.5458333333333333
10,5,0.2,0.7941176470588236,0.31666666666666665
