rep,fold,f1,roc_auc,pr_auc
1,1,0.42857142857142855,0.84375,0.4159663865546218
1,2,0.46153846153846156,0.7419354838709677,0.44030365769496205
1,3,0.0,0.411764705882353,0.06904761904761905
1,4,0.2222222222222222,0.9117647058823529,0.625
1,5,0.2222222222222222,0.8235294117647058,0.25
2,1,0.11764705882352941,0.6764705882352942,0.2934782608695652
2,2,0.4,0.671875,0.30833333333333335
2,3,0.2857142857142857,0.8529411764705882,0.26666666666666666
2,4,0.46153846153846156,0.859375,0.34851190476190474
2,5,0.2857142857142857,0.7373737373737373,0.44017094017094016
3,1,0.2,0.6666666666666666,0.25588235294117645
3,2,0.18181818181818182,0.6060606060606061,0.2468253968253968
3,3,0.5,0.9117647058823529,0.3333333333333333
3,4,0.46153846153846156,0.90625,0.4988095238095238
3,5,0.16666666666666666,0.7373737373737372,0.27677224736048267
4,1,0.2857142857142857,0.8857142857142857,0.2
4,2,0.5714285714285714,0.984375,0.9166666666666666
4,3,0.25,0.7352941176470589,0.15
4,4,0.16666666666666666,0.6171875,0.24461622255739904
4,5,0.15384615384615385,0.5546875,0.1494558682058682
5,1,0.5,0.8903225806451613,0.5102564102564102
5,2,0.36363636363636365,0.7421875,0.3125
5,3,0.2222222222222222,0.6911764705882353,0.29545454545454547
5,4,0.2222222222222222,0.7205882352941176,0.5476190476190477
5,5,0.15384615384615385,0.6617647058823529,0.11437908496732026
6,1,0.5454545454545454,0.90625,0.675595238095238
6,2,0.36363636363636365,0.8970588235294117,0.375
6,3,0.3333333333333333,0.8235294117647058,0.2
6,4,0.0,0.546875,0.1396792412617221
6,5,0.2857142857142857,0.606060606060606,0.24537037037037035
7,1,0.36363636363636365,0.8125,0.34226190476190477
7,2,0.42857142857142855,0.8828125,0.6291666666666667
7,3,0.5,0.8282828282828283,0.5254901960784314
7,4,0.16666666666666666,0.6911764705882353,0.15263157894736842
7,5,0.0,0.3235294117647059,0.06066176470588235
8,1,0.18181818181818182,0.6868686868686869,0.18358395989974935
8,2,0.25,1.0,1.0
8,3,0.7272727272727273,0.896774193548387,0.712156862745098
8,4,0.0,0.5588235294117647,0.0900735294117647
8,5,0.3076923076923077,0.7109375,0.3122294372294372
9,1,0.2857142857142857,0.8823529411764706,0.6
9,2,0.5,0.9292929292929293,0.6666666666666666
9,3,0.36363636363636365,0.6838709677419355,0.37917972831765934
9,4,0.2857142857142857,0.838235294117647,0.225
9,5,0.0,0.5757575757575757,0.1227124183006536
10,1,0.47058823529411764,0.859375,0.3471590909090909
10,2,0.0,0.4411764705882353,0.07417582417582418
10,3,0.25,0.8181818181818182,0.28888888888888886
10,4,0.3076923076923077,0.71875,0.40795454545454546
10,5,0.2222222222222222,0.7941176470588236,0.5625
