rep,fold,f1,roc_auc,pr_auc
1,1,0.42857142857142855,0.78125,0.719758064516129
1,2,0.4,0.8,0.3504761904761905
1,3,0.0,0.7058823529411765,0.12692307692307692
1,4,0.2,0.8676470588235294,0.5909090909090909
1,5,0.3333333333333333,0.9117647058823529,0.325
2,1,0.15384615384615385,0.6911764705882353,0.175
2,2,0.5,0.8671875,0.6567982456140351
2,3,0.2,0.838235294117647,0.225
2,4,0.36363636363636365,0.859375,0.3458333333333333
2,5,0.2857142857142857,0.6767676767676767,0.43240093240093236
3,1,0.2222222222222222,0.6565656565656566,0.20405982905982906
3,2,0.16666666666666666,0.6666666666666666,0.25588235294117645
3,3,0.5714285714285714,0.9411764705882353,0.41666666666666663
3,4,0.3333333333333333,0.8671875,0.5681818181818181
3,5,0.3076923076923077,0.7979797979797979,0.2569444444444444
4,1,0.2857142857142857,0.9428571428571428,0.3333333333333333
4,2,0.6153846153846154,1.0,1.0
4,3,0.2,0.6470588235294117,0.20833333333333331
4,4,0.3333333333333333,0.7421875,0.28283991228070177
4,5,0.0,0.640625,0.1700924688057041
5,1,0.5454545454545454,0.8774193548387097,0.4580952380952381
5,2,0.4,0.8671875,0.425
5,3,0.25,0.6764705882352942,0.5416666666666666
5,4,0.2,0.75,0.3055555555555556
5,5,0.0,0.6470588235294118,0.10833333333333334
6,1,0.6666666666666666,0.984375,0.8875
6,2,0.25,0.8382352941176471,0.25757575757575757
6,3,0.36363636363636365,0.8970588235294117,0.29166666666666663
6,4,0.0,0.484375,0.1254330679640277
6,5,0.2222222222222222,0.7171717171717171,0.21794871794871795
7,1,0.5,0.8515625,0.35892857142857143
7,2,0.5454545454545454,0.9375,0.8333333333333333
7,3,0.25,0.707070707070707,0.4551282051282051
7,4,0.14285714285714285,0.7352941176470589,0.15
7,5,0.0,0.5294117647058824,0.08333333333333333
8,1,0.3333333333333333,0.797979797979798,0.23333333333333334
8,2,0.2857142857142857,0.9142857142857143,0.25
8,3,0.6,0.9354838709677419,0.7976190476190477
8,4,0.0,0.5147058823529411,0.08193979933110368
8,5,0.2857142857142857,0.765625,0.316025641025641
9,1,0.4444444444444444,0.9705882352941176,0.5833333333333333
9,2,0.36363636363636365,0.8787878787878788,0.4658119658119658
9,3,0.3333333333333333,0.7677419354838709,0.3326315789473684
9,4,0.3333333333333333,0.8970588235294117,0.29166666666666663
9,5,0.0,0.606060606060606,0.14216524216524218
10,1,0.5,0.890625,0.3946428571428572
10,2,0.0,0.7205882352941178,0.13247863247863248
10,3,0.2857142857142857,0.8484848484848485,0.29444444444444445
10,4,0.18181818181818182,0.640625,0.2519230769230769
10,5,0.3333333333333333,0.9705882352941176,0.5833333333333333
