rep,fold,f1,roc_auc,pr_auc
1,1,0.4,0.8203125,0.34603174603174597
1,2,0.4444444444444444,0.8709677419354839,0.6010457516339869
1,3,0.25,0.6617647058823529,0.21014492753623187
1,4,0.5,1.0,1.0
1,5,0.5714285714285714,0.9558823529411764,0.7
2,1,0.25,0.926470588235294,0.6428571428571428
2,2,0.42857142857142855,0.734375,0.27893772893772895
2,3,0.5714285714285714,1.0,1.0
2,4,0.5,0.9453125,0.7611111111111111
2,5,0.4,0.7171717171717171,0.4338235294117647
3,1,0.0,0.6464646464646464,0.1503267973856209
3,2,0.4,0.7373737373737373,0.31777777777777777
3,3,0.5,0.9852941176470588,0.8333333333333333
3,4,0.7272727272727273,0.9453125,0.5845238095238094
3,5,0.3333333333333333,0.8888888888888888,0.5444444444444444
4,1,0.3333333333333333,0.9714285714285714,0.5
4,2,0.6,0.953125,0.6220238095238095
4,3,0.0,0.75,0.1875
4,4,0.36363636363636365,0.765625,0.35
4,5,0.6,0.84375,0.5267857142857143
5,1,0.5454545454545454,0.9354838709677419,0.5926190476190476
5,2,0.4444444444444444,0.7890625,0.35595238095238096
5,3,0.4,0.7794117647058824,0.5588235294117647
5,4,0.2,0.7352941176470589,0.3026315789473684
5,5,0.5714285714285714,0.9705882352941176,0.5833333333333333
6,1,0.6,0.96875,0.8303571428571428
6,2,0.25,0.8529411764705883,0.2361111111111111
6,3,0.3333333333333333,0.9117647058823529,0.3333333333333333
6,4,0.5714285714285714,0.71875,0.5811688311688312
6,5,0.36363636363636365,0.7676767676767676,0.34545454545454546
7,1,0.5454545454545454,0.953125,0.775
7,2,0.75,0.9921875,0.95
7,3,0.4444444444444444,0.7474747474747474,0.24206349206349204
7,4,0.0,0.6617647058823529,0.11437908496732026
7,5,0.2857142857142857,0.6470588235294117,0.29
8,1,0.4444444444444444,0.9090909090909091,0.4888888888888888
8,2,0.2,0.8571428571428572,0.16666666666666666
8,3,0.5714285714285714,0.9548387096774194,0.8833333333333333
8,4,0.3333333333333333,0.7794117647058824,0.3125
8,5,0.6,0.7890625,0.3983333333333333
9,1,0.2222222222222222,0.8088235294117647,0.18253968253968253
9,2,0.6666666666666666,0.9797979797979799,0.8666666666666667
9,3,0.5,0.7419354838709677,0.6744827586206896
9,4,0.0,0.8823529411764706,0.26666666666666666
9,5,0.6666666666666666,0.888888888888889,0.7380952380952381
10,1,0.36363636363636365,0.8828125,0.4020833333333333
10,2,0.3333333333333333,0.6911764705882353,0.5434782608695652
10,3,0.6666666666666666,0.9393939393939394,0.4777777777777778
10,4,0.4444444444444444,0.75,0.4692982456140351
10,5,0.2857142857142857,0.823529411764706,0.2159090909090909
