rep,fold,f1,roc_auc,pr_auc
1,1,0.5,0.9296875,0.725
1,2,0.3076923076923077,0.7806451612903227,0.3133333333333333
1,3,0.25,0.7647058823529411,0.19166666666666665
1,4,0.3076923076923077,0.926470588235294,0.6428571428571428
1,5,0.36363636363636365,0.8970588235294118,0.6111111111111112
2,1,0.25,0.8823529411764706,0.29166666666666663
2,2,0.46153846153846156,0.7890625,0.45476190476190476
2,3,0.36363636363636365,0.9705882352941176,0.75
2,4,0.25,0.796875,0.33511904761904765
2,5,0.4444444444444444,0.9292929292929293,0.6095238095238096
3,1,0.25,0.898989898989899,0.36507936507936506
3,2,0.26666666666666666,0.7171717171717171,0.29166666666666663
3,3,0.2857142857142857,0.8970588235294117,0.29166666666666663
3,4,0.46153846153846156,0.8671875,0.6805555555555556
3,5,0.42857142857142855,0.8484848484848485,0.29444444444444445
4,1,0.25,1.0,1.0
4,2,0.6666666666666666,0.9765625,0.8928571428571428
4,3,0.0,0.7647058823529411,0.15555555555555556
4,4,0.3333333333333333,0.765625,0.251984126984127
4,5,0.4,0.765625,0.2857142857142857
5,1,0.6666666666666666,0.9483870967741935,0.7116666666666667
5,2,0.3076923076923077,0.7890625,0.44305555555555554
5,3,0.25,0.8823529411764706,0.26785714285714285
5,4,0.3333333333333333,0.8823529411764707,0.3611111111111111
5,5,0.16666666666666666,0.6911764705882353,0.1388888888888889
6,1,0.6153846153846154,0.953125,0.7678571428571428
6,2,0.0,0.6911764705882353,0.125
6,3,0.2,0.8970588235294118,0.6111111111111112
6,4,0.42857142857142855,0.8125,0.27976190476190477
6,5,0.36363636363636365,0.7878787878787878,0.5454545454545454
7,1,0.42857142857142855,0.84375,0.4784090909090909
7,2,0.8,0.984375,0.8875
7,3,0.2,0.7878787878787878,0.4722222222222222
7,4,0.15384615384615385,0.7058823529411765,0.12692307692307692
7,5,0.2,0.7058823529411764,0.17763157894736842
8,1,0.3333333333333333,0.7979797979797979,0.2216931216931217
8,2,0.15384615384615385,1.0,1.0
8,3,0.5454545454545454,0.8903225806451612,0.7198412698412697
8,4,0.25,0.8676470588235293,0.25
8,5,0.46153846153846156,0.8046875,0.3954545454545455
9,1,0.25,0.8529411764705882,0.22619047619047616
9,2,0.2857142857142857,0.8383838383838383,0.7192982456140351
9,3,0.5,0.8064516129032259,0.49808143547273986
9,4,0.18181818181818182,0.8529411764705882,0.26666666666666666
9,5,0.5,0.9191919191919191,0.41111111111111115
10,1,0.46153846153846156,0.921875,0.7071428571428571
10,2,0.2222222222222222,0.75,0.16666666666666669
10,3,0.5454545454545454,0.9393939393939393,0.6333333333333333
10,4,0.2857142857142857,0.78125,0.442241968557758
10,5,0.2,0.7794117647058822,0.1625
