rep,fold,f1,roc_auc,pr_auc
1,1,0.6666666666666666,0.896551724137931,0.8376190476190475
1,2,0.5,0.7611111111111111,0.3987789987789988
1,3,0.5,0.9222222222222223,0.660515873015873
1,4,0.6,0.898989898989899,0.36507936507936506
1,5,0.6666666666666666,0.8129032258064516,0.7645833333333334
2,1,0.8333333333333334,0.9741935483870968,0.8528571428571428
2,2,0.8235294117647058,0.9464285714285715,0.7198412698412698
2,3,0.46153846153846156,0.6600985221674877,0.40756034855413736
2,4,0.0,0.7058823529411765,0.12916666666666665
2,5,0.5714285714285714,0.9290322580645162,0.6775757575757575
3,1,0.4,0.9411764705882353,0.41666666666666663
3,2,0.7058823529411765,0.8883928571428572,0.8328703703703704
3,3,0.6153846153846154,0.8277777777777778,0.6009920634920635
3,4,0.5714285714285714,0.8666666666666667,0.551948051948052
3,5,0.5454545454545454,0.7419354838709677,0.41742919389978206
4,1,0.6666666666666666,0.8125000000000001,0.7120306705818386
4,2,0.5,0.9140625,0.7083333333333333
4,3,0.6153846153846154,0.8055555555555555,0.6817049808429118
4,4,0.5714285714285714,0.9411764705882353,0.45
4,5,0.5,0.9090909090909091,0.4444444444444444
5,1,0.625,0.9225806451612902,0.7109090909090909
5,2,0.5,0.9375,0.65
5,3,0.4444444444444444,0.7578125,0.34054487179487175
5,4,0.7058823529411765,0.8258928571428572,0.771412037037037
5,5,0.5333333333333333,0.8333333333333334,0.5225389863547758
6,1,0.6666666666666666,0.8472906403940887,0.7872023809523809
6,2,0.5882352941176471,0.832512315270936,0.45376972651408737
6,3,0.5,0.7890625,0.43846153846153846
6,4,0.625,0.8277777777777777,0.78125
6,5,0.4444444444444444,0.9191919191919192,0.5873015873015872
7,1,0.7272727272727273,0.888888888888889,0.7740338164251207
7,2,0.5,0.7666666666666666,0.42876984126984125
7,3,0.42857142857142855,0.8166666666666667,0.4253167641325536
7,4,0.7142857142857143,0.9419354838709678,0.6977777777777778
7,5,0.6,0.7578125,0.7169117647058824
8,1,0.5,0.9277777777777777,0.8193473193473193
8,2,0.6666666666666666,0.8222222222222222,0.6856837606837606
8,3,0.3333333333333333,0.7578125,0.39984848484848484
8,4,0.6,0.7421875,0.32321428571428573
8,5,0.8,0.9655172413793103,0.8631519274376416
9,1,0.6666666666666666,0.9277777777777778,0.7236471861471861
9,2,0.5,0.8166666666666667,0.5026455026455027
9,3,0.625,0.8833333333333334,0.5285714285714285
9,4,0.5714285714285714,0.8166666666666668,0.7108294930875576
9,5,0.5,0.707070707070707,0.2551282051282051
10,1,0.5714285714285714,0.953125,0.775
10,2,0.5882352941176471,0.7544642857142857,0.48535577449370554
10,3,0.5,0.9296875,0.5527777777777777
10,4,0.5454545454545454,0.7612903225806451,0.4756043956043956
10,5,0.7272727272727273,0.9500000000000001,0.8016233766233766
