rep,fold,f1,roc_auc,pr_auc
1,1,0.7,0.9753694581280788,0.9214285714285713
1,2,0.3333333333333333,0.7055555555555555,0.31550207039337475
1,3,0.7142857142857143,0.9333333333333333,0.6405122655122656
1,4,0.26666666666666666,0.7171717171717172,0.16951566951566954
1,5,0.42857142857142855,0.6064516129032258,0.46441176470588236
2,1,0.4,0.8451612903225807,0.5573717948717949
2,2,0.5714285714285714,0.7678571428571428,0.5186298076923077
2,3,0.5882352941176471,0.7093596059113302,0.4850461923899994
2,4,0.2,0.7794117647058824,0.17692307692307693
2,5,0.5555555555555556,0.967741935483871,0.8711111111111112
3,1,0.3076923076923077,0.9411764705882353,0.41666666666666663
3,2,0.8,0.9508928571428572,0.8491883116883117
3,3,0.5,0.6277777777777778,0.39649356869184454
3,4,0.5263157894736842,0.8777777777777779,0.6706649831649831
3,5,0.15384615384615385,0.6774193548387097,0.2527153891859774
4,1,0.64,0.732638888888889,0.6334242103785448
4,2,0.5,0.9453125,0.7875
4,3,0.4444444444444444,0.7611111111111111,0.5588744588744589
4,4,0.4444444444444444,0.926470588235294,0.41666666666666663
4,5,0.3076923076923077,0.797979797979798,0.3526315789473684
5,1,0.4444444444444444,0.8451612903225807,0.6703463203463204
5,2,0.5714285714285714,0.9453125,0.6845238095238095
5,3,0.46153846153846156,0.734375,0.3416666666666666
5,4,0.5,0.7589285714285715,0.665327380952381
5,5,0.5,0.8277777777777777,0.4828754578754578
6,1,0.625,0.768472906403941,0.6213385354141656
6,2,0.5555555555555556,0.8620689655172414,0.5338762428048143
6,3,0.3076923076923077,0.6875,0.38060897435897434
6,4,0.47619047619047616,0.8277777777777777,0.6485470085470085
6,5,0.46153846153846156,0.8484848484848484,0.34074074074074073
7,1,0.631578947368421,0.9,0.5446127946127947
7,2,0.5,0.7555555555555555,0.4647330638709949
7,3,0.4,0.6666666666666666,0.34837199837199834
7,4,0.46153846153846156,0.8709677419354839,0.5496503496503498
7,5,0.42857142857142855,0.75,0.633578431372549
8,1,0.5454545454545454,0.8666666666666667,0.6200396825396824
8,2,0.5263157894736842,0.8944444444444445,0.7433862433862434
8,3,0.4,0.7890625,0.5221428571428571
8,4,0.36363636363636365,0.65625,0.23506493506493506
8,5,0.5714285714285714,0.8029556650246306,0.6979166666666667
9,1,0.5882352941176471,0.7777777777777778,0.5868516191096835
9,2,0.625,0.8722222222222222,0.5449346405228758
9,3,0.5263157894736842,0.8333333333333334,0.4340909090909091
9,4,0.47058823529411764,0.7944444444444444,0.7556022408963585
9,5,0.16666666666666666,0.6262626262626263,0.14393939393939395
10,1,0.5333333333333333,0.9296875,0.7182539682539683
10,2,0.5263157894736842,0.6785714285714286,0.38905122655122654
10,3,0.35294117647058826,0.8203125,0.3806818181818182
10,4,0.375,0.8387096774193549,0.5929670329670329
10,5,0.7142857142857143,0.8444444444444446,0.7497605363984674
