rep,fold,f1,roc_auc,pr_auc
1,1,0.7058823529411765,0.9655172413793103,0.8752628324056895
1,2,0.375,0.7000000000000001,0.35767195767195764
1,3,0.625,0.8,0.46174196174196175
1,4,0.2857142857142857,0.7272727272727272,0.18609625668449198
1,5,0.4444444444444444,0.6709677419354839,0.5818876941457587
2,1,0.5,0.8451612903225806,0.4816161616161616
2,2,0.5555555555555556,0.7723214285714286,0.45670077972709555
2,3,0.625,0.812807881773399,0.6359995611147684
2,4,0.25,0.6323529411764706,0.16666666666666666
2,5,0.42857142857142855,0.8064516129032258,0.7
3,1,0.36363636363636365,0.9411764705882353,0.41666666666666663
3,2,0.7,0.9241071428571428,0.7976190476190477
3,3,0.5,0.7055555555555556,0.4007936507936507
3,4,0.5882352941176471,0.8333333333333334,0.5861111111111111
3,5,0.16666666666666666,0.5935483870967742,0.1928878528878529
4,1,0.64,0.7847222222222222,0.6511046823546823
4,2,0.42857142857142855,0.8203125,0.46212121212121215
4,3,0.5,0.6944444444444444,0.5344789197730374
4,4,0.4,0.9411764705882353,0.45
4,5,0.2857142857142857,0.7979797979797979,0.3207282913165266
5,1,0.4,0.8258064516129032,0.5536796536796538
5,2,0.5,0.765625,0.27529761904761907
5,3,0.5454545454545454,0.75,0.34404761904761905
5,4,0.5555555555555556,0.8348214285714286,0.6343910256410257
5,5,0.5,0.7555555555555555,0.467063492063492
6,1,0.6153846153846154,0.8078817733990148,0.5499589490968801
6,2,0.4,0.7044334975369457,0.33659396869115543
6,3,0.5,0.765625,0.43452380952380953
6,4,0.5882352941176471,0.9222222222222222,0.7625
6,5,0.4,0.8383838383838385,0.3492063492063492
7,1,0.8,0.9166666666666667,0.5494047619047618
7,2,0.3333333333333333,0.7166666666666667,0.4417022792022792
7,3,0.26666666666666666,0.5833333333333333,0.27508721589181356
7,4,0.5714285714285714,0.903225806451613,0.607936507936508
7,5,0.6,0.7890625,0.6023809523809524
8,1,0.6,0.9055555555555557,0.6075396825396825
8,2,0.625,0.8444444444444446,0.644973544973545
8,3,0.36363636363636365,0.75,0.2761363636363636
8,4,0.5,0.765625,0.3467948717948718
8,5,0.3076923076923077,0.7241379310344828,0.4392191142191142
9,1,0.6,0.8888888888888888,0.7958592132505176
9,2,0.6666666666666666,0.8888888888888888,0.5819716775599129
9,3,0.47619047619047616,0.7222222222222223,0.33725071225071224
9,4,0.5,0.7388888888888888,0.6378787878787878
9,5,0.2,0.707070707070707,0.19017094017094016
10,1,0.6153846153846154,0.984375,0.8875
10,2,0.5263157894736842,0.75,0.47045250896057345
10,3,0.4,0.7734375,0.2521103896103896
10,4,0.5454545454545454,0.8193548387096774,0.4742857142857143
10,5,0.42857142857142855,0.7555555555555555,0.40772327511457945
