rep,fold,f1,roc_auc,pr_auc
1,1,0.5333333333333333,0.8866995073891626,0.6903929403929403
1,2,0.47058823529411764,0.8222222222222222,0.3805846930846931
1,3,0.36363636363636365,0.7944444444444444,0.5063789152024446
1,4,0.3333333333333333,0.7575757575757576,0.2162309368191721
1,5,0.3333333333333333,0.6645161290322581,0.4473901098901099
2,1,0.4,0.832258064516129,0.36272727272727273
2,2,0.5,0.7901785714285714,0.6357604895104896
2,3,0.5714285714285714,0.8177339901477831,0.45947148090005224
2,4,0.2857142857142857,0.7794117647058824,0.23333333333333334
2,5,0.2222222222222222,0.7548387096774194,0.46761904761904766
3,1,0.2222222222222222,0.8823529411764706,0.29166666666666663
3,2,0.5555555555555556,0.8392857142857143,0.6184050324675324
3,3,0.36363636363636365,0.7666666666666666,0.3829649882281462
3,4,0.3333333333333333,0.7666666666666666,0.4539212614870509
3,5,0.5454545454545454,0.832258064516129,0.45974025974025967
4,1,0.42105263157894735,0.8125,0.5968288526918557
4,2,0.4444444444444444,0.859375,0.47549019607843135
4,3,0.5,0.7666666666666667,0.4458689458689459
4,4,0.5,1.0,1.0
4,5,0.2222222222222222,0.7676767676767677,0.21329365079365079
5,1,0.46153846153846156,0.8580645161290322,0.43192307692307685
5,2,0.0,0.78125,0.24914529914529912
5,3,0.4,0.7265625,0.306025641025641
5,4,0.5333333333333333,0.8883928571428572,0.7369485294117647
5,5,0.5333333333333333,0.8111111111111111,0.5056475730388774
6,1,0.5,0.8571428571428571,0.6673409923409923
6,2,0.375,0.7438423645320197,0.3611842105263158
6,3,0.2222222222222222,0.7109375,0.24833333333333335
6,4,0.6153846153846154,0.9166666666666667,0.6064814814814815
6,5,0.36363636363636365,0.8080808080808081,0.31666666666666665
7,1,0.5,0.8888888888888888,0.6193833943833943
7,2,0.375,0.7333333333333334,0.4720496894409938
7,3,0.5714285714285714,0.7944444444444445,0.40940836940836944
7,4,0.5,0.8580645161290322,0.4755555555555555
7,5,0.0,0.734375,0.23722943722943723
8,1,0.5,0.8333333333333333,0.4740601503759398
8,2,0.5333333333333333,0.8611111111111112,0.4744047619047619
8,3,0.4444444444444444,0.7890625,0.36239495798319327
8,4,0.2857142857142857,0.8359375,0.4109649122807017
8,5,0.2,0.7487684729064039,0.4097150398620986
9,1,0.2857142857142857,0.8666666666666667,0.7738095238095237
9,2,0.6153846153846154,0.8722222222222221,0.6426739926739926
9,3,0.42105263157894735,0.788888888888889,0.3558061821219716
9,4,0.4,0.8277777777777777,0.48120300751879697
9,5,0.3333333333333333,0.6868686868686867,0.1823671497584541
10,1,0.5454545454545454,0.921875,0.5
