rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.453125,0.11870663650075415
1,2,0.46153846153846156,0.78125,0.5607142857142857
1,3,0.47058823529411764,0.7555555555555555,0.4642446633825944
1,4,0.36363636363636365,0.8529411764705882,0.225
1,5,0.3333333333333333,0.6551724137931034,0.46788766788766784
2,1,0.36363636363636365,0.5555555555555556,0.27574476650563606
2,2,0.3076923076923077,0.6580645161290322,0.24892473118279568
2,3,0.2,0.6363636363636364,0.25274725274725274
2,4,0.43478260869565216,0.8078817733990148,0.5920868347338936
2,5,0.4,0.9558823529411764,0.5
3,1,0.3333333333333333,0.5703125,0.40919540229885054
3,2,0.5,0.9292929292929293,0.4444444444444445
3,3,0.6666666666666666,0.9166666666666666,0.7703703703703704
3,4,0.125,0.7352941176470589,0.1625
3,5,0.16666666666666666,0.5491071428571428,0.3571889874831051
4,1,0.4444444444444444,0.6666666666666666,0.3090277777777778
4,2,0.5,0.71875,0.5670771756978654
4,3,0.0,0.2571428571428571,0.037037037037037035
4,4,0.42857142857142855,0.7611111111111111,0.508954008954009
4,5,0.2857142857142857,0.6838709677419355,0.2638753403459286
5,1,0.3333333333333333,0.6709677419354838,0.3014492753623188
5,2,0.47058823529411764,0.7684729064039408,0.5218178180363053
5,3,0.2857142857142857,0.6444444444444444,0.4329545454545455
5,4,0.36363636363636365,0.6767676767676767,0.24206349206349206
5,5,0.3076923076923077,0.8823529411764707,0.3611111111111111
6,1,0.3076923076923077,0.6322580645161291,0.24619047619047618
6,2,0.6153846153846154,0.8500000000000001,0.602991452991453
6,3,0.5,0.9290322580645161,0.7833333333333332
6,4,0.25,0.5270935960591133,0.2517833152069605
6,5,0.0,,-0.0
7,1,0.125,0.5546875,0.35085282651072125
7,2,0.42105263157894735,0.6607142857142857,0.5454797517297517
7,3,0.2857142857142857,0.926470588235294,0.41666666666666663
7,4,0.6666666666666666,0.888888888888889,0.6357142857142857
7,5,0.2,0.45454545454545453,0.1167991273180614
8,1,0.5555555555555556,0.8611111111111112,0.5833333333333334
8,2,0.4,0.7388888888888889,0.5644547474162078
8,3,0.18181818181818182,0.4765625,0.3374269005847953
8,4,0.18181818181818182,0.4140625,0.16444444444444445
8,5,0.3333333333333333,0.8484848484848485,0.29444444444444445
9,1,0.4,0.7166666666666667,0.5039511862092507
9,2,0.4444444444444444,0.9705882352941176,0.75
9,3,0.375,0.7290322580645161,0.2576190476190476
9,4,0.0,0.4852941176470589,0.09583333333333333
9,5,0.42105263157894735,0.6294642857142857,0.48019467448815273
10,1,0.0,0.38235294117647056,0.06481481481481481
10,2,0.5333333333333333,0.6650246305418719,0.6608294930875576
10,3,0.18181818181818182,0.640625,0.25925925925925924
10,4,0.18181818181818182,0.6868686868686869,0.2733333333333333
10,5,0.7058823529411765,0.916256157635468,0.7541666666666667
