rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.421875,0.11434386973180076
1,2,0.5454545454545454,0.84375,0.4916666666666667
1,3,0.36363636363636365,0.7722222222222221,0.49782828282828284
1,4,0.6666666666666666,0.9558823529411764,0.5
1,5,0.5,0.6009852216748768,0.5681508967223252
2,1,0.4444444444444444,0.5833333333333334,0.409035409035409
2,2,0.2,0.5032258064516129,0.2427777777777778
2,3,0.2857142857142857,0.7171717171717171,0.27058029689608637
2,4,0.5,0.8177339901477833,0.6213725490196078
2,5,0.5714285714285714,0.9558823529411764,0.5
3,1,0.25,0.5,0.34703296703296704
3,2,0.5,0.9191919191919191,0.6111111111111112
3,3,0.6153846153846154,0.8944444444444445,0.7236111111111111
3,4,0.36363636363636365,0.9264705882352942,0.3666666666666667
3,5,0.2222222222222222,0.4955357142857143,0.4196192696192696
4,1,0.25,0.6565656565656565,0.20666666666666667
4,2,0.5882352941176471,0.8169642857142857,0.6957159312422471
4,3,0.0,0.4,0.045454545454545456
4,4,0.4444444444444444,0.6611111111111111,0.3995510662177329
4,5,0.4,0.6129032258064516,0.448989898989899
5,1,0.4,0.7548387096774194,0.3291925465838509
5,2,0.6153846153846154,0.6798029556650247,0.5516424435779275
5,3,0.3076923076923077,0.5555555555555556,0.45873015873015865
5,4,0.0,0.7070707070707071,0.16984126984126985
5,5,0.5,0.9558823529411764,0.5
6,1,0.0,0.45806451612903226,0.14434817813765183
6,2,0.5454545454545454,0.7722222222222223,0.45634920634920634
6,3,0.7142857142857143,0.9741935483870968,0.81
6,4,0.3076923076923077,0.6157635467980295,0.43572100777069717
6,5,0.0,,-0.0
7,1,0.2222222222222222,0.4921875,0.3423611111111111
7,2,0.5,0.7499999999999999,0.6494999210920855
7,3,0.25,0.8970588235294118,0.6111111111111112
7,4,0.6666666666666666,0.8,0.4525641025641025
7,5,0.0,0.3535353535353535,0.09148148148148148
8,1,0.46153846153846156,0.75,0.5286858974358974
8,2,0.5,0.7666666666666667,0.566890166028097
8,3,0.2,0.5546875,0.1877946127946128
8,4,0.25,0.390625,0.16158424908424907
8,5,0.6666666666666666,0.9393939393939393,0.7777777777777777
9,1,0.5,0.65,0.457437275985663
9,2,0.3333333333333333,0.926470588235294,0.6428571428571428
9,3,0.36363636363636365,0.7161290322580645,0.42179487179487185
9,4,0.2857142857142857,0.7352941176470589,0.55
9,5,0.46153846153846156,0.6607142857142857,0.42908734783734787
10,1,0.0,0.5588235294117647,0.08888888888888888
10,2,0.4,0.6305418719211822,0.48881498618340724
10,3,0.4444444444444444,0.6328125,0.3586309523809524
10,4,0.2222222222222222,0.7070707070707071,0.2361111111111111
10,5,0.7142857142857143,0.8325123152709359,0.7252009894867038
