rep,fold,f1,roc_auc,pr_auc
1,1,0.13333333333333333,0.4921875,0.13850267379679143
1,2,0.4,0.828125,0.4642857142857143
1,3,0.3157894736842105,0.7722222222222221,0.5193121693121693
1,4,0.2857142857142857,0.9117647058823529,0.625
1,5,0.2857142857142857,0.5172413793103448,0.31868747498999594
2,1,0.35294117647058826,0.7222222222222223,0.35299422799422797
2,2,0.26666666666666666,0.47096774193548385,0.334640522875817
2,3,0.16666666666666666,0.6666666666666667,0.1655677655677656
2,4,0.42105263157894735,0.7684729064039408,0.5908963585434174
2,5,0.14285714285714285,0.7352941176470589,0.3026315789473684
3,1,0.26666666666666666,0.6015625,0.252218782249742
3,2,0.18181818181818182,0.7575757575757576,0.2342171717171717
3,3,0.42105263157894735,0.8,0.5999052761201098
3,4,0.25,0.9411764705882353,0.45
3,5,0.25,0.5089285714285714,0.32492874772286534
4,1,0.13333333333333333,0.5959595959595959,0.16666666666666669
4,2,0.45454545454545453,0.7946428571428571,0.5878968253968253
4,3,0.0,0.48571428571428577,0.05263157894736842
4,4,0.3076923076923077,0.638888888888889,0.2965939153439153
4,5,0.42857142857142855,0.6129032258064516,0.5409325020330713
5,1,0.375,0.7677419354838709,0.3079365079365079
5,2,0.38095238095238093,0.6650246305418719,0.5157251306319629
5,3,0.26666666666666666,0.5388888888888889,0.2922772617819057
5,4,0.0,0.5353535353535354,0.11118538324420678
5,5,0.3333333333333333,0.9852941176470588,0.8333333333333333
6,1,0.3076923076923077,0.6258064516129032,0.2350595238095238
6,2,0.3333333333333333,0.6888888888888889,0.3626559714795009
6,3,0.5,0.9741935483870968,0.8761904761904762
6,4,0.14285714285714285,0.5862068965517241,0.35448063840920985
6,5,0.0,,-0.0
7,1,0.10526315789473684,0.5546875,0.35333649588867805
7,2,0.43478260869565216,0.7678571428571429,0.7141364382743693
7,3,0.4,0.926470588235294,0.6428571428571428
7,4,0.42857142857142855,0.7722222222222221,0.48637566137566135
7,5,0.0,0.3737373737373737,0.08862044817927171
8,1,0.47058823529411764,0.7388888888888889,0.46965488215488216
8,2,0.2857142857142857,0.6777777777777778,0.4328566170671434
8,3,0.25,0.5546875,0.21601190476190474
8,4,0.0,0.5234375,0.1456510809451986
8,5,0.3333333333333333,0.8282828282828283,0.6081871345029239
9,1,0.25,0.4833333333333333,0.21917989417989417
9,2,0.3333333333333333,0.9411764705882353,0.6666666666666666
9,3,0.2857142857142857,0.7161290322580646,0.3239194139194139
9,4,0.25,0.9411764705882353,0.6666666666666666
9,5,0.3157894736842105,0.7008928571428572,0.5658625730994151
10,1,0.13333333333333333,0.6470588235294118,0.11513157894736842
10,2,0.2857142857142857,0.6206896551724138,0.36423902894491134
10,3,0.3076923076923077,0.65625,0.3670343137254902
10,4,0.15384615384615385,0.6868686868686869,0.26190476190476186
10,5,0.45454545454545453,0.7832512315270936,0.6642431972789116
