rep,fold,f1,roc_auc,pr_auc
1,1,0.16666666666666666,0.59375,0.17141608391608393
1,2,0.4,0.734375,0.28846153846153844
1,3,0.36363636363636365,0.6388888888888888,0.43694885361552027
1,4,0.3333333333333333,0.8823529411764707,0.3611111111111111
1,5,0.3333333333333333,0.4630541871921182,0.42471268810554524
2,1,0.16666666666666666,0.5722222222222222,0.2224537037037037
2,2,0.18181818181818182,0.4,0.22285714285714286
2,3,0.4,0.6666666666666666,0.3100358422939068
2,4,0.5,0.7192118226600985,0.48123748942163264
2,5,0.25,0.8382352941176471,0.25757575757575757
3,1,0.36363636363636365,0.546875,0.2673611111111111
3,2,0.3333333333333333,0.6767676767676767,0.21014492753623187
3,3,0.625,0.8166666666666668,0.5767195767195767
3,4,0.15384615384615385,0.7794117647058822,0.19642857142857142
3,5,0.0,0.4642857142857143,0.2380586228069952
4,1,0.2,0.4747474747474747,0.1711111111111111
4,2,0.5333333333333333,0.7410714285714286,0.5665074143692564
4,3,0.0,0.11428571428571432,0.03125
4,4,0.3076923076923077,0.6166666666666667,0.25360899619314764
4,5,0.3076923076923077,0.632258064516129,0.42493506493506494
5,1,0.2,0.7354838709677418,0.30969040247678015
5,2,0.375,0.6108374384236454,0.48268398268398266
5,3,0.4,0.5777777777777778,0.29315496594908363
5,4,0.0,0.26262626262626265,0.07323232323232323
5,5,0.5,0.9264705882352942,0.3666666666666667
6,1,0.18181818181818182,0.5161290322580646,0.20701168770453482
6,2,0.46153846153846156,0.7055555555555556,0.3825396825396825
6,3,0.5333333333333333,0.8516129032258064,0.5038095238095238
6,4,0.15384615384615385,0.46798029556650245,0.3220331392745186
6,5,0.0,,-0.0
7,1,0.26666666666666666,0.5,0.3600521342456826
7,2,0.5333333333333333,0.7276785714285714,0.6294117647058823
7,3,0.2857142857142857,0.9117647058823529,0.3333333333333333
7,4,0.4,0.7055555555555555,0.38900793650793647
7,5,0.0,0.19191919191919188,0.06730769230769232
8,1,0.5714285714285714,0.7333333333333333,0.596626984126984
8,2,0.42857142857142855,0.6777777777777778,0.5266339869281045
8,3,0.16666666666666666,0.5078125,0.15655876381682832
8,4,0.0,0.5,0.14096177944862154
8,5,0.25,0.7373737373737373,0.47023809523809523
9,1,0.15384615384615385,0.4444444444444444,0.18219378660555133
9,2,0.5714285714285714,1.0,1.0
9,3,0.46153846153846156,0.6709677419354838,0.32284249084249084
9,4,0.0,0.7058823529411764,0.12878787878787878
9,5,0.35294117647058826,0.59375,0.3641223454404035
10,1,0.2857142857142857,0.8529411764705883,0.2361111111111111
10,2,0.3333333333333333,0.5714285714285714,0.34644051600573333
10,3,0.25,0.6171875,0.2660743041177824
10,4,0.16666666666666666,0.4747474747474747,0.1453823953823954
10,5,0.4444444444444444,0.6945812807881773,0.4662337662337663
