rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.6015625,0.16208624708624708
1,2,0.2,0.75,0.33017857142857143
1,3,0.36363636363636365,0.6722222222222223,0.5227513227513227
1,4,0.5,0.926470588235294,0.41666666666666663
1,5,0.4,0.45812807881773404,0.2993050983834394
2,1,0.18181818181818182,0.5388888888888889,0.21026936026936027
2,2,0.2222222222222222,0.4258064516129032,0.25358422939068104
2,3,0.25,0.6565656565656566,0.2752234993614304
2,4,0.46153846153846156,0.8423645320197044,0.6818832796276404
2,5,0.3333333333333333,0.7205882352941176,0.3
3,1,0.3333333333333333,0.578125,0.4756944444444444
3,2,0.4,0.7171717171717171,0.2698412698412698
3,3,0.5,0.8111111111111111,0.5675925925925925
3,4,0.2222222222222222,0.8676470588235294,0.2777777777777778
3,5,0.0,0.47321428571428575,0.22950958024983512
4,1,0.2222222222222222,0.5555555555555556,0.18191311612364244
4,2,0.5333333333333333,0.6874999999999999,0.5998123253558036
4,3,0.0,0.22857142857142854,0.03571428571428571
4,4,0.0,0.5833333333333334,0.23173275999362955
4,5,0.4,0.7225806451612904,0.5277777777777777
5,1,0.2222222222222222,0.7354838709677419,0.42323232323232324
5,2,0.3333333333333333,0.6600985221674878,0.5341133520857022
5,3,0.3076923076923077,0.6277777777777778,0.2961219336219336
5,4,0.0,0.303030303030303,0.07643518518518519
5,5,0.5714285714285714,0.9264705882352942,0.3666666666666667
6,1,0.2222222222222222,0.6,0.25636155606407324
6,2,0.2222222222222222,0.7444444444444445,0.37727272727272726
6,3,0.5333333333333333,0.9096774193548387,0.6542424242424243
6,4,0.18181818181818182,0.48768472906403937,0.22622100122100125
6,5,0.0,,-0.0
7,1,0.16666666666666666,0.5859375,0.3640282131661442
7,2,0.5333333333333333,0.6830357142857143,0.4668248418248418
7,3,0.2857142857142857,0.9117647058823529,0.3333333333333333
7,4,0.25,0.7166666666666667,0.33284770784770784
7,5,0.0,0.1616161616161616,0.06528964862298195
8,1,0.5454545454545454,0.7944444444444444,0.6046296296296296
8,2,0.3333333333333333,0.6944444444444444,0.5281335522714833
8,3,0.16666666666666666,0.6328125,0.21717506631299732
8,4,0.0,0.328125,0.09950396825396825
8,5,0.5,0.7474747474747474,0.7023809523809523
9,1,0.0,0.47777777777777775,0.19325396825396823
9,2,0.6666666666666666,1.0,1.0
9,3,0.4,0.7612903225806452,0.3492640692640693
9,4,0.0,0.8088235294117646,0.20833333333333331
9,5,0.4,0.5714285714285714,0.38989741240490866
10,1,0.0,0.7941176470588236,0.1736111111111111
10,2,0.36363636363636365,0.5320197044334976,0.4362963861266068
10,3,0.25,0.7421875,0.45664335664335665
10,4,0.2,0.5151515151515151,0.13448275862068965
10,5,0.5,0.7487684729064039,0.5998866213151928
