rep,fold,f1,roc_auc,pr_auc
1,1,0.18181818181818182,0.59375,0.16742424242424242
1,2,0.4,0.7265625,0.27662037037037035
1,3,0.46153846153846156,0.7444444444444445,0.5991652983032293
1,4,0.4,0.9411764705882353,0.45
1,5,0.4,0.541871921182266,0.4607076891093384
2,1,0.35294117647058826,0.65,0.24943064182194616
2,2,0.36363636363636365,0.4451612903225806,0.3743778801843318
2,3,0.2857142857142857,0.6565656565656566,0.2941628264208909
2,4,0.5,0.8226600985221675,0.65359477124183
2,5,0.2857142857142857,0.926470588235294,0.6428571428571428
3,1,0.25,0.5625,0.3745204603580563
3,2,0.4,0.8282828282828283,0.3625
3,3,0.5,0.8055555555555556,0.5523504273504274
3,4,0.36363636363636365,0.8676470588235294,0.24285714285714285
3,5,0.2857142857142857,0.5580357142857142,0.28716639433551194
4,1,0.2,0.5555555555555556,0.2381404174573055
4,2,0.6666666666666666,0.8080357142857143,0.7127810846560847
4,3,0.0,0.3142857142857143,0.04
4,4,0.16666666666666666,0.6222222222222222,0.2446258562637873
4,5,0.5,0.6903225806451613,0.4476190476190476
5,1,0.5454545454545454,0.832258064516129,0.5203619909502262
5,2,0.4,0.7192118226600985,0.5650807973388619
5,3,0.3333333333333333,0.6000000000000001,0.29348102877514637
5,4,0.0,0.2828282828282828,0.07446257446257447
5,5,0.5,0.9558823529411764,0.5
6,1,0.3333333333333333,0.6064516129032258,0.2649589490968801
6,2,0.4444444444444444,0.7333333333333334,0.42389977172585863
6,3,0.5555555555555556,0.903225806451613,0.607936507936508
6,4,0.2,0.5467980295566502,0.2999188221338091
6,5,0.0,,-0.0
7,1,0.16666666666666666,0.609375,0.37107023411371237
7,2,0.5882352941176471,0.7455357142857143,0.48605248917748917
7,3,0.5,0.9117647058823529,0.3333333333333333
7,4,0.4,0.75,0.3782030834662413
7,5,0.0,0.2222222222222222,0.0695959595959596
8,1,0.5,0.7833333333333333,0.6544642857142857
8,2,0.5,0.7444444444444445,0.5135275929286818
8,3,0.2857142857142857,0.5625,0.17844202898550726
8,4,0.0,0.5546875,0.18114035087719296
8,5,0.5,0.7474747474747474,0.3194444444444444
9,1,0.16666666666666666,0.5166666666666666,0.22180886243386244
9,2,0.6666666666666666,1.0,1.0
9,3,0.3076923076923077,0.7419354838709677,0.35656565656565653
9,4,0.5,0.9558823529411764,0.5
9,5,0.4,0.6428571428571429,0.36484938672438677
10,1,0.2222222222222222,0.7941176470588235,0.17142857142857143
10,2,0.36363636363636365,0.6551724137931034,0.5324116743471583
10,3,0.4444444444444444,0.734375,0.38095238095238093
10,4,0.2222222222222222,0.6060606060606061,0.19032679738562092
10,5,0.5,0.7241379310344828,0.5390615131994443
