rep,fold,f1,roc_auc,pr_auc
1,1,0.4,0.713991769547325,0.4015858984239237
1,2,0.25,0.5423076923076924,0.2460942566990954
1,3,0.23076923076923078,0.8531073446327684,0.18253968253968253
1,4,0.11764705882352941,0.576271186440678,0.37457912457912457
1,5,0.2608695652173913,0.7629310344827586,0.25245098039215685
2,1,0.2857142857142857,0.7448275862068966,0.20255816255816256
2,2,0.1111111111111111,0.5192982456140351,0.1727811256843515
2,3,0.2222222222222222,0.6285714285714286,0.3510899010899011
2,4,0.35294117647058826,0.6771929824561403,0.4177896613190731
2,5,0.2962962962962963,0.6805194805194805,0.2087825246377621
3,1,0.18181818181818182,0.5688775510204082,0.23833203456821325
3,2,0.0,0.3163841807909605,0.04559646856158484
3,3,0.5,0.9482758620689655,0.5075757575757576
3,4,0.3,0.7333333333333334,0.29939024390243907
3,5,0.37037037037037035,0.6538461538461537,0.2677409406251911
4,1,0.23529411764705882,0.597457627118644,0.1829710144927536
4,2,0.09090909090909091,0.5649717514124294,0.07637767637767638
4,3,0.25,0.5972222222222223,0.18515119990303813
4,4,0.32,0.7272727272727273,0.5650510204081632
4,5,0.36363636363636365,0.7376623376623377,0.43597883597883597
5,1,0.2962962962962963,0.6301020408163265,0.17110869792076913
5,2,0.5,0.790356394129979,0.4493730255635018
5,3,0.1,0.6810344827586206,0.32983934169278994
5,4,0.0,0.33898305084745767,0.04794094794094794
5,5,0.2,0.5625,0.21380840071877807
6,1,0.2727272727272727,0.703448275862069,0.2511363636363636
6,2,0.18181818181818182,0.6210526315789474,0.19948657277849824
6,3,0.3157894736842105,0.7023809523809524,0.44687877318578095
6,4,0.2857142857142857,0.6337662337662338,0.3581292311105976
6,5,0.23076923076923078,0.6190476190476191,0.1582405333665132
7,1,0.34782608695652173,0.6836734693877551,0.24682024324881466
7,2,0.13333333333333333,0.488095238095238,0.16851923413600683
7,3,0.3225806451612903,0.7272727272727273,0.3346971006908894
7,4,0.09090909090909091,0.5535714285714286,0.15188843515305284
7,5,0.3157894736842105,0.9152542372881356,0.5625
8,1,0.0,0.43333333333333335,0.05772609819121447
8,2,0.18181818181818182,0.625,0.20037708600770218
8,3,0.38461538461538464,0.6461538461538461,0.27504724563935096
8,4,0.34782608695652173,0.7916666666666666,0.46352085167874635
8,5,0.23076923076923078,0.6428571428571428,0.20931281251048695
9,1,0.4166666666666667,0.7525510204081632,0.3679970406794115
9,2,0.2608695652173913,0.8232758620689655,0.31527777777777777
9,3,0.23076923076923078,0.5230769230769231,0.2251423592220556
9,4,0.19047619047619047,0.728448275862069,0.1574750058126017
9,5,0.125,0.5948275862068966,0.10941738383779248
10,1,0.25,0.8,0.473015873015873
10,2,0.21052631578947367,0.8022598870056498,0.41666666666666663
10,3,0.08333333333333333,0.5029761904761905,0.10479174595287064
10,4,0.4,0.7529761904761905,0.40382475314540534
10,5,0.3225806451612903,0.6060606060606061,0.2667280853669316
