rep,fold,f1,roc_auc,pr_auc
1,1,0.5714285714285714,0.7242798353909465,0.40723916272161886
1,2,0.32,0.6673076923076924,0.4152831160160382
1,3,0.25,0.7627118644067796,0.17941176470588235
1,4,0.15384615384615385,0.6949152542372882,0.3900966183574879
1,5,0.2,0.6724137931034483,0.19631410256410256
2,1,0.42105263157894735,0.7310344827586207,0.2378205128205128
2,2,0.125,0.5298245614035088,0.2912355966229409
2,3,0.34782608695652173,0.8207792207792208,0.5147615147615148
2,4,0.25,0.656140350877193,0.21984357027835288
2,5,0.38095238095238093,0.7168831168831169,0.30687830687830686
3,1,0.25,0.5204081632653061,0.16495971369021392
3,2,0.0,0.632768361581921,0.08123897707231041
3,3,0.35294117647058826,0.7758620689655172,0.7056818181818182
3,4,0.42857142857142855,0.656140350877193,0.33625922887612797
3,5,0.5217391304347826,0.8211538461538461,0.4056944444444444
4,1,0.23529411764705882,0.6694915254237288,0.231682769726248
4,2,0.09523809523809523,0.4011299435028248,0.06352607965511191
4,3,0.3157894736842105,0.6527777777777778,0.2668502249384602
4,4,0.5263157894736842,0.8831168831168831,0.6798872180451128
4,5,0.42105263157894735,0.7766233766233767,0.39764108072378745
5,1,0.2608695652173913,0.45408163265306123,0.20734493911915822
5,2,0.46153846153846156,0.7924528301886793,0.4152850501394496
5,3,0.26666666666666666,0.8189655172413793,0.3901838901838902
5,4,0.3076923076923077,0.6327683615819208,0.1564327485380117
5,5,0.2222222222222222,0.7797619047619048,0.3009510125889436
6,1,0.21052631578947367,0.603448275862069,0.3923076923076923
6,2,0.25,0.712280701754386,0.18968868812347073
6,3,0.42105263157894735,0.8869047619047619,0.6345238095238095
6,4,0.2727272727272727,0.6909090909090909,0.40086435031678574
6,5,0.42105263157894735,0.5982142857142857,0.1856475814935949
7,1,0.36363636363636365,0.7908163265306123,0.3924908424908425
7,2,0.23529411764705882,0.7321428571428572,0.23132117624871248
7,3,0.34782608695652173,0.5896103896103896,0.551296496372897
7,4,0.2222222222222222,0.5982142857142856,0.17417582417582417
7,5,0.4,0.9152542372881356,0.3055555555555556
8,1,0.15384615384615385,0.36666666666666664,0.06335438130054281
8,2,0.3333333333333333,0.8189655172413793,0.19704968944099377
8,3,0.37037037037037035,0.6653846153846155,0.38566754929658154
8,4,0.4444444444444444,0.7767857142857143,0.637416311625076
8,5,0.21052631578947367,0.7529761904761905,0.24990131647740343
9,1,0.43478260869565216,0.7755102040816327,0.36165294620263566
9,2,0.4,0.75,0.41666666666666663
9,3,0.32,0.6673076923076923,0.3529983660130719
9,4,0.2222222222222222,0.7241379310344828,0.16249999999999998
9,5,0.14285714285714285,0.6163793103448276,0.21783357771260997
10,1,0.2857142857142857,0.9055555555555554,0.2619047619047619
10,2,0.35294117647058826,0.943502824858757,0.43333333333333335
10,3,0.21052631578947367,0.6815476190476191,0.15537668143166863
10,4,0.47058823529411764,0.6875,0.5409878207048018
10,5,0.2857142857142857,0.572192513368984,0.3535197042898849
