rep,fold,f1,roc_auc,pr_auc
1,1,0.43478260869565216,0.691358024691358,0.32580754709910725
1,2,0.24,0.5980769230769231,0.23210439252018217
1,3,0.35294117647058826,0.9209039548022598,0.35
1,4,0.18181818181818182,0.8192090395480227,0.42628205128205127
1,5,0.13333333333333333,0.6724137931034482,0.12011392811296534
2,1,0.25,0.7068965517241379,0.19445970695970693
2,2,0.14285714285714285,0.43508771929824563,0.09577264445981626
2,3,0.2857142857142857,0.7532467532467533,0.36970103831006085
2,4,0.38095238095238093,0.775438596491228,0.40963203463203457
2,5,0.3157894736842105,0.7740259740259741,0.2671986743415315
3,1,0.2,0.5790816326530612,0.19270145059618746
3,2,0.1111111111111111,0.6949152542372882,0.09764309764309764
3,3,0.4,0.7931034482758621,0.4625
3,4,0.11764705882352941,0.5649122807017544,0.18027417027417028
3,5,0.5714285714285714,0.8673076923076923,0.5164050053833336
4,1,0.125,0.7330508474576272,0.35238095238095235
4,2,0.125,0.576271186440678,0.16672024000857172
4,3,0.42105263157894735,0.7222222222222222,0.3348559222640105
4,4,0.3333333333333333,0.7766233766233765,0.48258900166641416
4,5,0.375,0.7532467532467533,0.3156746920293718
5,1,0.1,0.40816326530612246,0.12871766313937832
5,2,0.43478260869565216,0.8448637316561844,0.5844737499160287
5,3,0.3333333333333333,0.9051724137931034,0.37083333333333335
5,4,0.18181818181818182,0.6440677966101696,0.10785024154589372
5,5,0.3157894736842105,0.7857142857142857,0.23120189995189994
6,1,0.2222222222222222,0.689655172413793,0.33731441036502596
6,2,0.375,0.9087719298245613,0.5504273504273505
6,3,0.5263157894736842,0.8452380952380953,0.42295803611593086
6,4,0.19047619047619047,0.5636363636363636,0.15126333361627478
6,5,0.11764705882352941,0.5416666666666667,0.14580430953381773
7,1,0.47058823529411764,0.8903061224489796,0.5300120048019208
7,2,0.19047619047619047,0.7291666666666666,0.20654449796326224
7,3,0.21052631578947367,0.4467532467532468,0.2653536343796149
7,4,0.2857142857142857,0.6755952380952381,0.2310120435120435
7,5,0.3076923076923077,0.8474576271186439,0.2328042328042328
8,1,0.16666666666666666,0.5055555555555555,0.14702315034540947
8,2,0.11764705882352941,0.75,0.15594202898550724
8,3,0.4444444444444444,0.644230769230769,0.26985314468559407
8,4,0.375,0.7589285714285715,0.4995331465919701
8,5,0.21052631578947367,0.7857142857142858,0.3050905560986206
9,1,0.38095238095238093,0.7653061224489796,0.41328081856032167
9,2,0.2857142857142857,0.7241379310344828,0.2274509803921569
9,3,0.16,0.5769230769230769,0.1953719516494436
9,4,0.3157894736842105,0.9224137931034483,0.5805555555555555
9,5,0.3333333333333333,0.646551724137931,0.25855327468230693
10,1,0.46153846153846156,0.9277777777777777,0.3222222222222222
10,2,0.21052631578947367,0.8418079096045197,0.2217171717171717
10,3,0.10526315789473684,0.7142857142857143,0.18447538300479477
10,4,0.4,0.6041666666666666,0.2762399439266024
10,5,0.32,0.6381461675579322,0.33596789774935404
